ambari-1.2.0-ambari-2.1.0,260,65,170/210/425,66/329/1755
ambari-2.1.0-ambari-2.2.0,384,149,265/329/1755,97/174/1870
ambari-2.2.0-ambari-2.4.0,632,98,162/174/1870,254/658/2739
ambari-2.4.0-ambari-2.5.0,562,298,391/658/2739,151/371/3133
ambari-2.5.0-ambari-2.6.0,446,187,236/371/3133,66/196/3173
ambari-2.6.0-ambari-2.7.0,1653,31,155/196/3173,129/253/3054
amq-5.0.0-amq-5.1.0,254,276,173/317/1210,134/285/1258
amq-5.1.0-amq-5.2.0,172,260,125/285/1258,107/274/1293
amq-5.2.0-amq-5.4.0,407,193,225/274/1293,155/243/1633
amq-5.4.0-amq-5.5.0,1300,194,210/243/1633,171/207/1717
amq-5.5.0-amq-5.6.0,334,131,161/207/1717,92/149/1902
amq-5.6.0-amq-5.7.0,224,75,104/149/1902,34/79/1904
amq-5.7.0-amq-5.8.0,41,38,17/79/1904,13/305/1934
amq-5.8.0-amq-5.9.0,286,265,169/305/1934,137/299/1974
amq-5.9.0-amq-5.10.0,250,266,161/299/1974,130/272/2020
amq-5.10.0-amq-5.11.0,240,224,151/272/2020,113/246/2071
amq-5.11.0-amq-5.12.0,298,197,161/246/2071,116/222/2178
amq-5.12.0-amq-5.14.0,301,141,164/222/2178,90/158/2287
amq-5.14.0-amq-5.15.0,177,91,116/158/2287,51/113/2302
bookkeeper-4.0.0-bookkeeper-4.2.0,117,26,111/160/176,26/43/311
bookkeeper-4.2.0-bookkeeper-4.4.0,93,23,39/43/311,40/62/234
calcite-1.6.0-calcite-1.8.0,305,658,280/702/1273,248/725/1391
calcite-1.8.0-calcite-1.11.0,340,669,300/725/1391,249/692/1423
calcite-1.11.0-calcite-1.13.0,361,627,306/692/1423,273/678/1359
calcite-1.13.0-calcite-1.15.0,429,598,376/678/1359,308/635/1442
calcite-1.15.0-calcite-1.16.0,100,623,85/635/1442,76/646/1489
calcite-1.16.0-calcite-1.17.0,477,453,433/646/1489,248/475/1505
calcite-1.17.0-calcite-1.18.0,335,409,223/475/1505,160/423/1554
cassandra-0.7.4-cassandra-0.8.6,245,138,147/193/406,117/189/477
cassandra-0.8.6-cassandra-1.0.9,291,130,160/189/477,117/158/545
cassandra-1.0.9-cassandra-1.1.6,349,127,138/158/545,129/171/626
cassandra-1.1.6-cassandra-1.1.11,101,114,69/171/626,40/115/628
cassandra-1.1.11-cassandra-1.2.11,545,67,114/115/628,77/111/817
flink-1.4.0-flink-1.6.0,1082,12,65/80/3263,73/129/3902
groovy-1.0-groovy-1.5.5,0,0,0/118/413,0/37/560
groovy-1.5.5-groovy-1.6.0,0,0,0/37/560,0/79/727
groovy-1.6.0-groovy-1.7.3,337,22,79/79/727,44/57/762
groovy-1.7.3-groovy-1.7.6,194,38,46/57/762,28/39/769
groovy-1.7.6-groovy-1.8.1,218,30,33/39/769,46/86/885
groovy-1.8.1-groovy-1.8.7,139,34,70/86/885,18/34/904
groovy-1.8.7-groovy-2.1.0,207,15,21/34/904,36/85/982
groovy-2.1.0-groovy-2.1.6,204,41,69/85/982,27/41/987
groovy-2.1.6-groovy-2.4.4,929,24,40/41/987,99/117/1109
groovy-2.4.4-groovy-2.4.6,1056,94,117/117/1109,95/95/1109
groovy-2.4.6-groovy-2.4.8,272,60,72/95/1109,37/60/1110
groovy-2.4.8-groovy-2.5.0,128,2,6/60/1110,3/100/1237
groovy-2.5.0-groovy-2.5.5,170,80,62/100/1237,42/80/1237
hbase-0.94.1-hbase-0.94.5,182,170,126/211/698,93/185/738
hbase-0.94.5-hbase-0.98.0,0,0,0/185/738,0/363/1268
hbase-0.98.0-hbase-0.98.5,357,284,224/363/1268,148/296/1305
hbase-0.98.5-hbase-0.98.11,1076,209,282/296/1305,210/260/1369
hive-0.14.0-hive-1.2.0,933,36,132/140/2721,84/112/3114
hive-1.2.0-hive-2.0.0,1308,30,107/112/3114,104/184/3522
hive-2.0.0-hive-2.1.0,895,80,162/184/3522,272/418/3695
ignite-1.0.0-ignite-1.4.0,2077,636,595/765/2342,555/801/2655
ignite-1.4.0-ignite-1.6.0,740,712,378/801/2655,333/913/2976
log4j2-2.0-log4j2-2.1,266,143,100/152/571,122/202/639
log4j2-2.1-log4j2-2.2,41,201,31/202/639,30/201/641
log4j2-2.2-log4j2-2.3,62,196,40/201/641,36/197/644
log4j2-2.3-log4j2-2.4,234,184,121/197/644,116/222/720
log4j2-2.4-log4j2-2.5,229,210,115/222/720,108/240/793
log4j2-2.5-log4j2-2.6,276,125,150/240/793,84/151/878
