,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
5%,0.071,0.024,0.013,0.657,0.03,421.447,0.071,0.284
10%,0.134,0.048,0.012,0.613,0.039,509.488,0.134,0.393
15%,0.192,0.073,0.012,0.574,0.046,840.911,0.192,0.453
20%,0.251,0.097,0.011,0.534,0.053,645.171,0.251,0.499
25%,0.31,0.122,0.011,0.495,0.059,398.106,0.31,0.535
30%,0.361,0.146,0.01,0.464,0.062,1149.35,0.361,0.563
35%,0.406,0.171,0.01,0.437,0.064,1945.138,0.406,0.584
40%,0.448,0.195,0.009,0.415,0.066,1467.569,0.448,0.602
45%,0.481,0.22,0.009,0.4,0.065,1734.228,0.435,0.616
50%,0.512,0.245,0.009,0.388,0.064,637.732,0.418,0.628
55%,0.54,0.269,0.009,0.379,0.063,1624.862,0.392,0.637
60%,0.565,0.292,0.009,0.374,0.062,1927.041,0.406,0.645
65%,0.587,0.311,0.008,0.37,0.062,1735.634,0.41,0.652
70%,0.604,0.323,0.008,0.366,0.063,1500.008,0.442,0.656
75%,0.612,0.328,0.008,0.364,0.063,1139.691,0.443,0.659
80%,0.614,0.329,0.008,0.364,0.063,1514.927,0.444,0.659
85%,0.614,0.329,0.008,0.364,0.063,1559.341,0.444,0.659
90%,0.614,0.329,0.008,0.364,0.063,1574.821,0.444,0.659
95%,0.614,0.33,0.008,0.364,0.063,1583.504,0.444,0.659
100%,0.614,0.33,0.008,0.364,0.063,1584.512,0.444,0.659
