,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
5%,0.066,0.024,0.01,0.661,0.027,62,0.066,0.288
10%,0.13,0.048,0.01,0.616,0.037,76,0.13,0.393
15%,0.196,0.073,0.009,0.571,0.044,149,0.196,0.462
20%,0.255,0.098,0.009,0.531,0.05,81,0.255,0.511
25%,0.304,0.122,0.008,0.5,0.055,139,0.304,0.545
30%,0.355,0.147,0.008,0.468,0.057,123,0.355,0.571
35%,0.405,0.171,0.008,0.438,0.059,213,0.405,0.588
40%,0.437,0.196,0.007,0.422,0.06,149,0.437,0.6
45%,0.469,0.221,0.007,0.407,0.06,204,0.442,0.615
50%,0.512,0.246,0.007,0.386,0.06,224,0.425,0.628
