,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50
ambari-2.1.0,0.0905532823341042,0.1617149973314356,0.2316313823163138,0.298345490126312,0.3623910336239103,0.4209215442092154,0.4703789361323608,0.5210816580679595,0.5294431595801459,0.526240882405266
ambari-2.2.0,0.1067629179331307,0.1838905775075988,0.2636778115501519,0.3328267477203647,0.3966565349544073,0.4627659574468085,0.5182370820668692,0.5820668693009119,0.5611702127659575,0.5474924012158054
ambari-2.4.0,0.0684690157958687,0.1315309842041312,0.2,0.2628797083839611,0.3229647630619684,0.3735115431348724,0.4201701093560145,0.4625759416767922,0.4787363304981774,0.4816524908869988
ambari-2.5.0,0.0945273631840796,0.1713653952459922,0.2506909894969596,0.3380320619126589,0.4087893864013267,0.4682144831398562,0.5132669983416253,0.5522388059701493,0.5613598673300166,0.5019347705914871
ambari-2.6.0,0.0888485947416137,0.1514052583862194,0.2166817769718948,0.2674524025385312,0.2982774252039891,0.3508612873980054,0.3916591115140526,0.4324569356300997,0.441523118766999,0.441523118766999
ambari-2.7.0,0.0848366650414432,0.1448074110190151,0.1960019502681618,0.2457337883959044,0.2993661628473915,0.3505607020965383,0.3910287664553876,0.4232081911262799,0.3793271574841541,0.4197952218430034
amq-5.1.0,0.1064555420219244,0.1817295980511571,0.2504263093788063,0.3278928136419001,0.4048721071863581,0.4684531059683313,0.5293544457978075,0.5941534713763703,0.6168087697929354,0.6053593179049939
amq-5.2.0,0.0993412384716732,0.1762845849802371,0.2408432147562582,0.3148880105401844,0.3789196310935441,0.4405797101449275,0.4969696969696969,0.5591567852437418,0.5794466403162055,0.5741765480895916
amq-5.4.0,0.1035878068519018,0.1807391421634745,0.2471000809279741,0.3272187752899919,0.3995144321553817,0.4626382519557593,0.5287294308065822,0.5937415700026976,0.6177502023199353,0.5764769355273807
amq-5.5.0,0.0980071871937275,0.1773930088206468,0.2417510617445279,0.3110094740280953,0.3783077425677883,0.4390721986278993,0.5037569421757595,0.5651747794838288,0.6040509637373407,0.5756288794511597
amq-5.6.0,0.1027795733678086,0.1822882999353587,0.2508080155138978,0.3232062055591467,0.394311570782159,0.4608920491273432,0.5339366515837104,0.5856496444731739,0.6289592760180995,0.6108597285067874
amq-5.7.0,0.0940860215053763,0.1814516129032258,0.2419354838709677,0.3077956989247312,0.3723118279569892,0.4381720430107527,0.4973118279569892,0.5497311827956989,0.5618279569892473,0.5456989247311828
amq-5.8.0,0.1027573529411764,0.1852941176470588,0.2601102941176471,0.3294117647058823,0.3959558823529411,0.4751838235294117,0.5409926470588236,0.5950367647058824,0.6183823529411765,0.6040441176470588
amq-5.9.0,0.1105809128630705,0.1983402489626556,0.2807053941908713,0.358298755186722,0.429253112033195,0.5068464730290456,0.5717842323651452,0.6211618257261411,0.645850622406639,0.6236514522821577
amq-5.10.0,0.1150504813336464,0.2059168818971589,0.2880957971354778,0.3651091805588166,0.4395397980746654,0.5135008217891524,0.5740784221648274,0.6215073961023715,0.6398215543554825,0.6050716130547077
amq-5.11.0,0.1111402359108781,0.2068152031454783,0.2875491480996068,0.3661861074705111,0.436959370904325,0.508781127129751,0.5667103538663172,0.6078636959370904,0.6254259501965924,0.6146788990825688
amq-5.12.0,0.1127466332602568,0.2079549013466959,0.2915753210147197,0.3758221108675227,0.4538051988725337,0.5289696210460382,0.5797056060131538,0.6341998120889446,0.6489195114312559,0.640150328844347
amq-5.14.0,0.1341795104261106,0.2348141432456935,0.3295557570262919,0.4170444242973708,0.4918404351767905,0.5666364460562103,0.6155938349954669,0.6731640979147778,0.6971894832275612,0.6776971894832275
amq-5.15.0,0.1396702230843841,0.2356935014548981,0.3423860329776915,0.4500484966052376,0.5441319107662463,0.6226964112512124,0.7012609117361784,0.7643064985451018,0.7963142580019399,0.7788554801163918
bookkeeper-4.2.0,0.0388513513513513,0.089527027027027,0.1418918918918918,0.179054054054054,0.2280405405405405,0.2635135135135135,0.2871621621621621,0.3141891891891892,0.2364864864864864,0.2010135135135135
bookkeeper-4.4.0,0.0586370839936608,0.1061806656101426,0.1188589540412044,0.1822503961965134,0.2567353407290015,0.3058637083993661,0.3217115689381933,0.3375594294770206,0.3375594294770206,0.2519809825673534
calcite-1.8.0,0.0399925363851225,0.0831571090931708,0.1230252518970021,0.167495957208608,0.208359248662769,0.2491603433262843,0.2809429033461873,0.309180246299291,0.2914541609652942,0.242629680308496
calcite-1.11.0,0.0409118256567952,0.0829600909151681,0.1234708202419947,0.1669897720435858,0.2063640617688348,0.2429975265726318,0.2774249615616017,0.3046995119994652,0.2691356374089177,0.2518216458319406
calcite-1.13.0,0.0474492395022196,0.0960628775198311,0.1432210173932028,0.1970016738228658,0.2475802343352012,0.293282876064333,0.3333090750309293,0.3659850083691143,0.3546321228440434,0.337238920020377
calcite-1.15.0,0.0493662963542481,0.094038491628853,0.1409795024252855,0.1935534345172899,0.2476138319511813,0.2912689719918636,0.3328117665467063,0.3632451885463933,0.3524487560632139,0.3546393365670474
calcite-1.16.0,0.0496751703375059,0.0956266835683726,0.1431627317382348,0.1974330533988274,0.2517033750594201,0.2948819521470448,0.3352875930914277,0.3685628268103311,0.3625415940421486,0.3573918554904136
calcite-1.17.0,0.0487302676733013,0.0929993136582017,0.1366964081445893,0.1838252116220544,0.2309540150995195,0.2700754975978037,0.3093113703957904,0.3494623655913978,0.3468313886982384,0.3655913978494624
calcite-1.18.0,0.0454972486914508,0.0853576701113944,0.124144410146289,0.1725942826466246,0.2163467990873708,0.2575493222386257,0.2966044826197825,0.3316333378070057,0.3309622869413501,0.3343175412696282
cassandra-0.8.6,0.0423538230884557,0.0839580209895052,0.1218140929535232,0.1581709145427286,0.1982758620689655,0.2342578710644677,0.2653673163418291,0.2908545727136432,0.2653673163418291,0.2226386806596701
cassandra-1.0.9,0.0293237582286056,0.0622381807301017,0.0843806104129264,0.1059245960502693,0.1334530221424296,0.1597845601436265,0.1938958707360861,0.232196289646918,0.2357869539198085,0.1891083183722322
cassandra-1.1.6,0.0466399197592778,0.0917753259779338,0.1303911735205616,0.1664994984954864,0.2071213640922768,0.234704112337011,0.2788365095285857,0.3159478435305918,0.3079237713139418,0.3279839518555667
cassandra-1.1.11,0.054675118858954,0.1014263074484944,0.1331220285261489,0.1648177496038035,0.2004754358161648,0.2385103011093502,0.2781299524564183,0.3240887480190174,0.3415213946117274,0.1465927099841521
cassandra-1.2.11,0.0395209580838323,0.0706586826347305,0.0946107784431137,0.1173652694610778,0.1461077844311377,0.162874251497006,0.1868263473053892,0.2203592814371257,0.2455089820359281,0.2035928143712574
flink-1.6.0,0.1059371362048894,0.1827706635622817,0.2607683352735739,0.3329452852153667,0.4167636786961583,0.4924330616996507,0.5471478463329453,0.5925494761350407,0.6076833527357393,0.610011641443539
groovy-1.5.5,0.1134215500945179,0.1965973534971644,0.2514177693761815,0.2797731568998109,0.3364839319470699,0.3667296786389414,0.4045368620037807,0.4593572778827977,0.444234404536862,0.5160680529300568
groovy-1.6.0,0.1111111111111111,0.1777777777777777,0.2375,0.3083333333333333,0.3847222222222222,0.4236111111111111,0.4583333333333333,0.4833333333333333,0.4666666666666667,0.4305555555555556
groovy-1.7.3,0.0611650485436893,0.1019417475728155,0.1601941747572815,0.2213592233009708,0.2922330097087379,0.3572815533980582,0.3912621359223301,0.4233009708737864,0.4466019417475728,0.3067961165048544
groovy-1.7.6,0.0548862115127175,0.1057563587684069,0.1499330655957162,0.2034805890227577,0.250334672021419,0.3025435073627844,0.358768406961178,0.3989290495314592,0.0843373493975903,0.0789825970548862
groovy-1.8.1,0.088595203132648,0.1693587860988742,0.2359275575134606,0.2995594713656387,0.3587860988742046,0.42143906020558,0.4625550660792951,0.4938815467449828,0.4615761135584924,0.4894762604013705
groovy-1.8.7,0.1928374655647383,0.2672176308539944,0.3305785123966942,0.3636363636363636,0.4132231404958678,0.4545454545454545,0.4793388429752066,0.509641873278237,0.2892561983471074,0.3140495867768595
groovy-2.1.0,0.0684474123539232,0.1268781302170283,0.1803005008347245,0.2362270450751252,0.2988313856427379,0.337228714524207,0.4198664440734557,0.4499165275459098,0.4565943238731219,0.496661101836394
