,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50
ambari-2.1.0,0.0179398635559673,0.0169692953708972,0.0159716290026144,0.0149886748856087,0.0140078246833191,0.0130926379553764,0.0123343746633631,0.0115006365508343,0.0108231787962685,0.0101536022739696
ambari-2.2.0,0.0076166471201881,0.0071414560192034,0.0066165701038917,0.0061612954158698,0.0057305969853018,0.0052515468665275,0.0048510631785941,0.0043394901493573,0.004136420449225,0.0038577065787148
ambari-2.4.0,0.0352859141705175,0.0337582535919065,0.0319324878143414,0.0302371019433686,0.028562640967808,0.0272004769051808,0.0259326685324565,0.0247840570655295,0.0235267925553907,0.0222096743835874
ambari-2.5.0,0.0069328051196099,0.0065108945639025,0.006045954607392,0.005489417686239,0.0050423496076208,0.0046679201795353,0.0044012346450395,0.0041752146885083,0.0039737213075511,0.0037875976790656
ambari-2.6.0,0.0021125472695589,0.0020190820510939,0.0019139179939303,0.0018395033340997,0.0018123407762625,0.0017254425663789,0.0016657192009512,0.0016024574427236,0.0016009383717981,0.0015834793956568
ambari-2.7.0,0.003974783313957,0.0038116762465637,0.0036797932710438,0.0035480186597801,0.0033894387259295,0.0032334649052536,0.0031233276818356,0.0030505572488769,0.003025754842006,0.0030221782232671
amq-5.1.0,0.0196916337399072,0.0184986314647457,0.0173941062414145,0.0160229978512108,0.0145857712607169,0.0134014666683044,0.012217100146074,0.0108583011255873,0.0099695468326689,0.0091924016885136
amq-5.2.0,0.0170858139755759,0.0160292074105599,0.0151633175086053,0.0140577014576755,0.0131001211636153,0.0121375320160995,0.0112357566625859,0.0101484968335234,0.0093155655655655,0.0086955398211793
amq-5.4.0,0.0130463118551439,0.0122303346126121,0.0115351074777749,0.0105880305159436,0.0097138219045374,0.0089404731449191,0.008071632853902,0.0071704042279674,0.0066231668458702,0.0060737571105545
amq-5.5.0,0.0103006629582787,0.0096354744648446,0.0091147213942656,0.0085069136320366,0.0078896526562797,0.0073210874607722,0.0066672518983452,0.0060197371396524,0.0055169261907093,0.0051138087281447
amq-5.6.0,0.0046459162463138,0.0043430792260049,0.0040834302223161,0.0037890988314231,0.0034852666582355,0.0031905004188966,0.0028391751034664,0.002601017683674,0.0023554809908918,0.0021643806026568
amq-5.7.0,0.0022594627574161,0.0020941076144366,0.0019902253118548,0.0018667401280257,0.0017398561172521,0.0016016798479553,0.0014751996844492,0.0013616391696846,0.0013075894671992,0.0012030830083999
amq-5.8.0,0.0160427807486631,0.0149418273396332,0.0139261791408325,0.0129650887973529,0.0120039599186097,0.0107268321091093,0.0096579305650102,0.0087803555984232,0.0081537709135593,0.0076180371352785
amq-5.9.0,0.0139286445320241,0.012876737893067,0.0118570451436388,0.0108652886871724,0.0099327346974144,0.0088265874489417,0.0078891844784882,0.0071920060813019,0.0065993331627659,0.0062111540752048
amq-5.10.0,0.0119512311131545,0.0110001268494817,0.0101202277718809,0.0092712279919768,0.008412038342261,0.0075099945994729,0.0067683284019805,0.0061978307592342,0.0057127226019251,0.0053510747185261
amq-5.11.0,0.0104197714471836,0.0095374975573163,0.0087916779878119,0.0080343169667629,0.0073358901938819,0.0065826679827319,0.0059771328565126,0.0055742897065673,0.0052253027601893,0.004991805978263
amq-5.12.0,0.0082916264231568,0.0075921094896865,0.0069687484596046,0.0063072214996186,0.0056727253802417,0.0050314297088528,0.0046216736519831,0.0041449306220944,0.0039116100538258,0.0036994909893398
