,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50
ambari-2.1.0,0.6432837098469373,0.5936925408878063,0.5456392086993075,0.5006918041664236,0.4586884294323909,0.4218540404919034,0.3928556600370305,0.3649207001688752,0.344771098578875,0.3282870238478136
ambari-2.2.0,0.6318379251090124,0.5780852719081264,0.5231909940483971,0.4767530841440415,0.43525247124799,0.3937353258291651,0.3614842536174935,0.3263048354674008,0.3143306110734986,0.3013211802014457
ambari-2.4.0,0.6588888378780546,0.6149686731502888,0.5678104225709321,0.525344946178998,0.4857676572738162,0.453963889723641,0.4261480217800836,0.402734040016714,0.3805468987237273,0.3606758753934375
ambari-2.5.0,0.6404902837381447,0.5869366790023525,0.5323503287919964,0.4731346201957929,0.4268761051335605,0.3900769293694681,0.3649014825109727,0.3457198661965841,0.3312172855653661,0.3206676130002912
ambari-2.6.0,0.6445109499797333,0.6010531901229763,0.5563543119686621,0.52268864232328,0.5038623951837626,0.4708863645481172,0.4473085915937311,0.4251296150690544,0.4193481617114138,0.4112213552549874
ambari-2.7.0,0.6473452900646178,0.605704885091524,0.5709010941537794,0.537891741722155,0.5030553758547579,0.4710246669608205,0.4476467742888085,0.431205248045777,0.422469934723794,0.4174742207447955
amq-5.1.0,0.6320260583388576,0.5795042592322457,0.532283251550104,0.4797529993690914,0.428764013326994,0.3886462302377849,0.3523148526198167,0.3160706364974204,0.2959735158423209,0.2825241075253821
amq-5.2.0,0.6370625906427305,0.5833686974426491,0.539075780640574,0.4889463776127161,0.4469448862569427,0.4079623672996286,0.3743317893040406,0.3391329962431113,0.3156475841933648,0.301739145983483
amq-5.4.0,0.6340642527858424,0.5802388046965228,0.5346966548841994,0.4803549572393761,0.4327089973036775,0.3929499631312207,0.3531778660806655,0.3169580855775021,0.2983351769878784,0.283770266601873
amq-5.5.0,0.6380136514876023,0.582615403184724,0.5384939158758174,0.4917773739902181,0.4475491819683647,0.4092580656091243,0.3701371657221548,0.3357207986766898,0.3126095230634322,0.2979507491923943
amq-5.6.0,0.6346478503868755,0.5791911263135511,0.532182350622446,0.4833601915585965,0.4366416693250762,0.3946322744579202,0.3504189484107815,0.3231614056086577,0.2995929889879178,0.2856646424086685
amq-5.7.0,0.6407977444557464,0.5797984893841791,0.53846508371447,0.4942204352818618,0.4520266222848928,0.4103478748793758,0.3751450446043567,0.3467081730562563,0.3343178656310033,0.3151554297102878
amq-5.8.0,0.6346465031930318,0.5770012712505832,0.525481089180494,0.4787363458297788,0.4350535849065124,0.3841335633629465,0.3446585201153918,0.3156991606976626,0.2982934026509544,0.2870715947917592
amq-5.9.0,0.6291157658392237,0.5677905263935757,0.5109813416233806,0.4585038126484967,0.4119477296517402,0.3625513120598003,0.3242470342645895,0.2990995255371803,0.2816700328502252,0.2743063069999629
amq-5.10.0,0.6259590551583988,0.562454224476184,0.5058067889168865,0.453797881510167,0.4049155859802404,0.3581895998098192,0.3229961585994741,0.2992325386277497,0.2828361453311238,0.2746081260888878
amq-5.11.0,0.6287275516605426,0.5618325379037482,0.5062235272533987,0.4531003178778785,0.4068004938135452,0.3615563750937217,0.3280862791234329,0.3082067488704576,0.2941760069944487,0.2880617501348855
amq-5.12.0,0.6275953546509421,0.5610414488634621,0.5034192804469073,0.4464133318464663,0.3952263151168848,0.3479794558330901,0.3197146593543832,0.2917753385187662,0.2814077836197389,0.2752651417726876
amq-5.14.0,0.6124478654866251,0.542097666326177,0.4767381512030444,0.4176883933397393,0.3691144538146303,0.3227851476307908,0.2965669840382406,0.2680458008124054,0.2514929940553304,0.2476869668508787
amq-5.15.0,0.6085734302559689,0.5415029225390966,0.4677774104634911,0.3947875570264995,0.3334147032060349,0.2857271154759291,0.2426745505439493,0.2155469475742522,0.2065696938322089,0.2107656828015868
bookkeeper-4.2.0,0.6798591926505992,0.6447484180764746,0.6090337808793538,0.5846998073420097,0.552828870899746,0.5312656590626678,0.5187649174869692,0.5048347665525088,0.4964053057498443,0.4777651143174559
bookkeeper-4.4.0,0.6658711874262901,0.6329948549349769,0.6253024411417366,0.5825097754544681,0.5328598320982774,0.5020294928874468,0.495210352025291,0.4892159045804535,0.4893852102697751,0.4892386453282976
