,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
ambari-2.1.0,64,100,50,97,690,12,191,178,38,394,13,238,353,355,290,873,2,2,2,2
ambari-2.2.0,304,296,618,206,315,1974,1563,1,6,1324,397,2276,1354,193,1675,5204,5211,5211,5211,5211
ambari-2.4.0,6,1,62,11,5,4,11,25,6,5,202,24,643,743,1,13,13,13,13,13
ambari-2.5.0,118,5,1,8,591,169,1,12,137,789,9,12,287,11,2318,4883,4922,4933,4933,4933
ambari-2.6.0,1,29,648,701,163,2469,426,1005,662,797,189,240,1,1237,21,4909,4947,4958,4958,4958
ambari-2.7.0,250,597,68,1139,868,2,196,678,1928,3621,223,248,234,59,286,4222,4284,4303,4303,4303
amq-5.1.0,22,1,40,54,66,153,5,260,12,159,11,2,16,191,15,2563,2564,2564,2564,2564
amq-5.2.0,78,12,58,96,661,9,150,266,1,339,188,1,430,184,1621,2563,2564,2564,2564,2564
amq-5.4.0,15,203,323,197,7,74,150,360,405,1,1210,219,1334,12,173,3289,3299,3299,3299,3299
amq-5.5.0,246,348,390,18,305,435,311,442,206,802,375,402,163,505,183,2728,2737,2737,2737,2737
amq-5.6.0,182,332,240,334,32,1,3,102,678,3655,876,156,503,505,184,2608,2618,2618,2618,2618
amq-5.7.0,548,1243,1072,81,1596,3132,24,536,973,1966,232,2350,1593,470,4558,4538,4545,4545,4545,4545
amq-5.8.0,2,42,29,527,90,97,213,302,7,204,8,1386,288,715,387,2448,2454,2454,2454,2454
amq-5.9.0,39,107,42,656,82,7,364,1405,373,529,75,422,1,7,710,2594,2609,2610,2610,2610
amq-5.10.0,29,74,1,187,19,31,235,1,117,68,237,470,20,183,1,2606,2622,2623,2623,2623
amq-5.11.0,55,81,159,78,62,247,432,1019,124,321,13,1,12,532,711,295,3,3,3,3
amq-5.12.0,51,2,149,1,14,117,203,248,1,273,348,161,234,1,1,295,156,157,157,157
amq-5.14.0,36,4,7,176,778,7,142,149,54,1901,42,1932,25,42,3371,295,156,157,157,157
amq-5.15.0,45,28,128,531,208,258,23,973,502,772,167,1086,483,1148,657,3228,3245,3246,3246,3246
bookkeeper-4.2.0,953,1902,3146,38,14,6291,6241,46,7647,68,9983,36,13634,15289,780,131,131,131,131,131
bookkeeper-4.4.0,552,72,867,58,1,32,1457,80,85,2,3358,79,65,2908,2,2,2,2,2,2
calcite-1.8.0,10,13,8,9,169,9,5295,22,12,6,9,11,40,38,494,6,80,75,79,65
calcite-1.11.0,13,10,8,10,10,10,10,12,12,12,7,7,8,39,8,8,80,75,79,65
calcite-1.13.0,16,4,16,42,5,15,8,14,16,2,21,2,8,6,10,13,188,210,218,218
calcite-1.15.0,17,15,1,16,116,9,8,2,2,367,5,229,3,1,3,49,158,179,211,211
calcite-1.16.0,10,2,2,2,3,12,2,2,10,21,10,16,12,12,3,66,158,179,211,211
calcite-1.17.0,265,2,579,42,6,488,154,542,731,509,605,1,22,264,23,49,204,243,242,242
