,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
ambari-2.1.0,0.41,0.488,0.566,0.625,0.66,0.694,0.721,0.74,0.753,0.761,0.764,0.764,0.78,0.788,0.788,0.788,0.788,0.788,0.788,0.788
ambari-2.2.0,0.442,0.558,0.642,0.661,0.685,0.709,0.733,0.739,0.752,0.782,0.794,0.794,0.794,0.8,0.8,0.8,0.8,0.8,0.8,0.8
ambari-2.4.0,0.442,0.535,0.604,0.648,0.686,0.707,0.728,0.743,0.758,0.766,0.775,0.785,0.8,0.808,0.811,0.813,0.815,0.815,0.815,0.815
ambari-2.5.0,0.483,0.595,0.638,0.698,0.728,0.746,0.759,0.763,0.776,0.789,0.802,0.815,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819
ambari-2.6.0,0.419,0.484,0.581,0.613,0.661,0.661,0.661,0.677,0.694,0.694,0.726,0.726,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742
ambari-2.7.0,0.412,0.529,0.622,0.689,0.689,0.697,0.706,0.714,0.731,0.739,0.739,0.748,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756
amq-5.1.0,0.312,0.421,0.485,0.551,0.601,0.644,0.675,0.7,0.718,0.724,0.741,0.752,0.766,0.772,0.772,0.772,0.772,0.772,0.772,0.772
amq-5.2.0,0.278,0.389,0.448,0.516,0.545,0.597,0.635,0.666,0.688,0.696,0.705,0.717,0.727,0.732,0.732,0.732,0.732,0.732,0.732,0.732
amq-5.4.0,0.343,0.453,0.501,0.557,0.586,0.62,0.662,0.696,0.723,0.735,0.742,0.757,0.771,0.779,0.779,0.779,0.779,0.779,0.779,0.779
amq-5.5.0,0.333,0.45,0.489,0.528,0.579,0.621,0.673,0.706,0.731,0.741,0.757,0.761,0.77,0.777,0.777,0.777,0.777,0.777,0.777,0.777
amq-5.6.0,0.344,0.483,0.511,0.55,0.611,0.661,0.728,0.761,0.778,0.778,0.8,0.811,0.833,0.839,0.844,0.844,0.844,0.844,0.844,0.844
amq-5.7.0,0.299,0.433,0.464,0.546,0.577,0.608,0.67,0.711,0.753,0.763,0.763,0.784,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804
amq-5.8.0,0.342,0.48,0.556,0.627,0.676,0.707,0.74,0.759,0.778,0.796,0.808,0.812,0.815,0.817,0.818,0.818,0.818,0.818,0.818,0.818
amq-5.9.0,0.37,0.524,0.597,0.658,0.704,0.736,0.76,0.785,0.797,0.807,0.815,0.825,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
amq-5.10.0,0.413,0.536,0.612,0.666,0.713,0.751,0.774,0.8,0.815,0.822,0.824,0.828,0.837,0.841,0.841,0.841,0.841,0.841,0.841,0.841
amq-5.11.0,0.413,0.543,0.62,0.674,0.719,0.759,0.782,0.803,0.819,0.825,0.83,0.83,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836
amq-5.12.0,0.42,0.549,0.624,0.669,0.707,0.757,0.778,0.8,0.823,0.834,0.839,0.843,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
amq-5.14.0,0.483,0.624,0.686,0.74,0.763,0.777,0.802,0.822,0.839,0.85,0.856,0.867,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884
amq-5.15.0,0.416,0.566,0.607,0.703,0.74,0.772,0.799,0.826,0.84,0.84,0.849,0.863,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881
bookkeeper-4.2.0,0.208,0.34,0.377,0.377,0.472,0.491,0.491,0.528,0.547,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566
bookkeeper-4.4.0,0.323,0.323,0.323,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452
calcite-1.8.0,0.289,0.381,0.444,0.486,0.511,0.527,0.543,0.556,0.565,0.569,0.583,0.59,0.594,0.594,0.597,0.599,0.599,0.599,0.599,0.599
calcite-1.11.0,0.276,0.385,0.44,0.484,0.508,0.52,0.534,0.552,0.562,0.575,0.577,0.583,0.589,0.591,0.593,0.593,0.593,0.593,0.593,0.593
calcite-1.13.0,0.345,0.446,0.507,0.543,0.574,0.59,0.601,0.612,0.628,0.641,0.652,0.659,0.664,0.668,0.679,0.679,0.679,0.679,0.679,0.679
calcite-1.15.0,0.346,0.449,0.499,0.533,0.56,0.59,0.602,0.617,0.625,0.63,0.644,0.649,0.657,0.662,0.667,0.669,0.669,0.669,0.669,0.669
calcite-1.16.0,0.34,0.462,0.507,0.541,0.565,0.586,0.605,0.615,0.626,0.631,0.65,0.655,0.66,0.663,0.666,0.671,0.671,0.671,0.671,0.671
calcite-1.17.0,0.329,0.446,0.499,0.538,0.56,0.593,0.602,0.61,0.618,0.63,0.643,0.649,0.655,0.669,0.671,0.674,0.674,0.674,0.674,0.674
calcite-1.18.0,0.322,0.445,0.495,0.525,0.561,0.585,0.588,0.601,0.608,0.621,0.631,0.638,0.641,0.654,0.661,0.661,0.661,0.661,0.661,0.661
