,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50,Glance-LR-55,Glance-LR-60,Glance-LR-65,Glance-LR-70,Glance-LR-75,Glance-LR-80,Glance-LR-85,Glance-LR-90,Glance-LR-95,Glance-LR-100
ambari-2.1.0,0.6288081431668197,0.5664535775468892,0.5063848689854866,0.4523939725844143,0.4027791064127347,0.3647071009192647,0.3387139429172771,0.3179011691469482,0.310336153903162,0.3105660799002619,0.3133257527976887,0.3236936273090926,0.3346459028213587,0.3408795394963355,0.3424488089766428,0.3427470026825829,0.3427615626162706,0.3427615626162706,0.3427615626162706,0.3427615626162706
ambari-2.2.0,0.6183488130554187,0.5517999829045651,0.4837376329899061,0.4248885384730598,0.3734167863010104,0.3232073243142723,0.2865624728669081,0.2481815103398501,0.2346081715302007,0.2205395596774562,0.2051391494106259,0.2040214794448153,0.2054612180664888,0.20790983677914,0.2095667964462647,0.2095606067404206,0.2095804462242073,0.2095804462242073,0.2095804462242073,0.2095804462242073
ambari-2.4.0,0.6749006176204447,0.6445858772846229,0.6117545185492508,0.5814632908379876,0.5548524360107648,0.5327555739636722,0.5124955268320376,0.4945688499826191,0.4771028364863354,0.4599858906609385,0.4468211457521548,0.4348707780063011,0.4215806098081767,0.4139877734156944,0.4088013068972961,0.4075923989360095,0.4074004447606258,0.4074065787683719,0.4074065787683719,0.4074065787683719
ambari-2.5.0,0.6232409753196381,0.5519670270672485,0.4831233249834677,0.410275751825698,0.3513815568595789,0.2997115286200811,0.2646441928603196,0.2377022674449489,0.2191168597788976,0.2091660569344872,0.2029993878158288,0.2009336885955024,0.2043804981608341,0.2082822766886478,0.2099435198047674,0.2102955901762302,0.2103697739932983,0.2103857745009575,0.2103857745009575,0.2103857745009575
ambari-2.6.0,0.6251296992066924,0.5613121685328519,0.5061030454674497,0.4544675754948876,0.4205155854847701,0.3611387054851322,0.3085992498988337,0.2572416837066845,0.2358066138429373,0.2133694128174509,0.1841929727731875,0.1598610685419483,0.1459582366791189,0.1406264203913778,0.1407334426021377,0.1408708529805665,0.1408722843604412,0.1408722843604412,0.1408722843604412,0.1408722843604412
ambari-2.7.0,0.6912701707422784,0.6865144490393426,0.6752587960657036,0.667503704668564,0.65980185032869,0.6535326878688978,0.6497294102334452,0.6446073554333185,0.6395399275728243,0.6352270654951789,0.6347366228600783,0.6315347954214446,0.6296389223702982,0.6289751482384198,0.6283607011089124,0.628371436445073,0.6283741221767017,0.6283741221767017,0.6283741221767017,0.6283741221767017
amq-5.1.0,0.6180194205126687,0.547942611626829,0.4818839944919072,0.4103553091989853,0.3435065641154745,0.2909559093558521,0.2454101257006536,0.2058034326832694,0.185272569757991,0.1756016084597067,0.1738592549803001,0.1763480885909658,0.1825998697842487,0.1864388015897117,0.1871588878814817,0.1871851755715658,0.1871851755715658,0.1871851755715658,0.1871851755715658,0.1871851755715658
amq-5.2.0,0.6174399014597786,0.5432707111823888,0.476200205913595,0.4057471594337345,0.3449868132988927,0.2910293015680949,0.2462813590268773,0.2063988395339585,0.1851178129710702,0.1747836366239377,0.171878412372562,0.1762258553119659,0.1816815998173389,0.1860308051141113,0.1870537091955207,0.187069548889707,0.187069548889707,0.187069548889707,0.187069548889707,0.187069548889707
amq-5.4.0,0.6371981189766138,0.5835645093787672,0.5319705411599367,0.4743510882774634,0.4234259915042889,0.3825429158540108,0.3402535155197557,0.3013050337975784,0.2780040148124231,0.2589657160707898,0.2422421966641437,0.2307463844664439,0.2212257011587362,0.2150098004106457,0.2127986359483892,0.2128322902406408,0.212850109217671,0.212850109217671,0.212850109217671,0.212850109217671
amq-5.5.0,0.6224099864435794,0.5550306680808437,0.4925779509227042,0.4280398751607715,0.366942389037608,0.3107575349165684,0.2560259696006571,0.2105039209100778,0.1784284742177582,0.1581213343092478,0.1419281647699332,0.1396484764034775,0.1391378571839991,0.139895861243929,0.1402534661280342,0.1403001171186643,0.1403001171186643,0.1403001171186643,0.1403001171186643,0.1403001171186643
amq-5.6.0,0.6290091234561449,0.5734715677889277,0.5254521520788995,0.4749703625402252,0.4212240115245566,0.3712023032800292,0.3165817864247018,0.2801117831837247,0.2480196949516194,0.2244515431443662,0.2066231559100602,0.1961883195142725,0.1861936752189111,0.1765672322260385,0.1735957171834568,0.1729739954728943,0.1729739954728943,0.1729739954728943,0.1729739954728943,0.1729739954728943
amq-5.7.0,0.6235089100704132,0.5504676917135022,0.4870697625537212,0.4286203320256881,0.3714049902092955,0.3080324018403668,0.2436612034427754,0.1892960088240948,0.158854396946734,0.1256938851807703,0.1097606312478574,0.1018376179588565,0.0950416483673202,0.0945482975605589,0.0943161225133469,0.0943668355774724,0.0943668355774724,0.0943668355774724,0.0943668355774724,0.0943668355774724
amq-5.8.0,0.6891744669716147,0.6738541974475433,0.660107041916807,0.6442939974525558,0.6312263138853437,0.6144043770267521,0.6005892397515697,0.5901728840719921,0.5780853697174756,0.5693989161509138,0.5631945126692088,0.5532425057350965,0.5435438071002985,0.5384484648654193,0.536779793141841,0.5367799586152643,0.5367799586152643,0.5367799586152643,0.5367799586152643,0.5367799586152643
amq-5.9.0,0.616544390246723,0.5435733796091955,0.4729169964795598,0.4039065637492954,0.3440132255262614,0.2820170143112027,0.2332286189686803,0.201312030991441,0.1768997450430658,0.1646720937006904,0.1568515836449253,0.1545944718899398,0.1566961283281824,0.158703425201921,0.1590910104170717,0.1590989433688928,0.1590989433688928,0.1590989433688928,0.1590989433688928,0.1590989433688928
amq-5.10.0,0.6107360718048401,0.5338820915795687,0.4608956107127596,0.390326795718218,0.3263125438870598,0.2640267149880692,0.2162420941237268,0.1854384183679299,0.1630513839840904,0.149497222577122,0.1423463790723358,0.1434389124471008,0.147185949264222,0.1503782560413101,0.1510551964632359,0.1510712219969191,0.1510712219969191,0.1510712219969191,0.1510712219969191,0.1510712219969191
amq-5.11.0,0.6182249868871205,0.5407011727956177,0.4746367521755301,0.4052022089080501,0.3463298743643714,0.2864782717848921,0.2419084534982967,0.2152739137251109,0.1939394046088103,0.1802925602193915,0.1718950953347044,0.1655394062193672,0.1607775431833411,0.1601645407306102,0.1606327201395716,0.1605190585684446,0.1605190585684446,0.1605190585684446,0.1605190585684446,0.1605190585684446
amq-5.12.0,0.6139442385919724,0.5349279023772633,0.4668220368487226,0.3953955914493868,0.3317170233591383,0.2715559160385174,0.2320638978322584,0.1953815950529412,0.1769313562471876,0.1615650037002151,0.154444293715501,0.1479297964502085,0.1431178939258534,0.1409733288496045,0.140704058702902,0.1406306474823812,0.1406459278868769,0.1406459278868769,0.1406459278868769,0.1406459278868769
amq-5.14.0,0.6013901412371262,0.5224486970743729,0.4456898263868257,0.3738234913407407,0.313761205193457,0.2556586696614003,0.2166164446313453,0.1770343768177925,0.1513066233490284,0.1394978646028392,0.1282292741483877,0.1232542130478013,0.1234214741122708,0.1246024142616956,0.1244209974772856,0.1244527697705117,0.1244677215935915,0.1244677215935915,0.1244677215935915,0.1244677215935915
amq-5.15.0,0.6056413487455664,0.5385733424557857,0.4634330679420447,0.3912795998699412,0.327033841654232,0.2762977154079459,0.2184050975738443,0.1775049247713647,0.1534305822175868,0.1422404821490906,0.1341479632572847,0.1275620676407755,0.1160993832448174,0.1120826063956057,0.1117642879190431,0.1117938296857536,0.1118069602090516,0.1118069602090516,0.1118069602090516,0.1118069602090516
bookkeeper-4.2.0,0.6422606547712024,0.5677615319796718,0.5036109230757481,0.4531870681643168,0.4020656663125605,0.3677182338108997,0.3548401631195043,0.3535943389708866,0.359515559094393,0.3650227815989333,0.388384141432921,0.4172001988261821,0.4431215048278197,0.4682037605227163,0.4826642117373095,0.4840943011018689,0.4841938642854775,0.4841938642854775,0.4841938642854775,0.4841938642854775
bookkeeper-4.4.0,0.649069143259003,0.6028028172307685,0.5818134290505607,0.5203612547597186,0.4481378959655088,0.4085669156978281,0.396601728127295,0.3859703137302749,0.3787998861721924,0.3760489538877352,0.3792347135645392,0.3794241511960026,0.3831002428534358,0.3820231195743825,0.38151297695612,0.3808943663522069,0.3808943663522069,0.3808943663522069,0.3808943663522069,0.3808943663522069
calcite-1.8.0,0.6454049544820105,0.5753070916058992,0.5034288942682673,0.4326554270088126,0.3728048643383502,0.3255892812119113,0.2942687705964179,0.2742102659088334,0.2659044735564335,0.2650702453752634,0.26614740585979,0.2734996686435216,0.2836075080779598,0.2941646422297486,0.3011570649027384,0.3036673990460989,0.3042100646327615,0.3044916733961382,0.3047345218777638,0.3048729684200097
calcite-1.11.0,0.6423171565594439,0.5730456407000698,0.4998549891008311,0.4286007450671721,0.3698543879224281,0.3241833396448141,0.2917621066493215,0.2741694222607157,0.2699765237328675,0.2696302725416569,0.2747185350310382,0.2844799327622393,0.2970522436236293,0.3090264218387966,0.3172461936316278,0.3201303074499756,0.3208306415638033,0.3211068023526477,0.3213406916138235,0.3214727957697316
calcite-1.13.0,0.6465883905785667,0.5808492329960955,0.5112224344390529,0.4420083055269534,0.3843108305735757,0.3409828103017626,0.3154724993302323,0.3039227603981916,0.3053137698261653,0.3130518295326482,0.3232384145554071,0.3386236690182496,0.3571494226819005,0.3734042402284742,0.3842899629319248,0.3877409554813302,0.388244512641816,0.3883334367280375,0.3883797608645307,0.3883797608645307
calcite-1.15.0,0.6435978001451691,0.5799964601995619,0.5105497148921088,0.4410118489262148,0.3803272815093164,0.3382647092338385,0.3112762388516842,0.3008967638783099,0.3018931949920359,0.3075152174701017,0.3177558495573491,0.3319984765058715,0.351314715412892,0.3672684469576986,0.3781517853472342,0.3819680896403665,0.3825136005850197,0.3826218961810721,0.3826706544992542,0.3826706544992542
calcite-1.16.0,0.6435202462523374,0.5787933033837613,0.5086136979662766,0.4381580554353505,0.3763583723697124,0.3330787858843219,0.3057692359900867,0.2919691482667614,0.2894943801155066,0.2931298863807488,0.3007218718642898,0.31474490770949,0.3326110696754595,0.3478018720396302,0.3583159442496804,0.3620222341375328,0.3624919872325913,0.3625903652454182,0.362637915253747,0.362637915253747
