,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50,Glance-LR-55,Glance-LR-60,Glance-LR-65,Glance-LR-70,Glance-LR-75,Glance-LR-80,Glance-LR-85,Glance-LR-90,Glance-LR-95,Glance-LR-100
ambari-2.1.0,0.0579733127874679,0.0705019419915768,0.0824830623769044,0.0916284694783871,0.1003400156917909,0.1055958377395991,0.107791475184608,0.1109920906343016,0.1110818441480087,0.1105748589205909,0.1127777402348806,0.1128569376521367,0.1131699520138757,0.1160782382991603,0.1188711378228354,0.1194973970071572,0.119491490921802,0.119491490921802,0.119491490921802,0.119491490921802
ambari-2.2.0,0.066388871136255,0.0801751279756008,0.0944784542736226,0.1036408300891062,0.1101552342301665,0.1171969120286175,0.1201258129029118,0.1253992723719437,0.1231418395322167,0.1231053490082732,0.1266401407011216,0.1262884146878913,0.1270909255544884,0.1285655167380738,0.1288318563637298,0.1291259078631135,0.1291165847423901,0.1291165847423901,0.1291165847423901,0.1291165847423901
ambari-2.4.0,0.0543844918050768,0.0737520709070993,0.093219340106086,0.1067374461486806,0.1153267855854476,0.119471807049988,0.1224081214838973,0.1238219047892168,0.1256083954577729,0.1275894735543955,0.127255201036668,0.1267286151673171,0.1287197315790588,0.1290470523607633,0.131094200944668,0.1317889803177645,0.1318910055349735,0.1318703003723143,0.1318703003723143,0.1318703003723143
ambari-2.5.0,0.0581149750631827,0.0747712977582767,0.0884990269944787,0.1030489678543794,0.1115928910968201,0.1183045112203446,0.1203045570589911,0.1212367329170934,0.1214042288523914,0.1204585943433849,0.120691814714061,0.1221559844924276,0.1231624263060471,0.1244129508243877,0.1245884557386674,0.1244730202647235,0.1244405196801964,0.1244335116381122,0.1244335116381122,0.1244335116381122
ambari-2.6.0,0.0405703597217153,0.0501445375014474,0.0560509351412516,0.0608798970528332,0.0612419867949559,0.0684805354044337,0.073930086919765,0.0792911646906345,0.0786665520713261,0.0789382749128707,0.0817178779637416,0.0849710203157817,0.0881174719368342,0.091325725257061,0.0917772105678475,0.091719300726195,0.0917186979126216,0.0917186979126216,0.0917186979126216,0.0917186979126216
ambari-2.7.0,0.0106500725561128,0.0068395844138005,0.0089874802439439,0.0089303230780057,0.0090418813493494,0.0086401034890517,0.0073949786452642,0.0068516841200483,0.0064180239225794,0.0057789824320325,0.0040352513627468,0.0033596760818143,0.002643144962026,0.0019924835602176,0.0020192768357834,0.0019922673894393,0.0019855193909992,0.0019855193909992,0.0019855193909992,0.0019855193909992
amq-5.1.0,0.1088950175395721,0.13410715731439,0.1546246353681918,0.1784671639005413,0.1982723728116689,0.2097637641488244,0.2190971331502072,0.2282877920292977,0.2301752033041135,0.2299609972629527,0.2296175534826899,0.2316954149487729,0.2321833678002166,0.2321279720017987,0.2321499512742058,0.2322649682116526,0.2322649682116526,0.2322649682116526,0.2322649682116526,0.2322649682116526
amq-5.2.0,0.102402455382885,0.1299236127576789,0.1492022693723775,0.170267653545735,0.1847009895508612,0.1963075284429107,0.2045856164936286,0.2132038955216811,0.2153072948388622,0.2153888070802423,0.2160024077135022,0.2150681442270026,0.2167715698547263,0.2170529071763451,0.2171746455395666,0.2173743551868303,0.2173743551868303,0.2173743551868303,0.2173743551868303,0.2173743551868303
amq-5.4.0,0.0766336250690214,0.0931413798472487,0.1073301179882672,0.1247065774139071,0.1368809473047971,0.1434680200158101,0.1515431224275208,0.1585956846680887,0.1590262236449303,0.1586706324429913,0.1591893969517179,0.1590318074122032,0.1600866726448084,0.1618684214334482,0.1628261884592442,0.1627907240281581,0.1627719539923769,0.1627719539923769,0.1627719539923769,0.1627719539923769
amq-5.5.0,0.0898258964820637,0.1121640198345942,0.1288873098671155,0.1459390856673,0.1602383555927598,0.1719881777005569,0.1835538185053345,0.1917519673106896,0.1957056346281758,0.196614743871034,0.1998178963666697,0.1984564449340002,0.2000766136003489,0.2026948063814749,0.2032954409324325,0.2032543169239954,0.2032543169239954,0.2032543169239954,0.2032543169239954,0.2032543169239954
