,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50,Glance-LR-55,Glance-LR-60,Glance-LR-65,Glance-LR-70,Glance-LR-75,Glance-LR-80,Glance-LR-85,Glance-LR-90,Glance-LR-95,Glance-LR-100
ambari-2.1.0,0.017724267875962,0.0165484982403848,0.0152917999546852,0.0140529670268039,0.0127411462845997,0.0115740639333418,0.0105795789309202,0.0094530755133914,0.0085739773161717,0.0077120267681265,0.0065754144624841,0.0056588814176859,0.0048607537027506,0.0039870159677366,0.0034354005425014,0.0033165622071422,0.0033166944719543,0.0033166944719543,0.0033166944719543,0.0033166944719543
ambari-2.2.0,0.0074300106558171,0.0067737162635243,0.0060593771649684,0.0054188351234636,0.0048283147692547,0.0042002914042998,0.0037005153890013,0.0030946369826333,0.0028049168542503,0.0024233709898258,0.0018765854448379,0.0015241494434933,0.0011596409926526,0.0008505370406654,0.000752910806959,0.0007265355912743,0.0007265649176784,0.0007265649176784,0.0007265649176784,0.0007265649176784
ambari-2.4.0,0.0357506173120469,0.0346194948448135,0.0333099201610826,0.032094987860445,0.0310380658709053,0.030191430997482,0.0294123492613994,0.028732253645146,0.0280385328013162,0.0273268440541849,0.0268095734491827,0.0263276751100907,0.0256925028300214,0.0253368648213631,0.0250383098311048,0.0249625050500578,0.0249506715040417,0.0249515001065475,0.0249515001065475,0.0249515001065475
ambari-2.5.0,0.0067262492509979,0.0060890293828056,0.0054404895335238,0.0047023541216949,0.0040750458587781,0.0034769355338048,0.0030259256815054,0.00261391627935,0.0022424475450489,0.0019175149855655,0.0015574962018952,0.0011414883208313,0.0007981259886533,0.0005388309710671,0.0004708763007957,0.0004682957862215,0.000468366138601,0.000468381315415,0.000468381315415,0.000468381315415
ambari-2.6.0,0.0020286001410657,0.0018483273165878,0.001690305198761,0.0015383173945348,0.0014411550492449,0.0012484984275668,0.001070161919157,0.0008835524388372,0.0007992603294938,0.0007002042864052,0.0005532097178875,0.0003934096415241,0.0002450763652901,0.0001198704379096,9.713155190659012e-05,9.715539237994916e-05,9.715564077980186e-05,9.715564077980186e-05,9.715564077980186e-05,9.715564077980186e-05
ambari-2.7.0,0.0041749436747,0.0041800508072473,0.0041449329359165,0.0041307846996588,0.0041162274517064,0.0041100351730426,0.0041190923543864,0.0041196532864451,0.0041199211221158,0.0041252919740027,0.0041548262434428,0.0041653418851317,0.00417857776324,0.004191896746477,0.0041910993005567,0.0041916819790114,0.0041918276739411,0.0041918276739411,0.0041918276739411,0.0041918276739411
amq-5.1.0,0.0191971142782216,0.0173918279758255,0.0156120459790719,0.0135376990500665,0.011472904666745,0.0097348224720184,0.008051161641127,0.0063112892790541,0.0050359290409584,0.0039052556837211,0.002888285252553,0.0017350335721943,0.0009422901246556,0.0005953591031858,0.0005308975076907,0.0005164087047596,0.0005164087047596,0.0005164087047596,0.0005164087047596,0.0005164087047596
amq-5.2.0,0.0165053332204082,0.0148339836785426,0.0132666354020113,0.0115047363031234,0.0099030452000546,0.008366210582277,0.0069473527201381,0.0054509706966175,0.0043384996525574,0.00335282941549,0.0024024062296878,0.0016331863465621,0.0008331056177978,0.0004580882897812,0.0003713807260155,0.0003511615343057,0.0003511615343057,0.0003511615343057,0.0003511615343057,0.0003511615343057
amq-5.4.0,0.0130182450314347,0.0121298452918979,0.0112441718584599,0.0101873232653766,0.0092236450805129,0.0084309173539232,0.0075509207589285,0.0066808705592449,0.0061229399189357,0.0056086809402188,0.005085002317815,0.0046429776770647,0.0042166403024619,0.0039241043663682,0.0038265306122448,0.0038268522409829,0.0038270225369104,0.0038270225369104,0.0038270225369104,0.0038270225369104
amq-5.5.0,0.0099647129319336,0.0090269266341331,0.0081336549082861,0.0071680129366307,0.0062163626369715,0.0052990524473414,0.0043451018293656,0.0034778547390983,0.0027690831022224,0.0021856078803065,0.0015292339287209,0.0011298016570424,0.0006640891516943,0.000338989262286,0.0002706471678379,0.0002706695171072,0.0002706695171072,0.0002706695171072,0.0002706695171072,0.0002706695171072
amq-5.6.0,0.0045555824093601,0.0042091836734693,0.0039072338282042,0.0035763724674553,0.003207754641789,0.0028531633515964,0.0024446704021807,0.0021632266117136,0.0018988941078542,0.0016871044079848,0.0015060875830168,0.0013769229273225,0.0012401965416233,0.0011123294395205,0.0010736372532318,0.0010657981798227,0.0010657981798227,0.0010657981798227,0.0010657981798227,0.0010657981798227
amq-5.7.0,0.0021683441585271,0.0019339258695151,0.0017281883725326,0.0015352336113811,0.0013415042090125,0.0011190595716198,0.0008846843862017,0.0006771904437735,0.0005514626375052,0.0003974012148081,0.0002986582501576,0.0002199268649984,0.0001128651186588,6.045812141502233e-05,4.15940346591747e-05,4.159749507447842e-05,4.159749507447842e-05,4.159749507447842e-05,4.159749507447842e-05,4.159749507447842e-05
amq-5.8.0,0.0170811855670103,0.0167744190110082,0.0165036237771783,0.016178261196003,0.0159190766607646,0.0155616521369688,0.0152768221034245,0.0150764956867332,0.0148306145542303,0.014670672738369,0.0145706115547711,0.0143714519632188,0.0141686930297637,0.0140619788866125,0.014023225648306,0.0140232733908472,0.0140232733908472,0.0140232733908472,0.0140232733908472,0.0140232733908472
