,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
ambari-2.1.0,0.0336553062699196,0.0693527610895648,0.104879164150344,0.1408349420343988,0.1766231590118095,0.2123694857625592,0.2484648977354841,0.2848779772605886,0.3210536788346139,0.3581509653951819
ambari-2.2.0,0.0203646515541193,0.0415642856915217,0.062677872005456,0.0839858626612998,0.1053448446199395,0.1265731613651646,0.147973573757326,0.1694440991908317,0.1910261680992035,0.2128568196087054
ambari-2.4.0,0.0123083808884413,0.0249944052814143,0.0375149192495617,0.050231248368207,0.0631014322479579,0.0761231397560702,0.0892753906978479,0.1026048077281712,0.1158666219089179,0.129265972921562
ambari-2.5.0,0.0208241470253001,0.0425967370233866,0.0642694909190745,0.0860732796991605,0.1078916279108463,0.1296579781525329,0.1516156809238167,0.1738312936262968,0.1957910763163806,0.2183519555396557
ambari-2.6.0,0.0141996584189854,0.0288453040831468,0.0434909497473081,0.0582126393196331,0.0729425498550027,0.0875162620925228,0.1021701287197288,0.1168589344398749,0.1315518506415434,0.1464544014008521
ambari-2.7.0,0.0078769723548765,0.0160132603653653,0.0240893871437521,0.0322360477804654,0.0403432924375256,0.0484422389936063,0.0565619308021359,0.0647148150145839,0.0727992398939502,0.0810226579647247
amq-5.1.0,0.0186509020225224,0.0388332878172072,0.0589996090967994,0.0791391561845705,0.0993804452012616,0.1197395406619651,0.1403503135257862,0.1611163767021692,0.1821876656653119,0.203719470727776
amq-5.2.0,0.0187394373198131,0.0387016602047917,0.0587334725121781,0.0787801968386519,0.0990058653941743,0.1191967392384928,0.1395764986579182,0.1601948503827418,0.1809474102793518,0.2021175067104086
amq-5.4.0,0.0156616858177973,0.0322096621211885,0.0487032170789731,0.0652200954705891,0.0817952824467837,0.0984365524855006,0.1150933714801051,0.1319056800335857,0.148811282322392,0.1660822850745572
amq-5.5.0,0.0142961309852619,0.029317748267303,0.0443430482209013,0.0594088575616295,0.0745114936179301,0.0895773029586583,0.1046615256571727,0.1199556606344506,0.1352903049988583,0.1509527071318617
