,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
ambari-2.1.0,0.472,0.584,0.676,0.732,0.775,0.804,0.823,0.845,0.855,0.863
ambari-2.2.0,0.539,0.679,0.77,0.8,0.83,0.861,0.879,0.885,0.897,0.921
ambari-2.4.0,0.307,0.387,0.451,0.493,0.522,0.531,0.539,0.549,0.56,0.566
ambari-2.5.0,0.539,0.677,0.728,0.789,0.823,0.845,0.862,0.866,0.892,0.905
ambari-2.6.0,0.516,0.694,0.774,0.823,0.855,0.855,0.887,0.887,0.903,0.903
ambari-2.7.0,0.143,0.168,0.227,0.286,0.286,0.294,0.303,0.303,0.319,0.336
amq-5.1.0,0.386,0.526,0.617,0.698,0.757,0.805,0.843,0.87,0.888,0.899
amq-5.2.0,0.374,0.509,0.6,0.676,0.724,0.787,0.83,0.863,0.883,0.895
amq-5.4.0,0.363,0.487,0.55,0.608,0.645,0.679,0.74,0.774,0.8,0.813
amq-5.5.0,0.437,0.586,0.634,0.683,0.744,0.796,0.861,0.887,0.916,0.926
amq-5.6.0,0.394,0.544,0.572,0.611,0.683,0.722,0.806,0.844,0.861,0.861
amq-5.7.0,0.381,0.577,0.598,0.649,0.68,0.701,0.804,0.845,0.876,0.887
amq-5.8.0,0.098,0.156,0.179,0.206,0.227,0.249,0.259,0.275,0.285,0.302
amq-5.9.0,0.431,0.604,0.688,0.771,0.819,0.849,0.878,0.902,0.917,0.931
amq-5.10.0,0.473,0.621,0.707,0.778,0.835,0.869,0.896,0.922,0.94,0.95
amq-5.11.0,0.451,0.608,0.692,0.762,0.812,0.856,0.888,0.913,0.926,0.936
amq-5.12.0,0.485,0.635,0.714,0.758,0.807,0.862,0.887,0.912,0.936,0.95
amq-5.14.0,0.523,0.664,0.732,0.797,0.825,0.847,0.881,0.898,0.915,0.927
amq-5.15.0,0.457,0.603,0.648,0.735,0.772,0.799,0.845,0.872,0.886,0.886
bookkeeper-4.2.0,0.415,0.623,0.717,0.774,0.83,0.887,0.906,0.943,0.962,1.0
bookkeeper-4.4.0,0.419,0.452,0.484,0.581,0.613,0.645,0.645,0.645,0.71,0.71
calcite-1.8.0,0.505,0.662,0.747,0.791,0.834,0.859,0.877,0.89,0.897,0.904
calcite-1.11.0,0.502,0.671,0.76,0.806,0.845,0.871,0.891,0.907,0.915,0.935
