,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50,Glance-MD-50-55,Glance-MD-50-60,Glance-MD-50-65,Glance-MD-50-70,Glance-MD-50-75,Glance-MD-50-80,Glance-MD-50-85,Glance-MD-50-90,Glance-MD-50-95,Glance-MD-50-100
ambari-2.1.0,0.0176527227987589,0.0164534502296177,0.0151218255486248,0.0138640154418002,0.0125534199552372,0.0113809525975591,0.0104015248510286,0.0092081313782031,0.0082325378664051,0.0071808883284293,0.0058087130696044,0.0045546456714071,0.0035177600502333,0.0023911542145949,0.0017569789011718,0.0016187349661881,0.0016188206815688,0.0016188206815688,0.0016188206815688,0.0016188206815688
ambari-2.2.0,0.0075766057069852,0.0070463503209927,0.0064285843053126,0.0058682335481233,0.005355904645769,0.0047637667814511,0.004290183756937,0.003679043637808,0.0034129348719267,0.0030155479055992,0.0023306779837896,0.0018751323806082,0.0013387856816208,0.0008631821728712,0.0007152925336082,0.0006751434679869,0.0006752146971732,0.0006752146971732,0.0006752146971732,0.0006752146971732
ambari-2.4.0,0.0350593248682644,0.0332241997755385,0.0309808731904563,0.028921319489823,0.0267532401366532,0.024896377079924,0.0230636724244196,0.0213706359468672,0.0195256421730958,0.0174751766516594,0.0157432961239032,0.0138390228569657,0.011358702833305,0.0092216040569149,0.0076198385975094,0.007057311796653,0.0069544870249859,0.0069549060962137,0.0069549060962137,0.0069549060962137
ambari-2.5.0,0.0068604511122963,0.0063698134249495,0.0058354763048577,0.0051834998516173,0.0046204706372344,0.0040813075564612,0.003703466840309,0.0033705817111185,0.0030461199018655,0.0027508907730391,0.002384300763052,0.0018909831889964,0.0014587955385169,0.00110381267756,0.0010086237329164,0.0010065587182233,0.0010068410018757,0.0010068919223359,0.0010068919223359,0.0010068919223359
ambari-2.6.0,0.0020634588354914,0.0019338342842468,0.0018218812853734,0.001714191689854,0.001690472867135,0.0015516644259796,0.0014488236244833,0.0013217858522911,0.0012976655095543,0.001251182840921,0.0011210382770619,0.0009301535562196,0.0007623132978448,0.0005780864889088,0.0005445164920432,0.0005458838086313,0.0005460328438755,0.0005460601758313,0.0005460601758313,0.0005460601758313
ambari-2.7.0,0.0038068307757197,0.0035320823312643,0.0032987436499184,0.0030410554862719,0.00273970462234,0.0024756419908447,0.0022247620377075,0.0020674373974393,0.0019072905274531,0.001769423930664,0.001642191814072,0.0015098158432729,0.0013432796890894,0.0011498727896638,0.0010682193288098,0.0010664509248703,0.0010668923082582,0.0010669904430769,0.0010669904430769,0.0010669904430769
amq-5.1.0,0.0196914497938823,0.018420798518611,0.0171715074020233,0.0155891764267296,0.0138913333985202,0.012427767457483,0.010977416440831,0.0093752389691825,0.0082571560667385,0.0072469408051195,0.0062493672400622,0.0049405092524921,0.0040013847031033,0.0036253776435045,0.003553310133747,0.0035390237755187,0.0035396928764993,0.0035398415999663,0.0035398415999663,0.0035398415999663
amq-5.2.0,0.0169863875514335,0.0157698804814632,0.0147230570822886,0.0133813600612514,0.0121674207869239,0.010902867691361,0.009685099015258,0.0083184065343555,0.0072962157062645,0.0064250438624991,0.0054814686525805,0.0046373670774486,0.0037127165350543,0.0032675544674675,0.0031618824137691,0.0031377002151565,0.003138262896766,0.0031383879645312,0.0031383879645312,0.0031383879645312
amq-5.4.0,0.0130527405578672,0.0122435253381604,0.0114846849190349,0.0104453569889057,0.0094759436678707,0.0085630827097755,0.0075373441140194,0.0065265129136895,0.0058197932053175,0.0051306263770853,0.0043277862636331,0.0036130238884638,0.0029835939350864,0.002508411894874,0.0023485275951992,0.0023518631643249,0.0023523661137078,0.0023524200139006,0.0023524200139006,0.0023524200139006
amq-5.5.0,0.010297967645768,0.0096421937666865,0.0090826371762303,0.0084470155457823,0.0077736121776051,0.0070753038204742,0.0062986143048529,0.0055370049452639,0.0048987772651946,0.0044056540220223,0.003711092112346,0.0032866609662248,0.0027588705351233,0.0023218711717614,0.002227713907095,0.0022306379194101,0.0022310539757238,0.0022310859864843,0.0022310859864843,0.0022310859864843
amq-5.6.0,0.0046623052282968,0.0043564356435643,0.004114816290982,0.0038324527311532,0.003535784648869,0.0032117048800071,0.0028090013284608,0.002494743556427,0.0021766542572354,0.001932804430009,0.001747213787722,0.0016155955645642,0.0013673173854405,0.0011743943933776,0.0011167480297374,0.0011052406294121,0.0011054313099041,0.0011054454370023,0.0011054454370023,0.0011054454370023
amq-5.7.0,0.0022600060493395,0.00210020789579,0.0019850584612654,0.0018673089487785,0.0017426474462109,0.0015747495297031,0.0014027005346395,0.0012262270555873,0.0011482898504214,0.0009925293489861,0.0009123673950494,0.0008428427112038,0.0007047260299602,0.0006310314495875,0.0006024405250205,0.0006031401787604,0.0006032059755894,0.0006032098464381,0.0006032098464381,0.0006032098464381
