,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50,Glance-MD-50-55,Glance-MD-50-60,Glance-MD-50-65,Glance-MD-50-70,Glance-MD-50-75,Glance-MD-50-80,Glance-MD-50-85,Glance-MD-50-90,Glance-MD-50-95,Glance-MD-50-100
ambari-2.1.0,0.6232888018982419,0.5580659135556194,0.4945759722438922,0.4403535297579816,0.3927264698498379,0.3580190067118131,0.3372618059911318,0.3219656825368766,0.3202868208936211,0.326347717877624,0.3359785447186568,0.3518305872406414,0.3676551035152404,0.3776772504331299,0.3814645722630053,0.38225603498387,0.382273270919948,0.382273270919948,0.382273270919948,0.382273270919948
ambari-2.2.0,0.6188105333509029,0.5528944738217233,0.4866929575945819,0.4321052931084577,0.3889692383009185,0.3504581133940098,0.3290114523867153,0.3125009424642345,0.318629251901309,0.327674085621453,0.3370907593181895,0.3553688095530714,0.371529222272667,0.3825266465709602,0.3869586706191849,0.3877495147982432,0.3877832427236473,0.3877832427236473,0.3877832427236473,0.3877832427236473
ambari-2.4.0,0.6445244209359298,0.5863475196339574,0.5263628885994996,0.4753728565972401,0.4296101478227793,0.3959636749462965,0.3705646147839654,0.355189783471371,0.3467889061555411,0.3457817804183863,0.3536581815007053,0.3654881114625187,0.376261002429444,0.3839221378238121,0.3857436840440503,0.3857858835617611,0.3857319866235414,0.3857515302255175,0.3857515302255175,0.3857515302255175
ambari-2.5.0,0.6240834054056522,0.556628251186505,0.4919180474394953,0.4256129251618089,0.3758861304596054,0.3384591720332266,0.321287633414319,0.3155907222345661,0.3182028053817086,0.329105036770025,0.34283955453255,0.3585671015107969,0.3746533205212918,0.3853213253407933,0.3890208025316166,0.3897959377367663,0.3898851095758871,0.3899011897700793,0.3899011897700793,0.3899011897700793
ambari-2.6.0,0.6199195618443352,0.5581484366932781,0.5068935344163215,0.4623535701095762,0.4438990737009359,0.4045843558325493,0.3811879732145934,0.3619852832352488,0.366037857729799,0.3717606066856925,0.3737389653894236,0.3780294389256844,0.386942551318208,0.3918227075529372,0.3945817949699459,0.3953686395361351,0.39545416983917,0.3954698504736644,0.3954698504736644,0.3954698504736644
ambari-2.7.0,0.6105282184611327,0.5443083647457797,0.4903736674254463,0.4393249034365107,0.3907421244633981,0.3563141427485357,0.3333218854397187,0.3281441585788587,0.3298914847681973,0.3396883650812772,0.3539767466706323,0.3707966934908505,0.3851470734019161,0.3933197945194644,0.3957249216354752,0.3964811764353387,0.3966104849102873,0.3966392203697335,0.3966392203697335,0.3966392203697335
amq-5.1.0,0.6233951373630566,0.5611107455665606,0.5048711502462238,0.4452838410288009,0.3908775651054423,0.3516288703837718,0.3227232306270295,0.3025106944463923,0.3005911129944059,0.3083138199283388,0.320388957454798,0.3321451881302116,0.343443515749793,0.3501334413945212,0.3520256777097474,0.3526334682476976,0.3527006945628608,0.3527156337924661,0.3527156337924661,0.3527156337924661
amq-5.2.0,0.624365343532961,0.5574840850596711,0.5022735364582517,0.4435199922376884,0.396676219856455,0.357192513200097,0.3289857153034844,0.308986466197962,0.3060734332992695,0.3139220341927538,0.3255587064097077,0.3394302461515975,0.3504991031975285,0.3575835209506347,0.3596452841855965,0.3601708717247244,0.3602332925323936,0.3602471638630483,0.3602471638630483,0.3602471638630483
amq-5.4.0,0.6258084723963722,0.5650250247617431,0.5116488791380107,0.4521106813896933,0.4030782511351043,0.3646575798470077,0.3321645084428864,0.3115233383664583,0.3084315026712824,0.3139149044801188,0.3230176927331472,0.3349523554729169,0.3456007755821315,0.3510348090421774,0.3524050617660501,0.3529091741098942,0.3529850637693633,0.3529931948318834,0.3529931948318834,0.3529931948318834
amq-5.5.0,0.6293285646957051,0.5673037116133214,0.5158975293834871,0.4656225636323965,0.4198813120799899,0.3807233685201699,0.3472990781430461,0.3250883083240181,0.3170491130629021,0.3213300417494606,0.3267968996090695,0.3382399995857535,0.346649552432632,0.3505230426974752,0.3517932584967314,0.3522597687401398,0.3523260510619948,0.3523311497245484,0.3523311497245484,0.3523311497245484
