,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50
ambari-2.1.0,0.0384098469959471,0.0789107144727242,0.1192160942250831,0.1599962298796005,0.2006716399674652,0.2413016689764472,0.2822912557642697,0.3235182205031714,0.364563660926542,0.4063526528731459
ambari-2.2.0,0.0394608944511901,0.0806969236309631,0.1217640441202247,0.1631562341648102,0.2045547981222452,0.2456346664372058,0.2869663043097212,0.3285401508705171,0.3699833322178986,0.4120607178938042
ambari-2.4.0,0.0382422326656969,0.0782910932080116,0.117897038528962,0.1581906680093991,0.1984376748349558,0.2388128939614337,0.2794748424154265,0.3207498787810973,0.3615703442616836,0.4032579911230465
ambari-2.5.0,0.0395059776866311,0.0808402039984359,0.1219289998918442,0.1633235438488481,0.2046702496734527,0.2457944041864605,0.287153589523865,0.3290348344800619,0.3703253824970673,0.4126267710508581
ambari-2.6.0,0.0398326211924095,0.0814121970318212,0.1228211878880551,0.1645631277475999,0.2062249132174588,0.2475064791464996,0.2889154700027335,0.3307252328073972,0.3720479035516615,0.4143118745645459
ambari-2.7.0,0.0396566245814645,0.0811367568531941,0.1224675233072911,0.1641592571540003,0.2055999734460768,0.2468539824661126,0.2882469846775565,0.330094307917633,0.3714333724727096,0.4136520357316228
amq-5.1.0,0.0360380621910927,0.0746410919586392,0.1130192185148891,0.1516008289289787,0.1899521812934076,0.2285284368691331,0.2671582408285006,0.3063128189475601,0.345269268047144,0.3852806203044761
amq-5.2.0,0.0369271299333929,0.0761357987871557,0.1151754647579282,0.1545034297643901,0.1937021572720946,0.2329605328561487,0.2721741723829406,0.3120141167114027,0.3514315538323889,0.3919823044040163
amq-5.4.0,0.036520610141029,0.0751753144776328,0.1136861909722762,0.15225926329047,0.19098782516754,0.2294870399452676,0.2680639995024334,0.3070957660193118,0.3459137343927355,0.3856801890753036
amq-5.5.0,0.0366057552791096,0.0751780571697932,0.1136730229577744,0.1522784688924733,0.1910312216894624,0.229430438016955,0.2679438171627225,0.30683282880733,0.3454382747420289,0.3849938499384994
amq-5.6.0,0.0367431917220271,0.075368039432679,0.1138254099087413,0.1524009996092198,0.1911407826769429,0.2294963532653135,0.2678978979965125,0.3067197777478581,0.3451541611525061,0.3844489178015164
amq-5.7.0,0.0370035064930805,0.0757815805788173,0.1144087672167498,0.153134358711946,0.1920272384644906,0.230513378140345,0.2690880821877368,0.3080236040450956,0.3465983080924874,0.3859077684074486
amq-5.8.0,0.0358897838842071,0.073914931547551,0.1119074283885839,0.1500827698345583,0.1885127876945581,0.226335500259574,0.264497781376624,0.303277163035351,0.3418116635267459,0.3812963029473897
amq-5.9.0,0.0356343421785775,0.0734137017008763,0.1111672952490764,0.1490336149339585,0.1872606582562233,0.2249369538821271,0.2629256619439783,0.3015875060791595,0.3398757435899087,0.3791302051293613
amq-5.10.0,0.0358568861092204,0.0738905286005087,0.1118238019214423,0.1499452674367909,0.1882800174391433,0.2262101542235033,0.2644382619823539,0.3032874039827741,0.3417507519846435,0.3811142859831317
amq-5.11.0,0.036128640776699,0.0742445388349514,0.1123756067961165,0.1505825242718446,0.1890200242718446,0.2271207524271844,0.2654672330097087,0.3044205097087378,0.3429793689320388,0.3824544902912621
amq-5.12.0,0.0362032827154336,0.0743411360052126,0.1124530412545012,0.1506485568564813,0.1890516567823853,0.2270828347945924,0.2655118827609868,0.304200411132286,0.342718835682592,0.3819868702915118
amq-5.14.0,0.0362428244801312,0.0745113586375065,0.1126359750832278,0.1509017938120815,0.1893386845378069,0.2274280004127451,0.2658078671395132,0.3044185452906323,0.3427495343040085,0.3818815747313083
amq-5.15.0,0.0366223434969557,0.075154226904907,0.113495424892773,0.1519413655761788,0.1905054775058347,0.2287768470300074,0.2671637020902882,0.3058808994980407,0.344294611659742,0.3834576369510744
bookkeeper-4.2.0,0.0426378915300231,0.0861078043597916,0.1295905175172484,0.1733036365730962,0.2169783546458789,0.260435467147959,0.30412298554843,0.3482073141072411,0.3918948325077122,0.4359919613942117
bookkeeper-4.4.0,0.0422403265469996,0.0856851297321712,0.129698713552035,0.1730766013684193,0.2163206584472288,0.2598658346855814,0.3038626896632484,0.3480602907472774,0.392190976462519,0.4367566120748783
calcite-1.8.0,0.0411956011749053,0.0830757068392603,0.1247180034321633,0.1664374272914832,0.2084846420330747,0.250956056739959,0.2942758713774287,0.3384023086761747,0.3827826232268763,0.4279952695276597
calcite-1.11.0,0.041435761703014,0.0838610066996903,0.1258543100728174,0.1679762769082782,0.2105087414568992,0.2533230402563466,0.2966856904785974,0.340982682510653,0.3855523185462254,0.4306519255099821
calcite-1.13.0,0.0399468095357397,0.0809651371196207,0.1214978126385168,0.1619726724353909,0.2028406791420146,0.2438859873961726,0.2859025997803002,0.3289329144905471,0.3721443851297963,0.4162770529399294
calcite-1.15.0,0.0400511028117434,0.0814777713657299,0.1223491323773332,0.1631116095570968,0.2041172606279693,0.2455729648704464,0.2876783426429009,0.3308979649611829,0.3741647702732621,0.4180921374985028
calcite-1.16.0,0.0400133082741362,0.0813609833965122,0.1221848221965023,0.1629378723042781,0.2038962096194753,0.2453359100417299,0.2874976551245704,0.3304947067755396,0.3735059161649518,0.4173064194725535
calcite-1.17.0,0.0406569031315872,0.0828327569816623,0.1246986208891889,0.1666299271179201,0.2084165713734621,0.2504580962484328,0.2928681647217668,0.3358086604301282,0.3789420387694088,0.4227126186572613
calcite-1.18.0,0.0410638114381621,0.083557227297152,0.1258449924041899,0.1679602762353971,0.2100821939618285,0.2522770845357268,0.2947671834471046,0.3379836938855388,0.3811172806336697,0.424851234899596
cassandra-0.8.6,0.0420336767406393,0.0851644931370413,0.1287543963397553,0.1723909863363316,0.2159108593482523,0.2593451399047589,0.3030361978275078,0.3472874972766037,0.3910563665224563,0.4353543527654144
cassandra-1.0.9,0.0423647527497532,0.0858987194656622,0.1295727118062605,0.1733937310527826,0.2169767067373329,0.2603146375786769,0.3037645889197723,0.3475576030413566,0.3911965889757826,0.4353886761277313
cassandra-1.1.6,0.0422953088797279,0.0859266391839436,0.1295760238317335,0.1733878975716908,0.2170252459904312,0.2606144494929738,0.3042156892245659,0.3481659795985917,0.3919959076821231,0.4360184154304456
cassandra-1.1.11,0.0427480194481039,0.0866893915673683,0.1306780251785598,0.1748379816979872,0.2187734461307607,0.2625434953417892,0.306408067536672,0.3504498703262815,0.3943735193860732,0.4386339065758458
cassandra-1.2.11,0.043024148090605,0.0871377549570374,0.1312087308278939,0.1753507583580435,0.2194927858881931,0.2635021836543289,0.3074500033157441,0.3516583457279005,0.3955872182801709,0.4400797673294997
flink-1.6.0,0.0393522787144362,0.0803592597471022,0.1212131190727081,0.1623880400421496,0.203388435194942,0.2440825869336143,0.2849759615384615,0.3262167413066386,0.366996509483667,0.408691714963119
groovy-1.5.5,0.0416678156798941,0.0849442498782045,0.1280919945950417,0.1717361130261331,0.2148746656371508,0.2581510998354613,0.3014459182454108,0.3447223524437213,0.3872358418590115,0.4304479313165853
groovy-1.6.0,0.0415052925974439,0.0846673983077849,0.1278436648139625,0.1711402980847523,0.2143307253867667,0.2574574291075158,0.3008744291429178,0.344277268382483,0.3869791482281304,0.4301200127447162
groovy-1.7.3,0.0419813444837568,0.0853715020907044,0.1286072692183982,0.1719266645223544,0.2151495657767771,0.2582502412351238,0.3018076551945963,0.3453264715342554,0.388201994210357,0.4315213895143133
groovy-1.7.6,0.0421829336800712,0.0856156385510228,0.129042031446263,0.172600975831445,0.2161220483623579,0.2593464580348295,0.3028612185900308,0.3464138509995013,0.3893794696678007,0.4328374224415984
groovy-1.8.1,0.0409176550089051,0.0836220571644551,0.1263608198420561,0.1693171991593125,0.2123365727669955,0.254937893356393,0.2978026446148472,0.3410510883695359,0.38371540324936,0.4269810272650742
groovy-1.8.7,0.0417260607649413,0.0853090404644481,0.1287773281121142,0.172442230705793,0.2161999792462001,0.2594224982113501,0.3027815553334534,0.346271689086232,0.3892921315790911,0.4328805728048761
groovy-2.1.0,0.0419266838010764,0.0854517021769908,0.1288829910562327,0.1725560033742618,0.2162191494294833,0.2596701708343405,0.3027709399095263,0.3463896877821134,0.3894559249374725,0.4330500071530405
groovy-2.1.6,0.0421313567163742,0.0858308901594475,0.1294184109791851,0.1732835283002328,0.2169489709448995,0.2602881159476755,0.3038658965392969,0.3475069886136733,0.3906708095103587,0.434302161356619
groovy-2.4.4,0.0420630925759363,0.0855124724599173,0.1288999645176463,0.1725473854456336,0.2160091428948649,0.2593182437060081,0.3028006304306567,0.3464067928078094,0.3894930974444454,0.4332189096190185
groovy-2.4.6,0.0421644961233946,0.08566702648569,0.1290956776568804,0.1728198455924905,0.2163470023518209,0.259685356733883,0.3032125134932134,0.3468340714411778,0.3899918322449834,0.4336421209894886
groovy-2.4.8,0.0424254544564072,0.0861120407480266,0.1296394550604445,0.1734158306736647,0.2170697663028838,0.2604869846297006,0.3040062362765184,0.3477336358961382,0.3909263809189529,0.4347150005305732
groovy-2.5.0,0.0422373646827959,0.0857336618341455,0.1291758501401419,0.172913833467403,0.2165472063603144,0.2599461075900281,0.3034063321778089,0.3471948170940664,0.3906081473492077,0.4346311039286629
groovy-2.5.5,0.0423861006081343,0.085979843869057,0.1294729502422473,0.1732571847549491,0.2169587532527279,0.2603548169127478,0.3039521543482323,0.3477256063372486,0.3912366835832482,0.4352761044898429
hbase-0.94.5,0.0438002546778109,0.0886574583443056,0.1325370743796286,0.1774664247347707,0.2223308430701301,0.26684534996555,0.3113670715298344,0.3567365166857254,0.4018426264280535,0.447374401633401
hbase-0.98.0,0.0450286929578497,0.0909374255174816,0.1363394686094207,0.1822732022941032,0.2280352615867714,0.2737073168292573,0.3195510464637575,0.3659314669160112,0.4121702143263113,0.4586406388287473
hbase-0.98.5,0.0452298778837066,0.0911730329355732,0.1366671475883936,0.182605439386841,0.2284610558771607,0.274131868737548,0.3199323683557826,0.3662710680190834,0.4125108815295256,0.4589419830077925
hbase-0.98.11,0.0455631156168463,0.0916961723550978,0.1378368895922929,0.1840296982223046,0.2302025895550629,0.2763693524886663,0.322617316711072,0.369052197107702,0.4153369317250371,0.4618928480049762
hive-1.2.0,0.0438635168433791,0.0886685819135475,0.1333209324542487,0.1782545992334419,0.2230171798104502,0.2676465657602542,0.3123103985964042,0.3572739193437638,0.4018688584072219,0.447040208702202
hive-2.0.0,0.0441740728327574,0.0891966284127112,0.1341286534838836,0.1792706322881875,0.224258516609459,0.2691029004434069,0.3140917478551974,0.3592828442759678,0.4042013860798749,0.449615919501042
hive-2.1.0,0.043790361003552,0.0886366738962003,0.1333482805975168,0.1781855528061831,0.2230264412884421,0.2677823473412704,0.312625948028724,0.3577516180564157,0.4026404221637792,0.4480346005057358
ignite-1.4.0,0.0417766146306498,0.0853401788616531,0.1289237462598244,0.1728040273043231,0.2165809586517865,0.2602512064410198,0.3042798443086822,0.348856902342871,0.393193922371042,0.4381460397896333
ignite-1.6.0,0.0419658801067313,0.0856542293899429,0.1295029109876176,0.1735339889797275,0.2173532518041062,0.2610827873699322,0.3052609592285221,0.3497730341640214,0.3940085726305384,0.4387971840350201
log4j2-2.1,0.0380464699481533,0.0779875824105485,0.1176086539077001,0.1573577417909492,0.1973244575305639,0.2368303142802278,0.2770018562375984,0.3177622735710171,0.3579210138897779,0.3991806951289765
log4j2-2.2,0.0380122546209602,0.0779735289996305,0.1176035974064024,0.1572591431956281,0.1972331562655253,0.2367867925249359,0.2768881925071018,0.31779213003656,0.357969962166087,0.3991414122113094
log4j2-2.3,0.0381602351427382,0.0782253283041717,0.1178993578988533,0.1577247669387291,0.197676325516267,0.2374134298797794,0.2776172875326412,0.3185149676426436,0.35876928511057,0.4000832586948569
log4j2-2.4,0.0382903521403325,0.0785224942182659,0.1183400968713182,0.1586813282715888,0.1990007418073918,0.2390037963084173,0.2794104813020902,0.3203517039752149,0.3608892961556922,0.4026159619496444
log4j2-2.5,0.038065215249729,0.0779726135356122,0.1178603093291301,0.1582405674317801,0.1985026105802384,0.2387745049748793,0.2792532755393557,0.3201852034282336,0.360801891439267,0.4024628115456605
log4j2-2.6,0.0386255016569249,0.079149389685434,0.1194401425455029,0.1603636908627666,0.2013288704601089,0.242119198681121,0.2833757972390135,0.3250736873657391,0.3664468535078516,0.4087026027876305
