,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50
ambari-2.1.0,0.0567840085761167,0.0681896420218581,0.0801649485254888,0.0882368687569578,0.0955917594008058,0.0998480718571376,0.101032585606923,0.1040059528328971,0.1042299300120815,0.1045634609223455
ambari-2.2.0,0.0399131103629205,0.0468966153012818,0.0554454745222745,0.0606359902703327,0.0638544334524658,0.0680893083337548,0.0694201621265629,0.0725087097533689,0.070011373270726,0.0692920613892792
ambari-2.4.0,0.049083351155243,0.0661959885129243,0.0843972570585642,0.0957187472302351,0.1058744383485413,0.1112207411039724,0.115278570475274,0.1172789784893164,0.1197926472779398,0.1225631575791485
ambari-2.5.0,0.0345799262099455,0.0427537333598002,0.0505717754155043,0.0596599392677846,0.0647638599941178,0.0684477493897836,0.0684555836098126,0.0675506322310533,0.0665835364264817,0.0650057991608216
ambari-2.6.0,0.0204482986309586,0.0231439558936594,0.024704107636211,0.0259301120514091,0.0235628398081382,0.0260280763062775,0.0268106655489937,0.0281093634048803,0.0263332169190631,0.0252633898492151
ambari-2.7.0,0.0324016580160567,0.0363548643951323,0.038512261531305,0.041389990537657,0.0451423523401287,0.0471927494459606,0.0485074579032394,0.0474239911121995,0.046509593586018,0.0450925285915215
amq-5.1.0,0.0631817890847941,0.0734118858501736,0.0821600126972201,0.0946587336058268,0.1062761629994452,0.1127443805231416,0.1178809442731029,0.1233911288533323,0.1233903674087048,0.1218923668189318
amq-5.2.0,0.0567066394085986,0.0696553421960427,0.0766808313525692,0.0876072104127537,0.0944980251167088,0.1007939273376297,0.1053806103687719,0.1104905085599015,0.1112588947577881,0.109980083033847
amq-5.4.0,0.0492439758556944,0.0573916229955897,0.0634277967332942,0.0740507705125133,0.0812401637433687,0.0862964084717634,0.0919560145673854,0.096257487942879,0.0962651531859994,0.0956475955710053
amq-5.5.0,0.0410084053292215,0.0497700335372631,0.0544073911392357,0.0601402021065161,0.0655377724047921,0.0704447167639428,0.0756423673860461,0.079580644893388,0.0811831074218406,0.0804457525895469
amq-5.6.0,0.0281638365055672,0.0343174884561144,0.0368191875778881,0.0404759208774189,0.0438795147155491,0.0474226321711007,0.0521252735165261,0.0540412284412848,0.0556641860586507,0.0554748617391708
amq-5.7.0,0.0180206202651907,0.0236372490905205,0.0253238934792126,0.0270158984034033,0.0287456154790678,0.0318154889592711,0.0344406753454627,0.0366767359908083,0.0357689962741523,0.0368420552105584
amq-5.8.0,0.0571082965506472,0.0699516678914216,0.0796070026795592,0.0870694368099475,0.0930314168675387,0.1034069962388237,0.1091378344384079,0.1115306354533944,0.1111890169728734,0.109285113097586
amq-5.9.0,0.057356566338956,0.0703442444007017,0.0812675276155597,0.0896223774965997,0.0953610327897791,0.1036624492389662,0.1078564225617726,0.1081050112065085,0.1078996245726867,0.1049947429045171
amq-5.10.0,0.0578334016810309,0.0705458721286917,0.0806270050776484,0.0888462692654232,0.0955509779960855,0.1028078520594639,0.1060438025695769,0.1059062607782058,0.1048558824837781,0.1027576764503087
amq-5.11.0,0.0529039129926462,0.0678598223004844,0.0764008628664508,0.0856385210692586,0.0921883316450979,0.0985678433002081,0.1013282031116841,0.1002125140883345,0.0989949625039106,0.0960745842174177
amq-5.12.0,0.0450081490121515,0.0569973126528247,0.0642556907359511,0.0720955113802581,0.0778159480812749,0.083214097218627,0.0830692845503601,0.08402227103655,0.0809535139470224,0.0781355212630271
amq-5.14.0,0.0440475436783345,0.05115152223081,0.0577666919938308,0.0629443879601519,0.0656384351777716,0.0691742629082343,0.0686196309216097,0.0697536649755593,0.0686494911008465,0.0656421591048686
