,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50
ambari-2.1.0,0.1193737769080234,0.2147304750044476,0.310798790250845,0.3981497954100694,0.4821206191069205,0.5548834726916919,0.6155488347269169,0.6795943782245152,0.7311866215975805,0.7811777263832058
ambari-2.2.0,0.1257598784194528,0.2222644376899696,0.3225683890577507,0.4110942249240121,0.4893617021276595,0.5695288753799392,0.6337386018237082,0.7044072948328267,0.7427811550151976,0.7879939209726444
ambari-2.4.0,0.0893074119076549,0.1744835965978128,0.2650060753341434,0.3465978128797083,0.4257594167679222,0.4934993924665856,0.5566828675577157,0.6134264884568651,0.6686512758201701,0.7233900364520048
ambari-2.5.0,0.1182974018794914,0.2169707020453289,0.3150912106135987,0.4206744057490326,0.5093974571586511,0.5892758430071863,0.6478717523493643,0.6984521835268104,0.7443338861249309,0.7846876727473743
ambari-2.6.0,0.1242067089755213,0.2148685403445149,0.2937443336355394,0.3671804170444243,0.4070716228467815,0.4841341795104261,0.5448776065276518,0.6092475067996374,0.6400725294650952,0.6763372620126926
ambari-2.7.0,0.1374939054119941,0.2345197464651389,0.3174061433447099,0.4007801072647489,0.4870794734275963,0.560702096538274,0.6270112140419307,0.673817649926865,0.7176986835689907,0.7557289127254998
amq-5.1.0,0.1191230207064555,0.2099878197320341,0.2950060901339829,0.3887941534713763,0.4808769792935444,0.5583434835566382,0.6299634591961023,0.7013398294762485,0.7520097442143727,0.7958587088915956
amq-5.2.0,0.1177865612648221,0.2152832674571805,0.2990777338603425,0.392094861660079,0.4735177865612648,0.5517786561264822,0.6226613965744401,0.6940711462450593,0.7472990777338604,0.7915678524374177
amq-5.4.0,0.115727002967359,0.2044780145670353,0.2854059886700836,0.3790126787159428,0.4629080118694362,0.5381710277852711,0.6142433234421365,0.6841111410844348,0.7342864850283248,0.7801456703533854
amq-5.5.0,0.1107481215289121,0.2012414243711205,0.2793204835021234,0.359359686377001,0.437765436131983,0.5129042796471741,0.5883698137863443,0.6576282260699118,0.7141457040182947,0.7585756288794512
amq-5.6.0,0.1118293471234647,0.2036199095022624,0.2792501616031028,0.3581124757595346,0.4350355526826115,0.5113122171945701,0.5940530058177117,0.658694246929541,0.7188106011635423,0.7653522947640594
amq-5.7.0,0.1061827956989247,0.2029569892473118,0.2782258064516129,0.3508064516129032,0.4220430107526882,0.5026881720430108,0.5793010752688172,0.6518817204301075,0.6922043010752689,0.75
amq-5.8.0,0.1185661764705882,0.2158088235294117,0.3060661764705882,0.3902573529411764,0.4691176470588235,0.5597426470588235,0.6349264705882353,0.6972426470588236,0.7465073529411764,0.7880514705882353
amq-5.9.0,0.1238589211618257,0.225103734439834,0.3219917012448133,0.4120331950207468,0.4933609958506224,0.5807053941908714,0.6526970954356847,0.708298755186722,0.758298755186722,0.7956431535269709
amq-5.10.0,0.131721061281991,0.2378492603897628,0.3371683493777882,0.4308523127494717,0.5186663536041324,0.6062455975581122,0.6771542615637474,0.7323315332237614,0.7795257102606246,0.8199107771777413
