,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50
ambari-2.1.0,0.1193737769080234,0.2147304750044476,0.310798790250845,0.3981497954100694,0.4755381604696673,0.4609500088952143,0.5016900907311866,0.4847891834193204,0.4766055861946273,0.336772816224871
ambari-2.2.0,0.1257598784194528,0.2222644376899696,0.3225683890577507,0.4110942249240121,0.4783434650455927,0.5246960486322189,0.5022796352583586,0.5459726443768997,0.5281155015197568,0.3533434650455927
ambari-2.4.0,0.0893074119076549,0.1744835965978128,0.2650060753341434,0.3465978128797083,0.4191980558930741,0.4325637910085054,0.4318955042527339,0.4168286755771567,0.4864520048602673,0.4148845686512758
ambari-2.5.0,0.1182974018794914,0.2169707020453289,0.3150912106135987,0.4206744057490326,0.5041459369817579,0.5107794361525705,0.5102266445550028,0.4986180210060807,0.517689331122167,0.3817025981205085
ambari-2.6.0,0.1242067089755213,0.2148685403445149,0.2937443336355394,0.3671804170444243,0.3980054397098821,0.4079782411604714,0.4079782411604714,0.4397098821396192,0.4397098821396192,0.3408884859474161
ambari-2.7.0,0.1374939054119941,0.2345197464651389,0.3174061433447099,0.4007801072647489,0.4680643588493418,0.4695270599707459,0.3959044368600682,0.4578254509995124,0.409068746952706,0.4812286689419795
amq-5.1.0,0.1191230207064555,0.2099878197320341,0.2950060901339829,0.3887941534713763,0.4808769792935444,0.5293544457978075,0.5381242387332521,0.5373934226552984,0.5895249695493301,0.4521315468940317
amq-5.2.0,0.1177865612648221,0.2152832674571805,0.2990777338603425,0.392094861660079,0.4735177865612648,0.510935441370224,0.5193675889328063,0.480368906455863,0.5341238471673254,0.4714097496706192
amq-5.4.0,0.115727002967359,0.2044780145670353,0.2854059886700836,0.3790126787159428,0.4629080118694362,0.4985163204747774,0.5044510385756676,0.5287294308065822,0.5702724575128136,0.4000539519827353
amq-5.5.0,0.1107481215289121,0.2012414243711205,0.2793204835021234,0.359359686377001,0.437765436131983,0.4913426984645541,0.505390395295655,0.4710878797778504,0.5749754982032016,0.4348252205161712
amq-5.6.0,0.1118293471234647,0.2036199095022624,0.2792501616031028,0.3581124757595346,0.4350355526826115,0.4925662572721396,0.5216548157724629,0.4608920491273432,0.5281189398836458,0.5177763413057531
amq-5.7.0,0.1061827956989247,0.2029569892473118,0.2782258064516129,0.3508064516129032,0.4220430107526882,0.4677419354838709,0.4422043010752688,0.3924731182795699,0.4986559139784946,0.4905913978494624
amq-5.8.0,0.1185661764705882,0.2158088235294117,0.3060661764705882,0.3902573529411764,0.4691176470588235,0.5409926470588236,0.533639705882353,0.5264705882352941,0.5602941176470588,0.4233455882352941
amq-5.9.0,0.1238589211618257,0.225103734439834,0.3219917012448133,0.4120331950207468,0.4933609958506224,0.5728215767634854,0.558091286307054,0.549585062240664,0.5973029045643153,0.4004149377593361
amq-5.10.0,0.131721061281991,0.2378492603897628,0.3371683493777882,0.4308523127494717,0.5186663536041324,0.5938013618220239,0.5764263911716365,0.5846442826954684,0.5987320967363231,0.4674806292556938
amq-5.11.0,0.1302752293577981,0.2435124508519004,0.3415465268676277,0.4411533420707733,0.5310615989515072,0.6034076015727392,0.5973787680209699,0.5855832241153343,0.5695937090432504,0.5323722149410223
amq-5.12.0,0.1255872220482305,0.233009708737864,0.3275916066395239,0.4237394300031318,0.5114312558722205,0.5815847165674913,0.6075790792358283,0.60632633886627,0.5891011587848418,0.4801127466332602
amq-5.14.0,0.1441523118766999,0.2502266545784224,0.3513145965548504,0.4451495920217588,0.5249320036264733,0.5902085222121487,0.6264732547597461,0.6323662737987308,0.5942883046237534,0.428377153218495
amq-5.15.0,0.1464597478176527,0.2463627546071775,0.3588748787584869,0.4684772065955383,0.5664403491755577,0.6430649854510184,0.6711930164888458,0.7255092143549952,0.7507274490785645,0.5363724539282251
bookkeeper-4.2.0,0.0929054054054054,0.1976351351351351,0.2956081081081081,0.3817567567567567,0.4324324324324324,0.3682432432432432,0.3445945945945945,0.2601351351351351,0.1689189189189189,0.375
bookkeeper-4.4.0,0.1156893819334389,0.2060221870047543,0.2503961965134706,0.3454833597464342,0.4310618066561014,0.4247226624405705,0.4770206022187004,0.4469096671949287,0.3074484944532488,0.2361331220285261
calcite-1.8.0,0.0850230128125388,0.1794377410125637,0.2762781440477671,0.3754820251275034,0.4053986814280383,0.360990172907078,0.3468093046398806,0.3108595596467222,0.2637143923373554,0.3468715014305262
calcite-1.11.0,0.0875058493214787,0.1784210174476903,0.2754194799117588,0.3744902734139982,0.4032355103950799,0.3651313590480647,0.3363192726786549,0.294939501303563,0.2434654722909285,0.3746239721906544
calcite-1.13.0,0.0820900953351284,0.1690561094534604,0.2626446401280838,0.3619823884724547,0.4204206389636853,0.402299687067899,0.4058656575212866,0.412997598428062,0.3656939087402663,0.3565242704315552
calcite-1.15.0,0.0856673447034892,0.1703958691910499,0.2643561258019089,0.3648881239242685,0.4252855578156783,0.4040838679392896,0.3903927397903302,0.4024409325614145,0.3645751838522922,0.3630887185104052
calcite-1.16.0,0.0857233401996514,0.1716843606401521,0.2660434162573284,0.3671367453652353,0.4300427824433528,0.4154650610045951,0.3953414672793535,0.405165583901125,0.3696720012676279,0.3565203612739661
