,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50
ambari-2.1.0,36,9,46,9,52,9,513,10,55,9
ambari-2.2.0,94,106,1483,245,7,1141,1553,539,4235,249
ambari-2.4.0,20,64,60,66,287,231,39,971,1814,1
ambari-2.5.0,117,352,1045,88,94,1,152,471,640,173
ambari-2.6.0,144,770,5,221,645,3109,1954,403,670,828
ambari-2.7.0,373,27,442,1142,167,333,1904,1620,486,554
amq-5.1.0,20,13,7,7,365,10,13,1741,56,2526
amq-5.2.0,8,328,23,1030,18,457,163,530,499,4977
amq-5.4.0,7,140,5,292,38,313,29,156,306,626
amq-5.5.0,378,231,12,96,365,139,154,1,250,158
amq-5.6.0,136,100,10,357,403,90,590,1237,986,660
amq-5.7.0,555,359,696,1361,195,273,325,5848,1269,2755
amq-5.8.0,53,85,32,460,106,238,241,479,7,217
amq-5.9.0,100,94,89,101,130,526,248,52,281,192
amq-5.10.0,53,5,83,8,318,11,900,8,108,6
amq-5.11.0,63,140,148,166,601,257,301,59,277,129
amq-5.12.0,121,208,177,266,53,252,658,1806,2,1484
amq-5.14.0,44,25,326,73,747,1077,665,1358,1512,1169
amq-5.15.0,119,197,164,1158,1051,192,343,1030,1,5548
bookkeeper-4.2.0,1056,183,3455,381,5,733,6452,820,8821,2747
bookkeeper-4.4.0,614,43,220,58,106,80,390,80,643,247
calcite-1.8.0,13,25,2,2,2,15,15,1,27,2
calcite-1.11.0,1,20,6,37,3,1,40,3,2,104
calcite-1.13.0,42,17,16,16,23,12,1,19,6,21
calcite-1.15.0,17,58,40,39,10,5,5,107,106,11
calcite-1.16.0,12,40,1,42,8,38,5,125,16,6
calcite-1.17.0,2,3,1,41,89,2,1,95,225,142
calcite-1.18.0,22,3,235,3,236,3,146,3,24,180
cassandra-0.8.6,19,1,22,117,3,4,255,31,227,267
cassandra-1.0.9,57,214,31,39,27,273,9,68,549,66
cassandra-1.1.6,39,38,206,1,2,13,233,12,556,3
cassandra-1.1.11,2542,30,551,554,81,549,1304,100,82,185
cassandra-1.2.11,294,435,922,213,204,797,4,397,2101,1139
flink-1.6.0,397,56,2512,546,1305,13,949,2136,4670,4826
groovy-1.5.5,44,31,96,1112,610,774,968,682,66,2069
groovy-1.6.0,23,50,175,71,73,339,351,255,1791,1389
groovy-1.7.3,19,270,342,765,293,345,423,324,551,16
groovy-1.7.6,1146,771,452,548,644,426,157,153,182,964
groovy-1.8.1,119,61,488,167,684,89,492,522,798,247
groovy-1.8.7,88,218,319,404,1796,114,501,1716,1021,192
groovy-2.1.0,1204,723,4098,542,193,1009,394,941,857,390
groovy-2.1.6,319,527,132,8,711,1608,2422,2324,1836,728
groovy-2.4.4,310,4,61,1097,133,223,22,209,466,658
groovy-2.4.6,346,1014,169,1879,1773,1758,1456,1696,133,500
groovy-2.4.8,122,231,47,348,126,646,495,3406,276,2590
groovy-2.5.0,405,73,52,351,14,634,5,198,1224,294
groovy-2.5.5,253,82,757,349,24,231,1394,692,2269,22
hbase-0.94.5,321,483,836,52,22,241,771,89,1173,43
hbase-0.98.0,771,46,1857,458,21,9,318,61,424,1
hbase-0.98.5,536,193,1783,191,321,218,338,236,755,2988
hbase-0.98.11,399,15,39,32,179,1032,15,985,137,393
