,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50
ambari-2.1.0,0.509,0.609,0.71,0.764,0.812,0.847,0.871,0.895,0.909,0.92
ambari-2.2.0,0.527,0.667,0.758,0.8,0.836,0.873,0.909,0.915,0.927,0.952
ambari-2.4.0,0.528,0.651,0.743,0.794,0.827,0.855,0.884,0.895,0.914,0.92
ambari-2.5.0,0.543,0.694,0.741,0.806,0.836,0.858,0.879,0.884,0.909,0.927
ambari-2.6.0,0.516,0.694,0.774,0.823,0.855,0.855,0.887,0.903,0.919,0.952
ambari-2.7.0,0.538,0.706,0.798,0.866,0.874,0.899,0.908,0.916,0.941,0.958
amq-5.1.0,0.351,0.48,0.564,0.639,0.696,0.744,0.781,0.805,0.823,0.835
amq-5.2.0,0.329,0.456,0.54,0.611,0.654,0.717,0.77,0.806,0.83,0.844
amq-5.4.0,0.397,0.518,0.579,0.64,0.674,0.715,0.769,0.805,0.835,0.847
amq-5.5.0,0.392,0.534,0.583,0.625,0.683,0.735,0.803,0.828,0.858,0.867
amq-5.6.0,0.383,0.539,0.578,0.611,0.672,0.722,0.817,0.85,0.867,0.867
amq-5.7.0,0.351,0.505,0.557,0.629,0.66,0.691,0.794,0.835,0.876,0.887
amq-5.8.0,0.383,0.54,0.633,0.709,0.759,0.794,0.837,0.862,0.882,0.901
amq-5.9.0,0.405,0.576,0.667,0.738,0.784,0.815,0.839,0.868,0.882,0.894
amq-5.10.0,0.453,0.595,0.685,0.75,0.8,0.837,0.861,0.888,0.903,0.913
amq-5.11.0,0.461,0.616,0.701,0.764,0.815,0.859,0.888,0.915,0.931,0.941
amq-5.12.0,0.454,0.601,0.689,0.733,0.784,0.839,0.86,0.887,0.911,0.925
amq-5.14.0,0.511,0.658,0.732,0.797,0.825,0.842,0.879,0.898,0.915,0.927
amq-5.15.0,0.429,0.594,0.658,0.749,0.795,0.826,0.872,0.9,0.913,0.913
bookkeeper-4.2.0,0.415,0.623,0.717,0.774,0.83,0.887,0.906,0.943,0.962,1.0
bookkeeper-4.4.0,0.484,0.613,0.71,0.806,0.839,0.871,0.871,0.871,0.935,0.935
calcite-1.8.0,0.507,0.664,0.755,0.798,0.839,0.865,0.884,0.897,0.904,0.913
calcite-1.11.0,0.496,0.657,0.752,0.794,0.833,0.861,0.883,0.897,0.905,0.925
calcite-1.13.0,0.489,0.657,0.747,0.794,0.839,0.857,0.874,0.886,0.899,0.922
calcite-1.15.0,0.496,0.657,0.738,0.785,0.825,0.854,0.874,0.889,0.894,0.906
calcite-1.16.0,0.496,0.668,0.745,0.79,0.825,0.846,0.87,0.883,0.891,0.905
calcite-1.17.0,0.479,0.663,0.744,0.791,0.827,0.864,0.883,0.889,0.9,0.916
calcite-1.18.0,0.485,0.674,0.757,0.801,0.847,0.867,0.884,0.894,0.9,0.917
cassandra-0.8.6,0.343,0.505,0.576,0.635,0.684,0.73,0.784,0.811,0.835,0.87
cassandra-1.0.9,0.317,0.484,0.575,0.631,0.694,0.738,0.782,0.825,0.861,0.889
cassandra-1.1.6,0.389,0.514,0.603,0.619,0.684,0.745,0.785,0.814,0.858,0.891
cassandra-1.1.11,0.342,0.526,0.612,0.645,0.711,0.757,0.809,0.816,0.842,0.882
cassandra-1.2.11,0.362,0.493,0.667,0.667,0.725,0.754,0.826,0.855,0.913,0.949
flink-1.6.0,0.526,0.744,0.795,0.821,0.872,0.91,0.923,0.923,0.923,0.974
groovy-1.5.5,0.39,0.576,0.661,0.695,0.797,0.797,0.864,0.864,0.898,0.915
groovy-1.6.0,0.394,0.551,0.63,0.693,0.74,0.772,0.835,0.882,0.906,0.921
groovy-1.7.3,0.405,0.523,0.622,0.667,0.757,0.811,0.82,0.856,0.892,0.919
groovy-1.7.6,0.426,0.556,0.574,0.611,0.722,0.796,0.833,0.852,0.852,0.87
groovy-1.8.1,0.489,0.588,0.634,0.71,0.756,0.817,0.84,0.87,0.893,0.908
groovy-1.8.7,0.5,0.611,0.667,0.722,0.806,0.833,0.889,0.917,0.917,0.944
groovy-2.1.0,0.438,0.591,0.708,0.781,0.847,0.898,0.949,0.964,0.978,0.978
