release,review_effort,total_effort,ratio
ambari-2.1.0,120796,292084,0.414
ambari-2.2.0,131370,316411,0.415
ambari-2.4.0,184895,445436,0.415
ambari-2.5.0,201225,484406,0.415
ambari-2.6.0,202334,487664,0.415
ambari-2.7.0,200946,484089,0.415
amq-5.1.0,75217,190852,0.394
amq-5.2.0,81863,204975,0.399
amq-5.4.0,102109,260959,0.391
amq-5.5.0,106864,274603,0.389
amq-5.6.0,118256,306066,0.386
amq-5.7.0,118207,305607,0.387
amq-5.8.0,121067,311711,0.388
amq-5.9.0,121550,315307,0.385
amq-5.10.0,125000,323082,0.387
amq-5.11.0,129195,333415,0.387
amq-5.12.0,134988,350040,0.386
amq-5.14.0,142392,370472,0.384
amq-5.15.0,143668,373372,0.385
bookkeeper-4.2.0,34541,78715,0.439
bookkeeper-4.4.0,26508,60408,0.439
calcite-1.8.0,145081,327252,0.443
calcite-1.11.0,151628,341392,0.444
calcite-1.13.0,118003,273186,0.432
calcite-1.15.0,124560,288305,0.432
calcite-1.16.0,127227,295153,0.431
calcite-1.17.0,128977,299074,0.431
calcite-1.18.0,133316,308933,0.432
cassandra-0.8.6,58032,131184,0.442
cassandra-1.0.9,63528,144502,0.44
cassandra-1.1.6,74058,168159,0.44
cassandra-1.1.11,75262,170533,0.441
cassandra-1.2.11,93617,211949,0.442
flink-1.6.0,248910,608219,0.409
groovy-1.5.5,47266,109318,0.432
groovy-1.6.0,61372,141955,0.432
groovy-1.7.3,67897,156480,0.434
groovy-1.7.6,69126,159176,0.434
groovy-1.8.1,76292,176662,0.432
groovy-1.8.7,79598,183462,0.434
groovy-2.1.0,88782,203909,0.435
groovy-2.1.6,89742,206046,0.436
groovy-2.4.4,105960,243567,0.435
groovy-2.4.6,106457,244632,0.435
groovy-2.4.8,106940,245541,0.436
groovy-2.5.0,122297,279517,0.438
groovy-2.5.5,122778,280363,0.438
hbase-0.94.5,126657,280440,0.452
hbase-0.98.0,280729,606913,0.463
hbase-0.98.5,288175,623281,0.462
hbase-0.98.11,303206,654904,0.463
hive-1.2.0,389890,871574,0.447
hive-2.0.0,467952,1039823,0.45
hive-2.1.0,500804,1112941,0.45
ignite-1.4.0,271859,610699,0.445
ignite-1.6.0,307108,690475,0.445
log4j2-2.1,32445,79796,0.407
log4j2-2.2,32579,80161,0.406
log4j2-2.3,32921,80883,0.407
log4j2-2.4,38296,93481,0.41
log4j2-2.5,42345,103402,0.41
log4j2-2.6,50488,121815,0.414
log4j2-2.7,55158,132836,0.415
log4j2-2.8,57795,138778,0.416
log4j2-2.9,61052,145534,0.42
log4j2-2.10,62604,148721,0.421
mahout-0.4,50196,125301,0.401
mahout-0.5,49572,124968,0.397
mahout-0.6,58244,145593,0.4
mahout-0.7,53853,133660,0.403
mahout-0.8,60065,149368,0.402
mng-3.1.0,36739,91695,0.401
mng-3.2.0,36880,91886,0.401
mng-3.3.0,39580,98343,0.402
mng-3.5.0,39914,99215,0.402
mng-3.6.0,40333,100401,0.402
nifi-1.2.0,175072,416418,0.42
nifi-1.5.0,206917,489997,0.422
nifi-1.8.0,236422,560333,0.422
nutch-1.3,18494,45486,0.407
nutch-1.4,18262,44989,0.406
nutch-1.5,18686,46006,0.406
nutch-1.6,19041,46843,0.406
nutch-1.7,19159,47477,0.404
nutch-1.8,19621,48420,0.405
nutch-1.9,20113,47780,0.421
nutch-1.10,23311,55704,0.418
nutch-1.12,28708,69185,0.415
nutch-1.13,29262,70459,0.415
nutch-1.14,30347,72871,0.416
nutch-1.15,32378,77351,0.419
storm-0.9.3,34865,80758,0.432
storm-1.0.0,97557,221337,0.441
storm-1.0.3,103270,234518,0.44
storm-1.0.5,103720,235508,0.44
tika-0.8,12190,30890,0.395
tika-0.9,13668,34174,0.4
tika-0.10,19344,46748,0.414
tika-1.1,21135,50768,0.416
tika-1.3,24231,58365,0.415
tika-1.5,25560,61281,0.417
tika-1.7,28803,69500,0.414
tika-1.10,36173,87547,0.413
tika-1.13,38691,93972,0.412
tika-1.15,48067,117323,0.41
tika-1.17,49163,120209,0.409
ww-2.0.5,27229,69404,0.392
ww-2.0.10,29364,74189,0.396
ww-2.1.1,29925,75656,0.396
ww-2.1.3,33163,84193,0.394
ww-2.1.7,34884,88316,0.395
ww-2.2.0,81347,195385,0.416
ww-2.2.2,82061,197224,0.416
ww-2.3.1,82631,198580,0.416
ww-2.3.4,83024,199575,0.416
ww-2.3.10,83405,200322,0.416
ww-2.3.15,84197,202082,0.417
ww-2.3.17,85044,204101,0.417
ww-2.3.20,85789,205872,0.417
ww-2.3.24,86324,207064,0.417
zookeeper-3.5.1,27708,65270,0.425
zookeeper-3.5.2,28189,66505,0.424
zookeeper-3.5.3,28881,68039,0.424
