,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
5%,0.099,0.017,0.012,0.637,0.061,82.39,0.099,0.375
10%,0.188,0.035,0.011,0.575,0.082,51.26,0.188,0.525
15%,0.273,0.053,0.01,0.516,0.099,96.065,0.273,0.605
20%,0.357,0.071,0.009,0.458,0.113,124.667,0.357,0.664
25%,0.438,0.09,0.008,0.404,0.125,75.195,0.438,0.711
30%,0.507,0.108,0.008,0.359,0.133,104.325,0.502,0.746
35%,0.569,0.126,0.007,0.322,0.138,196.967,0.553,0.773
40%,0.624,0.145,0.006,0.292,0.141,178.553,0.595,0.793
45%,0.667,0.163,0.005,0.273,0.141,201.829,0.612,0.813
50%,0.707,0.182,0.005,0.259,0.141,197.911,0.627,0.827
55%,0.743,0.2,0.004,0.25,0.141,301.0,0.627,0.835
60%,0.776,0.218,0.004,0.246,0.141,292.959,0.625,0.844
65%,0.805,0.233,0.003,0.245,0.142,441.577,0.629,0.853
70%,0.826,0.243,0.003,0.246,0.143,312.764,0.637,0.857
75%,0.836,0.247,0.002,0.246,0.144,240.0,0.641,0.859
80%,0.839,0.248,0.002,0.247,0.144,293.854,0.641,0.859
85%,0.839,0.248,0.002,0.247,0.144,279.943,0.64,0.859
90%,0.839,0.248,0.002,0.247,0.144,286.415,0.64,0.859
95%,0.839,0.248,0.002,0.247,0.144,288.154,0.64,0.859
100%,0.839,0.248,0.002,0.247,0.144,288.203,0.64,0.859
