,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
5%,0.111,0.04,0.013,0.629,0.035,205.967,0.111,0.41
10%,0.208,0.081,0.012,0.563,0.046,217.244,0.208,0.57
15%,0.3,0.122,0.011,0.502,0.055,455.374,0.3,0.658
20%,0.392,0.163,0.01,0.445,0.063,428.228,0.392,0.72
25%,0.482,0.205,0.009,0.394,0.071,294.098,0.464,0.771
30%,0.558,0.246,0.008,0.358,0.075,500.707,0.463,0.809
35%,0.626,0.287,0.007,0.335,0.078,773.122,0.453,0.841
40%,0.687,0.329,0.007,0.323,0.079,828.008,0.43,0.863
45%,0.735,0.371,0.006,0.324,0.078,884.854,0.415,0.882
50%,0.779,0.413,0.005,0.334,0.077,1257.089,0.38,0.899
55%,0.82,0.453,0.005,0.348,0.077,843.439,0.371,0.911
60%,0.858,0.491,0.004,0.364,0.077,559.244,0.384,0.92
65%,0.891,0.522,0.003,0.38,0.077,1153.195,0.384,0.928
70%,0.916,0.541,0.003,0.39,0.079,1045.439,0.451,0.933
75%,0.928,0.549,0.002,0.394,0.08,829.39,0.451,0.935
80%,0.93,0.551,0.002,0.395,0.08,1469.569,0.451,0.935
85%,0.931,0.551,0.002,0.395,0.08,1488.837,0.451,0.935
90%,0.931,0.551,0.002,0.395,0.08,1521.724,0.451,0.935
95%,0.931,0.551,0.002,0.395,0.08,1532.756,0.451,0.935
100%,0.931,0.551,0.002,0.395,0.08,1533.78,0.451,0.935
