,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50,Glance-MD-50-55,Glance-MD-50-60,Glance-MD-50-65,Glance-MD-50-70,Glance-MD-50-75,Glance-MD-50-80,Glance-MD-50-85,Glance-MD-50-90,Glance-MD-50-95,Glance-MD-50-100
ambari-2.1.0,0.0384098469959471,0.0789107144727242,0.1192160942250831,0.1599962298796005,0.2006716399674652,0.2413016689764472,0.2822912557642697,0.3235182205031714,0.364563660926542,0.4063526528731459,0.4455409599145439,0.482722026928434,0.5124920146755427,0.5310354216774942,0.5378774920321298,0.5392493969552787,0.539273832920831,0.539273832920831,0.539273832920831,0.539273832920831
ambari-2.2.0,0.0394608944511901,0.0806969236309631,0.1217640441202247,0.1631562341648102,0.2045547981222452,0.2456346664372058,0.2869663043097212,0.3285401508705171,0.3699833322178986,0.4120607178938042,0.451588538429914,0.4893826546709627,0.5197862189630281,0.5388856488165237,0.5458682703431396,0.5471462398694623,0.5471940442158334,0.5471940442158334,0.5471940442158334,0.5471940442158334
ambari-2.4.0,0.0382422326656969,0.0782910932080116,0.117897038528962,0.1581906680093991,0.1984376748349558,0.2388128939614337,0.2794748424154265,0.3207498787810973,0.3615703442616836,0.4032579911230465,0.442980493081198,0.480723863339674,0.5116253589944426,0.5308898399910484,0.5376198202230428,0.538855320577375,0.5389788706128081,0.5390068442057364,0.5390068442057364,0.5390068442057364
ambari-2.5.0,0.0395059776866311,0.0808402039984359,0.1219289998918442,0.1633235438488481,0.2046702496734527,0.2457944041864605,0.287153589523865,0.3290348344800619,0.3703253824970673,0.4126267710508581,0.4526069702238824,0.4906050067805353,0.5216373952760884,0.5407372896162134,0.5467877734053262,0.54792132915131,0.5480482041981081,0.5480710833049077,0.5480710833049077,0.5480710833049077
ambari-2.6.0,0.0398326211924095,0.0814121970318212,0.1228211878880551,0.1645631277475999,0.2062249132174588,0.2475064791464996,0.2889154700027335,0.3307252328073972,0.3720479035516615,0.4143118745645459,0.4542780864064321,0.4922712671175865,0.5231615357581064,0.5416381502011053,0.5473147251834816,0.5484492180836524,0.5485725325293231,0.5485951401776961,0.5485951401776961,0.5485951401776961
ambari-2.7.0,0.0396566245814645,0.0811367568531941,0.1224675233072911,0.1641592571540003,0.2055999734460768,0.2468539824661126,0.2882469846775565,0.330094307917633,0.3714333724727096,0.4136520357316228,0.453904049058373,0.4923781942502458,0.5234296881158746,0.5422767499657704,0.5479879179649737,0.5491807699807899,0.5493674772528306,0.5494089677577286,0.5494089677577286,0.5494089677577286
amq-5.1.0,0.0360380621910927,0.0746410919586392,0.1130192185148891,0.1516008289289787,0.1899521812934076,0.2285284368691331,0.2671582408285006,0.3063128189475601,0.345269268047144,0.3852806203044761,0.4218273921401682,0.4531960352776751,0.4761736466984744,0.4878525491708033,0.4909422909069489,0.4918954521357773,0.4919918392263329,0.4920132585797898,0.4920132585797898,0.4920132585797898
amq-5.2.0,0.0369271299333929,0.0761357987871557,0.1151754647579282,0.1545034297643901,0.1937021572720946,0.2329605328561487,0.2721741723829406,0.3120141167114027,0.3514315538323889,0.3919823044040163,0.42913311462372,0.4612138383537131,0.4851327169698777,0.4981210855949896,0.501665175464758,0.5025499552639427,0.502639427378467,0.5026593100705835,0.5026593100705835,0.5026593100705835
amq-5.4.0,0.036520610141029,0.0751753144776328,0.1136861909722762,0.15225926329047,0.19098782516754,0.2294870399452676,0.2680639995024334,0.3070957660193118,0.3459137343927355,0.3856801890753036,0.4222707695178269,0.4532753875577255,0.47650941489279,0.4883421703232627,0.4914014273941505,0.4921244538429244,0.4922332965341377,0.4922449582510534,0.4922449582510534,0.4922449582510534
amq-5.5.0,0.0366057552791096,0.0751780571697932,0.1136730229577744,0.1522784688924733,0.1910312216894624,0.229430438016955,0.2679438171627225,0.30683282880733,0.3454382747420289,0.3849938499384994,0.4206457932842801,0.4505306729714003,0.4728587106230343,0.4841387336029049,0.4870259481037924,0.48769987699877,0.4877956264592586,0.4878029918023731,0.4878029918023731,0.4878029918023731
