Glance-LR,Glance-B-noCC,Glance-B-NT,Glance-B-NT-noCC,Glance-B-NFC,Glance-B-NFC-noCC
0.863,0.863,0.828,0.828,0.842,0.842
0.921,0.921,0.903,0.903,0.909,0.909
0.566,0.566,0.577,0.577,0.558,0.558
0.905,0.905,0.879,0.879,0.871,0.871
0.903,0.903,0.887,0.887,0.903,0.903
0.336,0.336,0.328,0.328,0.311,0.311
0.899,0.899,0.87,0.87,0.891,0.891
0.895,0.895,0.849,0.849,0.875,0.875
0.813,0.813,0.774,0.774,0.793,0.793
0.926,0.926,0.887,0.887,0.906,0.906
0.861,0.861,0.833,0.833,0.844,0.844
0.887,0.887,0.835,0.835,0.856,0.856
0.302,0.302,0.28,0.28,0.291,0.291
0.931,0.931,0.893,0.893,0.912,0.912
0.95,0.95,0.918,0.918,0.939,0.939
0.936,0.936,0.904,0.904,0.918,0.918
0.95,0.95,0.918,0.918,0.932,0.932
0.927,0.927,0.915,0.915,0.907,0.907
0.886,0.886,0.858,0.858,0.868,0.868
1.0,1.0,0.981,0.981,0.962,0.962
0.71,0.71,0.645,0.645,0.645,0.645
0.904,0.904,0.903,0.903,0.883,0.883
0.935,0.935,0.919,0.919,0.903,0.903
0.937,0.937,0.908,0.908,0.908,0.908
0.938,0.938,0.911,0.911,0.921,0.921
0.934,0.934,0.912,0.912,0.918,0.918
0.933,0.933,0.9,0.9,0.916,0.916
0.947,0.947,0.91,0.91,0.92,0.92
0.865,0.865,0.835,0.835,0.822,0.822
0.869,0.869,0.865,0.865,0.802,0.802
0.83,0.83,0.834,0.834,0.785,0.785
0.888,0.888,0.901,0.901,0.868,0.868
0.812,0.812,0.768,0.768,0.783,0.783
0.167,0.167,0.154,0.154,0.141,0.141
0.949,0.949,0.915,0.915,0.898,0.898
0.378,0.378,0.378,0.378,0.394,0.394
0.523,0.523,0.468,0.468,0.495,0.495
0.889,0.889,0.889,0.889,0.87,0.87
0.45,0.45,0.435,0.435,0.443,0.443
0.944,0.944,0.944,0.944,0.889,0.889
0.526,0.526,0.504,0.504,0.518,0.518
0.982,0.982,0.929,0.929,0.964,0.964
0.408,0.408,0.384,0.384,0.412,0.412
0.909,0.909,0.872,0.872,0.884,0.884
0.923,0.923,0.835,0.835,0.901,0.901
0.469,0.469,0.476,0.476,0.469,0.469
0.952,0.952,0.933,0.933,0.952,0.952
0.946,0.946,0.896,0.896,0.921,0.921
0.623,0.623,0.6,0.6,0.613,0.613
0.9,0.9,0.841,0.841,0.884,0.884
0.866,0.866,0.828,0.828,0.833,0.833
0.505,0.505,0.516,0.516,0.516,0.516
0.643,0.643,0.607,0.607,0.643,0.643
0.393,0.393,0.389,0.389,0.389,0.389
0.874,0.874,0.86,0.86,0.837,0.837
0.892,0.892,0.893,0.893,0.868,0.868
0.847,0.847,0.82,0.82,0.804,0.804
0.943,0.943,0.91,0.91,0.906,0.906
0.944,0.944,0.914,0.914,0.91,0.91
0.903,0.903,0.89,0.89,0.886,0.886
0.886,0.886,0.886,0.886,0.877,0.877
0.866,0.866,0.825,0.825,0.829,0.829
0.824,0.824,0.792,0.792,0.819,0.819
0.896,0.896,0.851,0.851,0.878,0.878
0.837,0.837,0.842,0.842,0.842,0.842
0.932,0.932,0.913,0.913,0.932,0.932
0.778,0.778,0.726,0.726,0.735,0.735
0.819,0.819,0.777,0.777,0.819,0.819
0.595,0.595,0.577,0.577,0.586,0.586
0.952,0.952,0.886,0.886,0.914,0.914
0.833,0.833,0.8,0.8,0.8,0.8
0.908,0.908,0.931,0.931,0.885,0.885
0.879,0.879,0.879,0.879,0.857,0.857
0.93,0.93,0.915,0.915,0.901,0.901
0.905,0.905,0.881,0.881,0.857,0.857
0.938,0.938,0.906,0.906,0.875,0.875
0.796,0.796,0.773,0.773,0.783,0.783
0.883,0.883,0.857,0.857,0.878,0.878
0.845,0.845,0.827,0.827,0.83,0.83
0.883,0.883,0.767,0.767,0.845,0.845
0.879,0.879,0.768,0.768,0.848,0.848
0.889,0.889,0.768,0.768,0.869,0.869
0.856,0.856,0.778,0.778,0.856,0.856
0.818,0.818,0.784,0.784,0.852,0.852
0.851,0.851,0.824,0.824,0.892,0.892
0.831,0.831,0.815,0.815,0.846,0.846
0.765,0.765,0.718,0.718,0.741,0.741
0.818,0.818,0.758,0.758,0.788,0.788
0.895,0.895,0.842,0.842,0.884,0.884
0.905,0.905,0.892,0.892,0.878,0.878
0.852,0.852,0.796,0.796,0.815,0.815
0.442,0.442,0.419,0.419,0.442,0.442
0.339,0.339,0.306,0.306,0.322,0.322
0.765,0.765,0.765,0.765,0.765,0.765
1.0,1.0,1.0,1.0,1.0,1.0
0.803,0.803,0.755,0.755,0.796,0.796
0.839,0.839,0.768,0.768,0.815,0.815
0.832,0.832,0.827,0.827,0.827,0.827
0.881,0.881,0.838,0.838,0.875,0.875
0.842,0.842,0.816,0.816,0.835,0.835
0.922,0.922,0.87,0.87,0.909,0.909
0.879,0.879,0.839,0.839,0.852,0.852
0.841,0.841,0.8,0.8,0.818,0.818
0.893,0.893,0.819,0.819,0.852,0.852
0.919,0.919,0.839,0.839,0.895,0.895
0.887,0.887,0.791,0.791,0.87,0.87
0.771,0.771,0.755,0.755,0.755,0.755
0.879,0.879,0.845,0.845,0.833,0.833
0.929,0.929,0.864,0.864,0.886,0.886
0.901,0.901,0.829,0.829,0.856,0.856
0.923,0.923,0.851,0.851,0.887,0.887
0.855,0.855,0.819,0.819,0.819,0.819
0.872,0.872,0.845,0.845,0.849,0.849
0.896,0.896,0.837,0.837,0.866,0.866
0.909,0.909,0.854,0.854,0.884,0.884
0.858,0.858,0.84,0.84,0.846,0.846
0.902,0.902,0.895,0.895,0.895,0.895
0.846,0.846,0.829,0.829,0.838,0.838
0.935,0.935,0.88,0.88,0.917,0.917
0.947,0.947,0.883,0.883,0.926,0.926
0.812,0.812,0.775,0.775,0.775,0.775
0.95,0.95,0.917,0.917,0.9,0.9
0.95,0.95,0.95,0.95,0.875,0.875
