Approach,Recall,FAR,CE,D2H,MCC,IFA,Recall@20%,ratio
Glance-LR,0.707,0.182,0.005,0.259,0.141,197,0.627,0.827
Glance-B-noCC,0.707,0.182,0.005,0.259,0.141,198,0.627,0.827
Glance-B-NT,0.623,0.183,0.007,0.306,0.117,312,0.553,0.794
Glance-B-NT-noCC,0.623,0.183,0.007,0.306,0.117,313,0.553,0.794
Glance-B-NFC,0.655,0.183,0.006,0.287,0.126,234,0.583,0.806
Glance-B-NFC-noCC,0.655,0.183,0.006,0.287,0.126,236,0.584,0.806

Approach,Recall,FAR,CE,D2H,MCC,IFA,Recall@20%,ratio
Glance-LR,0.781,0.175,0.003,0.223,0.149,26,0.655,0.883
Glance-B-noCC,0.781,0.175,0.003,0.223,0.149,26,0.655,0.883
Glance-B-NT,0.657,0.175,0.004,0.288,0.122,58,0.586,0.839
Glance-B-NT-noCC,0.657,0.175,0.004,0.288,0.122,58,0.586,0.839
Glance-B-NFC,0.721,0.175,0.004,0.253,0.131,26,0.603,0.857
Glance-B-NFC-noCC,0.721,0.175,0.004,0.253,0.131,32,0.603,0.857

