NGram,NGram-C,PMD,CheckStyle,Glance-LR
ambari,0.1423121642597427,0.0866632103091514,0.0318333465603509,0.06939993920849717,0.19101712880511362
amq,0.11461370182062414,0.07176639945192716,0.02414764364506807,0.055248431182813355,0.14208081779084134
bookkeeper,0.25089500049870994,0.17173339919550215,0.0542319083027257,0.15831284373507554,0.3688322703109479
calcite,0.24926393877183173,0.15855695751561344,0.04312770892522413,0.07223651636786112,0.338285035344987
cassandra,0.1625524060384151,0.11576320589248683,0.03741804921168798,0.16024726095153388,0.23796474613591762
flink,0.020274631190727,0.0124489594309799,0.0039893967334035,0.0167907007376185,0.0303625526870389
groovy,0.10804874690562573,0.08096232901685517,0.02416932901926077,0.05911610964734826,0.14473792231566385
hbase,0.1942269759952553,0.14922499836491226,0.03709416031869635,0.10334690150092213,0.2538802104244504
hive,0.06036920978860383,0.042079275620949964,0.013622635961535467,0.0236200762324125,0.06470045068412357
ignite,0.19516041031218084,0.1265120401521478,0.03469300043025565,0.09062329701780619,0.2827066916417933
log4j2,0.11246253988289047,0.05831877762122966,0.02132921303971894,0.06002482035076532,0.1954733745896086
mahout,0.10542382589861304,0.05246198324025202,0.02398751958996594,0.06303788026996424,0.15493938928913728
mng,0.09560435507498038,0.06528194554450353,0.0198144510781682,0.1337193756576732,0.1411505827903891
nifi,0.1832134004755277,0.113881097064817,0.03496795145081197,0.0858371123849263,0.2119138620747276
nutch,0.12759750765223807,0.07567316038803582,0.04255488015732044,0.06259978810467305,0.18988384672086647
storm,0.029109029236867826,0.01820594905731635,0.0065744665220200255,0.0188028229534191,0.039215337911566145
tika,0.12485673348010415,0.07692144928516839,0.032244362819184594,0.0880266047604004,0.22272280738460948
ww,0.06865667049843689,0.038653531279248324,0.01680772447295175,0.04715938726973041,0.12588871253542203
zookeeper,0.1473372882017677,0.10526182126627007,0.03844014659331617,0.07980763182437853,0.228586553014588
