NGram,NGram-C,PMD,CheckStyle,Glance-LR
ambari,246.83333333333334,250.83333333333334,121.16666666666667,1035.8333333333333,654.0
amq,56.76923076923077,360.2307692307692,56.15384615384615,80.92307692307692,43.61538461538461
bookkeeper,136.5,255.5,425.0,5142.5,260.5
calcite,226.28571428571428,180.85714285714286,62.857142857142854,142.14285714285714,26.571428571428573
cassandra,298.8,833.0,34.0,26.2,83.8
flink,43.0,345.0,411.0,894.0,621.0
groovy,730.3846153846154,572.9230769230769,167.84615384615384,417.38461538461536,373.61538461538464
hbase,110.25,1326.5,131.5,97.0,87.0
hive,1968.3333333333333,1982.6666666666667,231.0,529.3333333333334,2143.3333333333335
ignite,303.0,164.5,263.5,72.5,63.5
log4j2,48.2,49.9,76.7,241.8,13.7
mahout,35.0,90.2,84.6,64.0,118.0
mng,134.2,119.2,69.8,331.0,244.6
nifi,190.33333333333334,362.6666666666667,23.666666666666668,276.3333333333333,19.666666666666668
nutch,74.41666666666667,95.0,8.5,211.41666666666666,113.41666666666667
storm,181.5,671.75,106.5,258.75,233.75
tika,61.36363636363637,90.63636363636364,72.63636363636364,92.18181818181819,59.45454545454545
ww,79.21428571428571,292.5,76.0,92.0,85.85714285714286
zookeeper,190.33333333333334,223.66666666666666,104.33333333333333,145.66666666666666,60.666666666666664
