NGram,NGram-C,PMD,CheckStyle,Glance-LR
ambari,0.08458033841447385,0.05884922035941365,0.057952598214679185,0.05688206047873902,0.09440758886192462
amq,0.13390777646343474,0.08615391489304053,0.10317901207777501,0.09904202782029962,0.17148953730481156
bookkeeper,0.02747302911601155,0.00880914990670985,0.0308737616770371,0.0037976644708823002,0.0615866407751762
calcite,0.14634507337652755,0.06706492576211145,0.07620674373409633,0.061355193846702155,0.17762059171510552
cassandra,0.07549062571187787,0.028084516619814218,0.0688179434729679,0.02997259941946848,0.12430967732462904
flink,0.0131871879269209,0.0087824948718902,0.0080075904039067,0.0080131190206326,0.0121941474040928
groovy,0.06695149916396043,0.046106001686599174,0.04806671299691226,0.05857025920529373,0.08294326237416322
hbase,0.07352893332050525,0.04625172311086208,0.060589370845273605,0.03151148967866828,0.09432033375395796
hive,0.031057617538623766,0.024294106832224365,0.020279634527193967,0.027318310466719866,0.04521367709993163
ignite,0.12666264139018674,0.08289957241298945,0.0952068395867353,0.062111370274494745,0.13997678357482107
log4j2,0.14138731244020486,0.0685313542046429,0.10951622197446678,0.08195826680152664,0.18071019058309604
mahout,0.13982117200573446,0.1008597568342807,0.0646640010987099,0.05480650421720524,0.15935529669015697
mng,0.09368300729210037,0.06076200591169844,0.04913623005349306,0.08800746475776869,0.14232273948277735
nifi,0.1007738715048392,0.05048204073732443,0.07377898422564994,0.058030471942012864,0.11089171239981743
nutch,0.10673774550096075,0.05320727972154119,0.09739767917379741,0.03964391524519705,0.15170672859506754
storm,0.07243309947947597,0.05652518443923123,0.07161016853605402,0.05217726167226673,0.09845679965751777
tika,0.12725897398999209,0.0790718153009845,0.08715793160215067,0.06945407512125283,0.19822687013247622
ww,0.14061160185199906,0.0542001073215397,0.10374436121591923,0.09786614587892739,0.16999650235887656
zookeeper,0.0533043662352505,0.0310846154329601,0.041080512334637595,0.0576028836734469,0.09739093641968227
