NGram,NGram-C,PMD,CheckStyle,Glance-LR
ambari,0.4509844219215157,0.25474621567914757,0.14361143147492209,0.22038547978399847,0.5085461978188148
amq,0.5619722474152066,0.3022381081843182,0.19382039547984437,0.2929447350688194,0.7589778382675595
bookkeeper,0.2340985993917848,0.2022275345868848,0.125412258534287,0.16504663340043685,0.3832826487343127
calcite,0.4539843233769638,0.2845668419364867,0.12460628932870577,0.1548561596625825,0.4504878726051182
cassandra,0.4307618851464933,0.20417886653934708,0.16966025103627413,0.26846866868932395,0.5695230501965773
flink,0.069848661233993,0.0384167636786961,0.0174621653084982,0.0442374854481955,0.0861466821885913
groovy,0.42200340906756784,0.2677504574599326,0.13564530925843787,0.27250841302541745,0.572314037899103
hbase,0.49362402711026404,0.32490105623489374,0.16501787747583732,0.208788417491034,0.4896788070907582
hive,0.21420567569736496,0.1491685486839777,0.059874870294046936,0.10474255173514437,0.2979335277484573
ignite,0.5908274862710943,0.34547631162678705,0.17575327495494558,0.23204000324763724,0.6011297767803307
log4j2,0.47575851692065313,0.1895964521381001,0.15320198815682026,0.21872427843768086,0.6930570439821718
mahout,0.49016481032885667,0.2463163911459346,0.11315730366527194,0.18697984717557042,0.6412220702488416
mng,0.4943477545522538,0.2817218718649745,0.12143446088412574,0.5680205420626602,0.8588672700439337
nifi,0.5549517997556422,0.26813023069347913,0.16687599925924135,0.24358357250258575,0.5549090645300894
nutch,0.4881416051414978,0.22019396246597361,0.24542439144125813,0.1569684817158681,0.7274398778608271
storm,0.3236871456977027,0.20691512731082268,0.1463637957094157,0.1803363564399836,0.5053029841960339
tika,0.4252646985803367,0.22991918192897803,0.1386605428462377,0.22090228294964057,0.6437417737812189
ww,0.4685538147421388,0.15327658376134762,0.16350190642629522,0.2756503159060614,0.7351627456128992
zookeeper,0.3360335080898945,0.20296097223198234,0.12157625556583283,0.24004899822043357,0.5421210276270876
