NLP-NGram,NLP-NGram-C,SAT-PMD,SAT-CheckStyle,BASE-Glance-LR
69,60,60,1411,9
180,258,146,584,304
2,1,1,1,8
157,225,356,1460,599
71,181,13,1184,708
1002,780,151,1575,2296
38,5,1,18,59
31,5,1,17,11
62,5,156,238,49
34,2,49,5,11
1,209,49,5,67
67,4412,316,419,1
35,7,1,2,24
28,8,4,58,4
29,6,4,58,230
37,6,4,58,55
35,5,4,58,11
84,7,4,58,17
257,6,137,58,28
95,96,77,8913,520
178,415,773,1372,1
113,46,62,30,2
258,182,63,145,3
262,183,63,150,129
291,211,63,159,11
291,211,63,159,6
300,221,63,166,8
69,212,63,186,27
82,1478,33,39,65
292,1191,67,39,40
318,1373,2,15,3
416,1,8,15,285
386,122,60,23,26
43,345,411,894,621
276,761,283,2,1107
360,117,337,2450,864
509,491,126,180,929
80,380,43,333,107
253,120,14,496,26
17,173,115,308,875
196,13,114,150,1
822,7,183,3,326
2,221,32,829,4
3,403,301,1,26
1202,420,345,1,5
5518,4325,106,627,584
257,17,183,46,3
314,717,365,31,43
118,262,158,80,10
4,262,2,40,1
5,4065,1,237,294
2497,3520,293,957,3663
1581,1647,254,217,2754
1827,781,146,414,13
514,246,232,120,58
92,83,295,25,69
2,20,269,226,2
2,20,90,179,49
2,20,90,179,4
8,23,187,290,10
1,5,1,278,1
306,301,67,314,48
38,4,1,865,1
43,102,60,29,2
39,2,1,29,11
41,2,1,29,9
11,15,3,29,79
131,11,7,104,161
7,10,3,111,294
13,87,3,39,6
13,328,407,37,50
6,120,51,332,387
6,119,51,332,4
6,119,55,333,39
327,119,96,329,741
326,119,96,329,52
150,76,29,553,33
160,83,21,50,13
261,929,21,226,13
29,32,1,25,10
29,33,1,2,10
36,38,1,279,7
36,38,1,400,11
37,38,16,243,104
42,41,16,324,7
37,40,61,261,13
18,40,1,293,22
19,38,1,314,5
19,39,1,109,1
265,259,1,33,2
326,504,1,254,1169
21,18,23,170,109
1,2041,126,401,213
12,217,42,183,19
692,411,235,281,594
112,102,51,6,8
28,18,38,9,7
28,20,3,19,40
2,61,3,19,44
43,136,3,80,112
43,62,10,19,53
56,173,5,18,78
91,249,5,57,9
93,58,5,7,2
89,59,423,752,62
90,59,253,28,239
31,271,23,89,36
25,26,22,2,28
78,7,32,39,92
64,7,32,41,44
216,4,32,14,6
9,2518,32,744,460
9,8,32,43,4
9,8,33,43,2
9,41,69,43,15
401,193,33,47,1
139,115,101,42,1
81,889,149,47,486
19,4,318,47,25
19,4,156,47,2
9,354,3,51,2
9,23,151,3,37
553,294,159,383,143
