NLP-NGram,NLP-NGram-C,SAT-PMD,SAT-CheckStyle,BASE-Glance-LR
0.759,0.625,0.515,0.657,0.863
0.873,0.648,0.539,0.703,0.921
0.554,0.482,0.362,0.455,0.566
0.853,0.716,0.573,0.716,0.905
0.935,0.645,0.565,0.677,0.903
0.319,0.227,0.151,0.269,0.336
0.792,0.573,0.455,0.601,0.899
0.789,0.571,0.455,0.611,0.895
0.747,0.545,0.418,0.586,0.813
0.851,0.625,0.485,0.65,0.926
0.833,0.644,0.472,0.617,0.861
0.856,0.608,0.546,0.608,0.887
0.275,0.209,0.144,0.173,0.302
0.876,0.698,0.553,0.653,0.931
0.888,0.706,0.572,0.676,0.95
0.865,0.674,0.591,0.658,0.936
0.884,0.687,0.614,0.694,0.95
0.862,0.672,0.565,0.718,0.927
0.808,0.639,0.521,0.662,0.886
0.83,0.717,0.623,0.679,1.0
0.516,0.387,0.452,0.548,0.71
0.816,0.644,0.532,0.44,0.904
0.835,0.663,0.55,0.44,0.935
0.834,0.652,0.549,0.426,0.937
0.852,0.654,0.568,0.398,0.938
0.851,0.663,0.581,0.398,0.934
0.844,0.663,0.56,0.39,0.933
0.867,0.668,0.565,0.412,0.947
0.714,0.503,0.489,0.67,0.865
0.698,0.464,0.444,0.631,0.869
0.672,0.445,0.433,0.575,0.83
0.73,0.461,0.48,0.658,0.888
0.659,0.464,0.486,0.601,0.812
0.154,0.115,0.077,0.154,0.167
0.864,0.746,0.508,0.746,0.949
0.307,0.236,0.15,0.268,0.378
0.387,0.351,0.225,0.324,0.523
0.778,0.704,0.407,0.704,0.889
0.412,0.336,0.229,0.321,0.45
0.75,0.611,0.528,0.722,0.944
0.467,0.401,0.292,0.394,0.526
0.875,0.786,0.554,0.804,0.982
0.403,0.341,0.232,0.303,0.408
0.811,0.634,0.457,0.689,0.909
0.857,0.659,0.473,0.681,0.923
0.455,0.372,0.269,0.407,0.469
0.895,0.724,0.638,0.81,0.952
0.863,0.664,0.444,0.564,0.946
0.55,0.477,0.3,0.373,0.623
0.803,0.641,0.435,0.557,0.9
0.795,0.64,0.444,0.544,0.866
0.495,0.441,0.301,0.312,0.505
0.607,0.5,0.393,0.446,0.643
0.336,0.293,0.206,0.287,0.393
0.814,0.686,0.49,0.605,0.874
0.847,0.698,0.51,0.631,0.892
0.698,0.392,0.369,0.447,0.847
0.791,0.439,0.426,0.496,0.943
0.811,0.438,0.421,0.498,0.944
0.784,0.441,0.411,0.492,0.903
0.777,0.459,0.427,0.514,0.886
0.733,0.465,0.415,0.521,0.866
0.674,0.448,0.448,0.52,0.824
0.747,0.484,0.471,0.525,0.896
0.702,0.493,0.493,0.563,0.837
0.804,0.525,0.525,0.644,0.932
0.684,0.487,0.35,0.402,0.778
0.766,0.553,0.34,0.404,0.819
0.532,0.333,0.225,0.297,0.595
0.81,0.505,0.467,0.59,0.952
0.667,0.383,0.45,0.6,0.833
0.678,0.598,0.402,0.851,0.908
0.703,0.604,0.418,0.813,0.879
0.704,0.549,0.465,0.873,0.93
0.667,0.548,0.619,0.857,0.905
0.688,0.594,0.625,0.906,0.938
0.704,0.545,0.466,0.567,0.796
0.811,0.64,0.523,0.659,0.883
0.765,0.594,0.508,0.619,0.845
0.592,0.427,0.476,0.398,0.883
0.626,0.444,0.475,0.404,0.879
0.626,0.444,0.515,0.424,0.889
0.667,0.522,0.5,0.4,0.856
0.648,0.511,0.5,0.386,0.818
0.676,0.5,0.5,0.405,0.851
0.6,0.446,0.462,0.338,0.831
0.588,0.482,0.435,0.353,0.765
0.657,0.495,0.465,0.343,0.818
0.716,0.537,0.505,0.379,0.895
0.73,0.581,0.514,0.378,0.905
0.611,0.444,0.5,0.389,0.852
0.395,0.209,0.14,0.395,0.442
0.279,0.186,0.202,0.251,0.339
0.529,0.471,0.353,0.765,0.765
0.6,0.6,0.6,0.8,1.0
0.524,0.299,0.401,0.456,0.803
0.565,0.333,0.411,0.429,0.839
0.615,0.413,0.419,0.441,0.832
0.669,0.456,0.438,0.494,0.881
0.69,0.443,0.481,0.43,0.842
0.714,0.468,0.429,0.442,0.922
0.691,0.463,0.409,0.409,0.879
0.688,0.471,0.4,0.412,0.841
0.738,0.544,0.436,0.436,0.893
0.774,0.621,0.5,0.548,0.919
0.739,0.583,0.504,0.53,0.887
0.569,0.298,0.378,0.5,0.771
0.69,0.356,0.477,0.575,0.879
0.739,0.37,0.484,0.582,0.929
0.713,0.376,0.425,0.552,0.901
0.75,0.393,0.458,0.607,0.923
0.767,0.445,0.449,0.612,0.855
0.79,0.457,0.438,0.635,0.872
0.787,0.446,0.446,0.653,0.896
0.808,0.485,0.444,0.641,0.909
0.805,0.432,0.444,0.663,0.858
0.811,0.399,0.441,0.664,0.902
0.726,0.376,0.419,0.624,0.846
0.806,0.454,0.454,0.676,0.935
0.83,0.457,0.468,0.681,0.947
0.588,0.475,0.425,0.512,0.812
0.733,0.55,0.533,0.617,0.95
0.725,0.55,0.525,0.625,0.95
