Approach,Recall,FAR,CE,D2H,MCC,IFA,Recall@20%,ratio
NLP-NGram,0.466,0.124,0.008,0.391,0.107,227,0.455,0.7
NLP-NGram-C,0.235,0.079,0.011,0.545,0.06,355,0.235,0.508
SAT-PMD,0.156,0.028,0.012,0.597,0.078,94,0.156,0.446
SAT-CheckStyle,0.239,0.071,0.011,0.541,0.065,314,0.239,0.538
BASE-Glance-LR,0.707,0.182,0.005,0.259,0.141,197,0.627,0.827

Approach,Recall,FAR,CE,D2H,MCC,IFA,Recall@20%,ratio
NLP-NGram,0.492,0.121,0.006,0.37,0.109,62,0.482,0.73
NLP-NGram-C,0.23,0.074,0.009,0.549,0.058,96,0.23,0.493
SAT-PMD,0.157,0.026,0.009,0.597,0.078,49,0.157,0.458
SAT-CheckStyle,0.225,0.066,0.009,0.551,0.065,89,0.225,0.552
BASE-Glance-LR,0.781,0.175,0.003,0.223,0.149,26,0.655,0.883

