project,build_avg_time,pred_avg_time
ambari,14.6404551265,3.8117316166666666
amq,8.472200541,2.614068764923077
bookkeeper,0.457073927,0.9201682805
calcite,8.129546949,4.289426667142857
cassandra,2.4628234864,1.9087938308
flink,36.32585788,5.144328833
groovy,3.794971832769231,2.428736173153846
hbase,10.300371767,6.3262348177500005
hive,64.89400919333333,8.571164846333334
ignite,29.321751714999998,7.680487156
log4j2,1.7564120294,1.4538661005
mahout,2.3221177578,1.6728856563999999
mng,1.2787566186,1.009440565
nifi,19.380254746666665,6.330553134333333
nutch,0.44402333108333336,0.7155388395
storm,3.835286617,1.4410013555
tika,0.6799463142727272,0.9168260749090908
ww,2.983821783857143,1.6208419970714285
zookeeper,0.739738544,0.8533854486666667
