release_name,build_time,pred_time
ambari-2.1.0,3.699797869,2.78816247
ambari-2.2.0,7.69504118,3.158836842
ambari-2.4.0,13.22224402,3.229493856
ambari-2.5.0,19.89621329,5.130465269
ambari-2.6.0,22.7927537,4.725558281
ambari-2.7.0,20.5366807,3.837872982
amq-5.1.0,3.454503775,1.808623791
amq-5.2.0,3.618057251,2.014894009
amq-5.4.0,5.132815123,2.176233053
amq-5.5.0,6.591879129,2.279810667
amq-5.6.0,7.655773878,2.473860502
amq-5.7.0,8.451071501,2.371278286
amq-5.8.0,8.69691515,2.21137476
amq-5.9.0,9.464129686,3.028578758
amq-5.10.0,10.07673407,2.907526255
amq-5.11.0,10.14400077,2.919341803
amq-5.12.0,11.24181843,3.060103178
amq-5.14.0,12.33354044,3.509189367
amq-5.15.0,13.27736783,3.222079515
bookkeeper-4.2.0,0.405301809,1.045949459
bookkeeper-4.4.0,0.508846045,0.794387102
calcite-1.8.0,7.640272379,4.526024818
calcite-1.11.0,9.573112726,4.396795511
calcite-1.13.0,8.381426573,4.359431744
calcite-1.15.0,7.127186537,4.393722534
calcite-1.16.0,7.729709387,4.285393476
calcite-1.17.0,8.13592577,4.082564592
calcite-1.18.0,8.319195271,3.982053995
cassandra-0.8.6,2.066394091,1.461120367
cassandra-1.0.9,2.044672489,1.962395668
cassandra-1.1.6,2.248346806,1.799459934
cassandra-1.1.11,2.455280304,2.227403879
cassandra-1.2.11,3.499423742,2.093589306
flink-1.6.0,36.32585788,5.144328833
groovy-1.5.5,1.077160358,1.460975885
groovy-1.6.0,1.659557104,1.521030903
groovy-1.7.3,2.431946039,1.796497822
groovy-1.7.6,2.760633707,1.84212184
groovy-1.8.1,2.876658201,2.089703083
groovy-1.8.7,3.124450922,2.302700043
groovy-2.1.0,3.435477257,2.161708593
groovy-2.1.6,4.048030853,2.584369659
groovy-2.4.4,4.650550842,2.343604565
groovy-2.4.6,5.146265745,3.295071125
groovy-2.4.8,5.124367952,3.684143066
groovy-2.5.0,5.946751118,2.883728981
groovy-2.5.5,7.052783728,3.607914686
hbase-0.94.5,4.246800184,4.217643738
hbase-0.98.0,8.796547174,5.465172768
hbase-0.98.5,13.55034423,8.063463211
hbase-0.98.11,14.60779548,7.558659554
hive-1.2.0,49.92422295,7.735145569
hive-2.0.0,64.30131507,8.718743324
hive-2.1.0,80.45648956,9.259605646
ignite-1.4.0,26.29195166,7.11944437
ignite-1.6.0,32.35155177,8.241529942
log4j2-2.1,1.077657461,1.100447893
log4j2-2.2,1.050762177,1.153110743
log4j2-2.3,0.999775887,1.153326273
log4j2-2.4,1.278635979,1.320946693
log4j2-2.5,1.389904261,1.492138386
log4j2-2.6,1.735777378,1.545920849
log4j2-2.7,2.27851963,1.656341553
log4j2-2.8,2.364688873,1.632138968
log4j2-2.9,2.595649958,1.666103125
log4j2-2.10,2.79274869,1.818186522
mahout-0.4,2.131813288,1.750359297
mahout-0.5,1.977664471,1.633343458
mahout-0.6,2.534538269,1.556344986
mahout-0.7,2.684355497,1.780392885
mahout-0.8,2.282217264,1.643987656
mng-3.1.0,1.234053135,1.001898766
mng-3.2.0,1.320118189,0.976016998
mng-3.3.0,1.373648405,1.076672792
mng-3.5.0,1.238973379,0.985543728
mng-3.6.0,1.226989985,1.007070541
nifi-1.2.0,11.45325756,5.180962801
nifi-1.5.0,20.14658618,6.632721663
nifi-1.8.0,26.5409205,7.177974939
nutch-1.3,0.664596319,0.753910542
nutch-1.4,0.284229994,0.571194649
nutch-1.5,0.278885841,0.606025934
nutch-1.6,0.276052952,0.612993002
nutch-1.7,0.277552605,0.576470375
nutch-1.8,0.303105831,0.603479147
nutch-1.9,0.308468819,0.597947836
nutch-1.10,0.392943621,0.625809669
nutch-1.12,0.523887396,0.843610287
nutch-1.13,0.652360916,0.889394045
nutch-1.14,0.642158747,0.887951612
nutch-1.15,0.724036932,1.017678976
storm-0.9.3,1.400779724,0.507672071
storm-1.0.0,3.076940536,1.26271534
storm-1.0.3,5.311883211,2.023438692
storm-1.0.5,5.551542997,1.970179319
tika-0.8,0.369067192,0.481485844
tika-0.9,0.301280022,0.549577236
tika-0.10,0.37101531,0.679783583
tika-1.1,0.480002165,0.785603046
tika-1.3,0.512646914,0.780910254
tika-1.5,0.561975718,0.88830781
tika-1.7,0.667837858,0.929041624
tika-1.10,0.693602562,1.126017809
tika-1.13,0.936999321,1.151683569
tika-1.15,1.155964851,1.318909407
tika-1.17,1.429017544,1.393766642
ww-2.0.5,0.7765522,0.803502083
ww-2.0.10,0.839419127,0.875816107
ww-2.1.1,0.855252028,0.976430655
ww-2.1.3,0.98239398,1.036360025
ww-2.1.7,1.114957333,1.178738117
ww-2.2.0,2.627217293,1.805136919
ww-2.2.2,4.026775122,2.027039528
ww-2.3.1,4.159674168,2.060107946
ww-2.3.4,4.230536699,2.049713612
ww-2.3.10,4.271970749,1.924310446
ww-2.3.15,4.345870495,2.076706648
ww-2.3.17,4.495815992,1.978582144
ww-2.3.20,4.567295551,1.934622526
ww-2.3.24,4.479774237,1.964721203
zookeeper-3.5.1,0.876323462,0.783919573
zookeeper-3.5.2,0.68296051,0.892091513
zookeeper-3.5.3,0.65993166,0.88414526
