NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,823.8333333333334,243.66666666666666,200.16666666666666,348.3333333333333,92.0,132.5,639.3333333333334,371.3333333333333,125.5,1084.5,302.5,1155.0,44.833333333333336
amq,130.84615384615384,1086.3076923076924,64.0,151.07692307692307,43.23076923076923,49.38461538461539,77.76923076923077,117.0,59.23076923076923,84.07692307692308,1572.8461538461538,845.3846153846154,83.15384615384616
bookkeeper,164.0,289.5,971.0,1654.5,1779.0,193.0,475.0,1395.5,425.0,5101.0,1497.0,35.0,260.5
calcite,226.28571428571428,180.85714285714286,6.285714285714286,25.428571428571427,5.0,13.571428571428571,80.14285714285714,361.57142857142856,62.857142857142854,142.14285714285714,66.57142857142857,161.71428571428572,11.0
cassandra,482.6,2283.6,34.4,114.4,34.0,10.2,64.2,95.4,34.0,26.2,332.0,434.8,85.2
flink,2446.0,864.0,144.0,4447.0,0.0,0.0,0.0,54.0,411.0,894.0,4826.0,277.0,621.0
groovy,2421.3846153846152,1601.3076923076924,176.30769230769232,2026.3846153846155,256.53846153846155,374.3076923076923,257.3076923076923,912.9230769230769,167.84615384615384,417.38461538461536,773.7692307692307,935.1538461538462,433.0
hbase,300.0,1326.5,34.25,295.5,23.25,97.5,60.25,110.75,131.25,134.25,856.75,156.0,101.25
hive,951.0,5224.0,293.0,887.3333333333334,363.6666666666667,527.3333333333334,1295.0,1396.6666666666667,231.0,448.6666666666667,1225.6666666666667,1440.3333333333333,1640.0
ignite,1288.5,984.0,8.0,392.0,45.5,259.0,272.0,128.5,226.0,115.5,161.0,264.5,127.0
log4j2,185.7,190.7,28.4,93.0,13.7,224.3,106.8,224.4,78.7,241.8,162.1,222.8,35.9
mahout,192.8,398.8,10.8,327.2,10.8,78.2,93.0,62.8,84.6,240.2,806.0,365.8,147.2
mng,319.8,119.2,45.4,78.6,39.0,106.2,30.8,146.2,69.8,331.0,900.4,537.0,140.6
nifi,350.0,497.6666666666667,60.333333333333336,450.3333333333333,181.33333333333334,63.0,131.66666666666666,243.0,23.666666666666668,399.0,222.33333333333334,385.0,11.333333333333334
nutch,205.41666666666666,96.08333333333333,36.666666666666664,227.75,56.5,35.083333333333336,58.833333333333336,39.583333333333336,8.5,207.83333333333334,243.0,400.25,113.41666666666667
storm,3932.5,8605.0,3.75,1292.75,54.75,231.0,177.25,280.0,108.75,258.75,19665.75,3129.25,204.75
tika,185.27272727272728,172.1818181818182,66.9090909090909,137.9090909090909,35.63636363636363,38.72727272727273,50.72727272727273,65.18181818181819,72.63636363636364,92.81818181818181,192.72727272727272,494.3636363636364,77.18181818181819
ww,773.0,2163.214285714286,33.357142857142854,211.92857142857142,43.285714285714285,81.92857142857143,91.64285714285714,116.28571428571429,76.0,92.0,676.5,475.2142857142857,86.85714285714286
zookeeper,392.3333333333333,113.33333333333333,285.6666666666667,48.0,188.66666666666666,74.0,119.66666666666667,350.6666666666667,104.33333333333333,145.66666666666666,176.33333333333334,147.33333333333334,60.666666666666664
