NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.6226236346580555,0.3137271529410374,0.06663998035392557,0.42994748020995327,0.054788349645596805,0.24484210280610413,0.35723381732748644,0.42691045002924255,0.13955179541569535,0.22416782447883715,0.7422575268697943,0.5551355846186455,0.5827869331652034
amq,0.6326305311545001,0.3383933410552141,0.050086721046642725,0.5342639229184186,0.023450278478469547,0.24462981615802673,0.4394630037105625,0.5608621070273664,0.19212925777157577,0.29020034716446913,0.790257338431173,0.6869946969883143,0.7631610892294444
bookkeeper,0.46606135289290207,0.23107552914888774,0.20141404638153937,0.4790027790063582,0.11875714245539395,0.05037236639933319,0.1804142688043114,0.4765420673046195,0.1234395252935597,0.1900104052951959,0.7102853914257299,0.3607914671466226,0.6731113877902681
calcite,0.5829483161554366,0.2847719580720191,0.08072055677117787,0.5455937268622879,0.04134910061909937,0.3973017548859378,0.5245321369285549,0.5983115317220027,0.12278941956850872,0.15411604749853808,0.7254949471116809,0.38392648406089275,0.7677279604862636
cassandra,0.5001989619006888,0.23743736036121307,0.06786961742164485,0.46636162230354494,0.04922350848935056,0.24521088156701523,0.373033967693486,0.5253173609840884,0.1700403220259247,0.2739914599034391,0.8065333068066183,0.3314018268535126,0.7700808505927487
flink,0.59,0.3066666666666666,0.0022222222222222,0.1155555555555555,0.0,0.0,0.0,0.0344444444444444,0.0166666666666666,0.0455555555555555,0.7866666666666666,0.6355555555555555,0.0855555555555555
groovy,0.5940771738809657,0.3619165915295722,0.06557632901645329,0.46541716279641376,0.055105384456399384,0.1562256560699862,0.3162670637105781,0.44661644905623393,0.13462030876165043,0.27195399395173137,0.8131069097790199,0.543330515085235,0.5834301031684028
hbase,0.575024735517359,0.3475486700346597,0.030132617326069627,0.3567932756487128,0.016641772912841375,0.15174656804036982,0.3154513933582955,0.46682439095411654,0.16336651942264568,0.21825100352004745,0.7874932122271663,0.2807373439084355,0.6946600367868276
hive,0.5809998543289732,0.31455557082319757,0.012157648777798867,0.25993570590189974,0.004800342873318366,0.0212641416247193,0.07373930744187997,0.20639553305897068,0.059362093390045466,0.10292781905686113,0.777979740515318,0.4010219163722646,0.2957820982379214
ignite,0.6582996821736584,0.377157582676543,0.0549273317401169,0.43682921961200505,0.01954722620707865,0.2557096646596545,0.3850646180631576,0.5406595751350283,0.16710832537269749,0.25791666469995694,0.8306358131969489,0.6162918140639957,0.7799473762942615
log4j2,0.5202421257164475,0.2114243417112568,0.04284489092350968,0.5463762665690483,0.03257611937294439,0.34938024787127503,0.5911228905172085,0.6621871417971564,0.14834398370479202,0.2219907595623793,0.7545720793889259,0.5240005006376128,0.7732960295084653
mahout,0.5573071697254118,0.27199311254110525,0.04526585598965814,0.4368281514567633,0.04374042960919884,0.13355198342883756,0.2892069327105535,0.5690943395729421,0.11090125786620245,0.18437704705730074,0.7222080039403878,0.4962619868807839,0.6637911799839122
mng,0.5058259960357633,0.2865672370384739,0.1646340306471935,0.4735624201218748,0.12822597009120318,0.1918058059595144,0.4033259815658884,0.706973083536446,0.12084424363503397,0.5665634226249885,0.8606814550423648,0.6725690994144075,0.8498299162656228
nifi,0.6506052259750755,0.30146496699315156,0.04537563766619557,0.5071323102922763,0.014980820198634833,0.32474209906110896,0.3972978203636645,0.5031415933068977,0.1521853969362443,0.2327707710473445,0.6991997480202463,0.449955668918804,0.5842189837523959
nutch,0.5100931608072694,0.2278822072434796,0.22331751031041444,0.553463464210892,0.19998085251236047,0.15878114587987202,0.4287981571890894,0.6790264366887466,0.24472412832671034,0.15334964377366006,0.7145109860319092,0.4191818581207703,0.7878730106672593
storm,0.5158483485578562,0.2935046169683665,0.038084872839575054,0.5797139626859655,0.050253948763743894,0.05532149014281902,0.0522396870135749,0.42730323234296413,0.14896701534235018,0.18930364861428933,0.8081488794006932,0.4003314473219103,0.5267480682529937
tika,0.44484145025175464,0.23712575472432582,0.20692980532231423,0.49481798670273397,0.16424841750743358,0.2117266079077664,0.4762662049786149,0.6373026903772842,0.13564516255055045,0.21495966605388503,0.7704608186833993,0.5235049172452738,0.7826883708908762
ww,0.539467064092677,0.18335311280352373,0.06523502208925919,0.5631290572000257,0.04356789769899884,0.20238242144330104,0.41782044071181323,0.623096773878351,0.16232611257364643,0.27476588810995,0.8285790467359729,0.5590734587167379,0.7390527198139403
zookeeper,0.4315667229720195,0.2600437177415838,0.22141995335447637,0.3882432821732364,0.07533170252970084,0.09397319662302747,0.15469402359929876,0.47019248176104395,0.12053994721563199,0.2398411751636241,0.7230056609254534,0.4644280129809826,0.6525998639562007
