MIT-LineDP,BASE-Glance-MD,BASE-Glance-EA,BASE-Glance-LR
63,4892,11,11
29,4892,11,11
109,4892,11,170
0,4892,11,16
197,4892,11,93
15,4892,11,11
71,4892,11,64
129,4892,11,11
134,5803,221,440
38,5803,221,40
5,5803,221,55
64,5803,221,338
53,5803,221,97
71,5803,221,325
156,5803,221,457
323,5803,221,541
472,7902,120,53
13,7902,120,128
63,7902,120,25
0,7902,120,1
88,7902,120,6
44,7902,120,172
67,7902,120,186
179,7902,120,48
760,13026,2617,318
1827,13026,2617,195
978,13026,2617,305
0,13026,2617,280
1338,13026,2617,1549
864,13026,2617,943
865,13026,2617,294
150,13026,2617,680
21,37423,1027,4
1,37423,1027,335
1109,37423,1027,58
879,37423,1027,298
1113,37423,1027,581
712,37423,1027,3263
70,37423,1027,207
122,37423,1027,0
1,2881,445,56
95,2881,445,104
5,2881,445,109
4,2881,445,95
0,2881,445,77
73,2881,445,80
216,2881,445,420
86,2881,445,12
456,4208,181,29
10,4208,181,594
27,4208,181,45
4,4208,181,151
0,4208,181,0
4,4208,181,17
119,4208,181,210
403,4208,181,9
60,6805,44,44
109,6805,44,19
44,6805,44,11
44,6805,44,179
44,6805,44,250
47,6805,44,622
54,6805,44,4
1407,6805,44,111
5084,7352,105,3
5308,7352,105,82
4998,7352,105,285
0,7352,105,2737
0,7352,105,280
67,7352,105,12
81,7352,105,71
256,7352,105,14
