,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
ambari,0.7515525885489036,0.41037700720617054,0.005573851738385334,0.3400595987424097,0.07196339958205523,302.3333333333333,0.3848034338219406,0.9381666666666666
amq,0.7931383331079565,0.38381653971202306,0.003866347979055454,0.3088293092926373,0.08530949454211798,1572.8461538461538,0.4642510717069307,0.8893076923076925
bookkeeper,0.7223626161819505,0.43637428673454504,0.0046747936859506,0.3695199662591062,0.05282459467566225,1497.0,0.30556656101426305,0.9675
calcite,0.7278838149833076,0.4225552369293549,0.019345733318854558,0.3554808893701855,0.12107517197556895,66.57142857142857,0.3685963515351504,0.9148571428571429
cassandra,0.8085153937713809,0.43709502364578734,0.0039716305215532,0.33777869133260335,0.0745014360119661,332.0,0.3921240308748334,0.8962
flink,0.79976717112922,0.408691714963119,0.0004786966093251,0.3218090300450644,0.0298692979803451,4826.0,0.3585564610011641,0.974
groovy,0.8180565783094192,0.43258644339649294,0.0017963927764453615,0.3331497096893444,0.055421833035126405,773.7692307692307,0.35632115905036266,0.9243846153846155
hbase,0.7982796208054891,0.45671246786872927,0.0033561572004124247,0.3531071259790094,0.06421270596675685,856.25,0.3263050472260541,0.8905
hive,0.7803093393314112,0.44823024290299324,0.0011767470552549002,0.3540019469265701,0.03117830346788693,1225.6666666666667,0.3488389144527229,0.9426666666666667
ignite,0.8310099113729823,0.4384716119123267,0.005027873287371551,0.332286032349966,0.1007167007574281,161.0,0.3878235228262791,0.922
log4j2,0.7599519879468726,0.406724022551652,0.00665738554487659,0.33434777010472033,0.09097931463052306,156.7,0.3373961340759576,0.8595
mahout,0.7278662575811021,0.3957093330453964,0.00663721294684434,0.3398355673716183,0.07888133452395027,806.0,0.3516058694430883,0.849
mng,0.862602208343341,0.39932213659986526,0.00134048189853964,0.29959584799880457,0.06598245475476516,900.4,0.5591917904226001,0.9109999999999999
nifi,0.7023121524840984,0.4182432954369255,0.005995922932844233,0.363163900486318,0.06085942749221893,360.6666666666667,0.37736440576100844,0.9380000000000001
nutch,0.7160494849493441,0.40855394425264174,0.005347111163470934,0.3591373878327755,0.06088183790058193,243.0,0.34988594996433625,0.8583333333333334
storm,0.8065348838341605,0.4374386068100534,0.0009433173789934751,0.339138391339176,0.0329461305409187,19665.75,0.10719556020609156,0.9385
tika,0.7786368788024713,0.40110548172870514,0.0091921660685616,0.3240423236689826,0.11600755378492043,192.54545454545453,0.4189563826573525,0.8513636363636364
ww,0.8304480954864003,0.4035347691432823,0.0037066494416784714,0.31011942014248456,0.08629602616112637,676.5,0.42203873400729247,0.9279285714285715
zookeeper,0.7244002065757952,0.42034479219121423,0.0066318482316806,0.3556374934947493,0.06581378068079784,176.33333333333334,0.321630895023064,0.9180000000000001
