NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
ambari,0.0074193413333333335,0.010602479333333333,0.012906491666666667,0.009493914833333334,0.0129398615,0.012125680833333333,0.010062188833333334,0.009540442666666666,0.005573851738385333,0.007435706422376884,0.007367542176351767
amq,0.006255328230769231,0.009119293153846153,0.010942741384615385,0.006644100769230769,0.011163040384615385,0.009157975538461538,0.007115593538461538,0.005806816461538461,0.003866347979055454,0.004842409821701361,0.0033277455557826924
bookkeeper,0.007154247,0.0087991205,0.008486088,0.006995633,0.008864942,0.0089401255,0.0083330565,0.006439313,0.0046747936859506,0.0076477418069239,0.0045954397286795
calcite,0.025761129714285715,0.03644584,0.037597866285714286,0.026049806142857145,0.038961766142857145,0.029308237714285715,0.024014502857142857,0.022599670285714284,0.019345733318854558,0.03305026100238709,0.014320090644888843
cassandra,0.0081047538,0.010889456,0.010407809799999999,0.0075195212,0.010562721399999999,0.0087424756,0.0083214406,0.0063295082,0.0039716305215532,0.00975553516748948,0.00353406281844928
flink,0.000810438,0.001151786,0.00141059,0.001320613,0.00141453,0.001413699,0.001417532,0.001396772,0.0004786966093251,0.0006562885569527,0.0013311763189668
groovy,0.0032373266153846152,0.0043613105384615386,0.005293884,0.003849454923076923,0.005319298,0.0049460506923076925,0.004400674692307692,0.0037668935384615387,0.0017963927764453615,0.0033238874431136076,0.003067472516271523
hbase,0.0060916107499999995,0.00781515575,0.0090843335,0.007141441,0.0090668085,0.0085430885,0.00771995075,0.0061084767499999994,0.0033561572004124247,0.008271032394011875,0.0037330105957546
hive,0.0018782343333333333,0.0025733583333333336,0.0027574766666666668,0.00213931,0.002774225,0.002726807333333333,0.0027166723333333334,0.0023407293333333333,0.0011767470552549002,0.0023084451535651668,0.0021141702532354333
ignite,0.008518925,0.0128256395,0.016262779999999998,0.012186757999999999,0.016421197,0.014584184,0.012490361,0.0094770125,0.005027873287371551,0.0084163606636528,0.00510363707817655
log4j2,0.0105191969,0.0148434694,0.0158631426,0.0094418852,0.0159772962,0.0120867148,0.0077875268,0.0070567433,0.00665738554487659,0.01021885859973323,0.00467484598200616
mahout,0.0091823996,0.0120577368,0.0139070984,0.0100669486,0.0139791556,0.0132302692,0.0116535946,0.0079946458,0.00663721294684434,0.00916675545423374,0.00596935185382626
mng,0.0035959668,0.0044752648,0.0044909914,0.0032634902,0.0046184528,0.0043501476,0.003395163,0.0017547195999999998,0.00134048189853964,0.00249899926221562,0.00098870255095078
nifi,0.006573995333333333,0.010211985,0.011464151666666667,0.006702534,0.011475997666666666,0.009280504333333333,0.008625028666666666,0.006407048666666667,0.005995922932844233,0.008325977235679667,0.005361567370043233
nutch,0.00725840825,0.009578312,0.008517397083333333,0.005738515083333333,0.008742292583333333,0.009184072166666666,0.00657673525,0.00404878,0.005347111163470934,0.00813457932035925,0.002752104683183817
storm,0.001785072,0.0023600455,0.0023758705,0.00117249425,0.00232894325,0.00222111575,0.002357147,0.00177044225,0.000943317378993475,0.0021527930269486253,0.0015625290402115194
tika,0.01883269281818182,0.022281122454545454,0.02040747109090909,0.015728763181818182,0.020949212727272726,0.02049223,0.015384196727272727,0.011054863909090908,0.0091921660685616,0.01639138583252869,0.007126525460851009
ww,0.007715738357142858,0.011045704928571428,0.011400661642857142,0.006821065928571428,0.011623626785714285,0.010175865071428572,0.008584298928571429,0.0063282338571428575,0.0037066494416784714,0.0069008751272106005,0.0048124123896464924
zookeeper,0.010577098333333333,0.012104588666666666,0.010366116,0.010818010333333334,0.010759755666666667,0.012645290666666666,0.012172661,0.008787331333333332,0.0066318482316806,0.009439275062467233,0.007386437787253267
