NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
ambari,0.3267130205,0.17285236833333334,0.015540854166666666,0.17176030116666666,0.008739229500000001,0.04979996483333333,0.11673231783333333,0.15012415933333334,0.41037700720617054,0.24438266033626016,0.19101712880511362
amq,0.31900432153846153,0.173330858,0.006810125538461539,0.18813833823076923,0.003124252153846154,0.056174052,0.0952419156923077,0.11775693338461539,0.38381653971202306,0.23909133479797298,0.14208081779084134
bookkeeper,0.3222848875,0.2136059675,0.156778895,0.3434508375,0.1090412885,0.047333014,0.119798984,0.27798396000000003,0.43637428673454504,0.24933034015131944,0.3688322703109479
calcite,0.33405703999999997,0.20219809942857142,0.013485414142857144,0.2888175471428571,0.005608000142857143,0.1583691887142857,0.2075299622857143,0.26775516914285713,0.422555236929355,0.2417353184745949,0.338285035344987
cassandra,0.3217970834,0.2276542608,0.0128711534,0.219729894,0.011287502,0.072469802,0.149356599,0.1719464178,0.43709502364578734,0.2500285547360275,0.23796474613591762
flink,0.307792742,0.150431375,0.001103135,0.054969046,0.001564146,0.000976357,0.003681507,0.021812434,0.408691714963119,0.2478661749209694,0.0303625526870389
groovy,0.3322146440769231,0.2085019256923077,0.017252496923076923,0.18065676092307692,0.014402702307692307,0.035854405461538466,0.07828412253846154,0.12204255715384615,0.432586443396493,0.24570436502071305,0.14473792231566385
hbase,0.3607884865,0.2525476005,0.0144572685,0.19616773875,0.00800941125,0.06913137625,0.16371584825,0.19600594400000002,0.4567124678687292,0.24861779750824387,0.2538802104244504
hive,0.38812727966666666,0.2572746356666667,0.0021904719999999997,0.11321019766666666,0.0013348116666666667,0.0076194389999999996,0.020303302000000002,0.047563255666666665,0.4482302429029933,0.2475590899955223,0.06470045068412357
ignite,0.30622946549999996,0.18074281450000002,0.011651117999999999,0.2239806365,0.0085829165,0.087897597,0.156527783,0.2211265725,0.4384716119123267,0.2478007100066817,0.2827066916417933
log4j2,0.2557544398,0.12391238830000001,0.0107016293,0.2081935016,0.008111907,0.1063178182,0.1609530717,0.1816978506,0.406724022551652,0.2438157175948153,0.1954733745896086
mahout,0.2995501982,0.1381032028,0.0099981494,0.1690909014,0.0068729004,0.0340825022,0.0621328148,0.1350419958,0.39570933304539646,0.24281017447130943,0.15493938928913728
mng,0.2695583592,0.1554763658,0.0159564418,0.1125842178,0.0125616248,0.0326108868,0.0668674026,0.1041460808,0.39932213659986526,0.24677785446591713,0.1411505827903891
nifi,0.3821823543333333,0.206695175,0.011146284666666666,0.22122093366666667,0.004902757333333334,0.08369410466666666,0.103614494,0.18081865,0.41824329543692546,0.24595684730846773,0.2119138620747276
nutch,0.2925256045,0.15414261891666667,0.053538681916666664,0.20286451833333333,0.04878547416666667,0.047277850083333336,0.11251391241666667,0.16911965808333332,0.4085539442526418,0.24728368241699028,0.18988384672086647
storm,0.330073652,0.219455492,0.004686825,0.14289132375,0.0055124135,0.01046139725,0.0064274345,0.0352366985,0.4374386068100535,0.2515248181915153,0.039215337911566145
tika,0.25546316518181816,0.1428322511818182,0.05361331918181818,0.18499941054545455,0.04905729836363636,0.07262509663636363,0.13910863254545455,0.19989413754545454,0.40110548172870525,0.2419029244705449,0.22272280738460948
ww,0.24973245035714287,0.12989005714285715,0.010156868357142856,0.15091103035714287,0.007563699142857143,0.04258529335714286,0.07269105199999999,0.11061508242857143,0.40353476914328223,0.2440069884294004,0.12588871253542203
zookeeper,0.2974325073333333,0.18707990533333332,0.044900400666666666,0.218143835,0.028116709666666666,0.05134032633333333,0.07659803833333334,0.172984669,0.4203447921912143,0.24631261542529972,0.228586553014588
