NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
ambari,219.33333333333334,244.0,182.16666666666666,348.3333333333333,170.33333333333334,126.66666666666667,636.0,297.1666666666667,302.3333333333333,1155.0,654.0
amq,118.76923076923077,1078.923076923077,64.23076923076923,144.6153846153846,49.15384615384615,130.92307692307693,107.76923076923077,122.84615384615384,1572.8461538461538,845.3846153846154,43.61538461538461
bookkeeper,164.0,289.5,971.0,1654.5,1779.0,193.0,475.0,1395.5,1497.0,35.0,260.5
calcite,226.28571428571428,180.85714285714286,11.571428571428571,23.428571428571427,3.4285714285714284,18.571428571428573,97.57142857142857,372.14285714285717,66.57142857142857,161.71428571428572,26.571428571428573
cassandra,482.6,2284.4,34.4,111.2,34.0,14.4,65.6,92.4,332.0,434.8,83.8
flink,2446.0,865.0,144.0,4447.0,0.0,0.0,0.0,54.0,4826.0,277.0,621.0
groovy,2409.230769230769,1601.6923076923076,135.84615384615384,2092.846153846154,218.53846153846155,327.84615384615387,262.46153846153845,765.3846153846154,773.7692307692307,935.1538461538462,373.61538461538464
hbase,300.75,1326.5,23.0,593.25,4.5,56.75,81.75,48.5,856.25,743.75,87.0
hive,951.3333333333334,5224.0,56.333333333333336,1234.6666666666667,270.3333333333333,175.0,574.6666666666666,1177.3333333333333,1225.6666666666667,1390.6666666666667,2143.3333333333335
ignite,1288.5,984.5,21.0,394.5,160.0,254.5,17.5,498.5,161.0,264.5,63.5
log4j2,185.8,191.3,53.4,93.0,29.7,154.3,135.6,169.9,156.7,222.8,13.7
mahout,193.6,399.4,20.4,321.4,10.2,79.8,100.8,58.0,806.0,365.8,118.0
mng,319.8,119.2,41.4,78.6,35.6,106.2,28.0,156.2,900.4,537.0,244.6
nifi,350.3333333333333,498.3333333333333,129.0,461.6666666666667,50.666666666666664,263.0,33.333333333333336,407.6666666666667,360.6666666666667,146.66666666666666,19.666666666666668
nutch,205.66666666666666,96.08333333333333,36.666666666666664,227.75,56.5,35.083333333333336,58.833333333333336,39.5,243.0,400.25,113.41666666666667
storm,3933.25,8605.0,20.5,1272.5,50.5,169.25,113.25,216.0,19665.75,3129.25,233.75
tika,185.27272727272728,172.1818181818182,71.9090909090909,133.8181818181818,71.72727272727273,39.63636363636363,45.54545454545455,60.45454545454545,192.54545454545453,494.3636363636364,59.45454545454545
ww,773.0,2163.214285714286,32.785714285714285,211.5,43.0,76.85714285714286,81.64285714285714,116.57142857142857,676.5,475.2142857142857,85.85714285714286
zookeeper,392.3333333333333,113.33333333333333,285.6666666666667,48.0,184.66666666666666,80.66666666666667,109.33333333333333,387.3333333333333,176.33333333333334,147.33333333333334,60.666666666666664
