NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
ambari,0.06540626883333334,0.04157402883333333,0.03558876716666667,0.0654358215,0.035655500166666666,0.04439553,0.07011467283333334,0.07291948833333334,0.07196339958205523,0.07798363713862164,0.09440758886192462
amq,0.06800035784615385,0.04464518092307692,0.04839572930769231,0.08837782369230769,0.034878506923076924,0.074315703,0.11132040792307692,0.13377532269230769,0.08530949454211798,0.10515165604838801,0.17148953730481156
bookkeeper,0.0284279435,0.0042088755,0.012919018,0.0294634815,0.0047907485,0.0021247725,0.0211740105,0.044147376,0.05282459467566225,0.0245754013568882,0.0615866407751762
calcite,0.10254555342857143,0.04047903842857143,0.11154913885714286,0.11047247442857143,0.09541291657142857,0.12457168542857143,0.15378360085714285,0.14510776357142857,0.12107517197556894,0.06570197820998,0.17762059171510552
cassandra,0.0391138894,0.0023360196,0.0488126566,0.0605249386,0.0365652168,0.0719984318,0.0587033914,0.0949521372,0.0745014360119661,0.01988778590561852,0.12430967732462904
flink,0.024011303,0.016472472,0.001384955,0.010116826,-0.001487458,-0.001174851,-0.002284437,0.002771485,0.0298692979803451,0.0350152287341555,0.0121941474040928
groovy,0.040901109,0.027816766153846154,0.021581451076923077,0.05012579592307692,0.021954275923076923,0.03916214630769231,0.05444441030769231,0.06475992907692307,0.0554218330351264,0.049625069932021586,0.08294326237416322
hbase,0.04258924225,0.0228244145,0.006470323,0.043333092000000004,0.011585202,0.024500198,0.03511022975,0.065137564,0.06421270596675685,0.011736864592919127,0.09432033375395796
hive,0.019122774,0.006062448333333334,0.008930549666666666,0.027222678333333333,0.0042242243333333335,0.00854023,0.010264229333333333,0.03592625766666667,0.03117830346788693,0.015552784569145967,0.04521367709993163
ignite,0.0933881185,0.06132399299999999,0.0234436835,0.062837847,0.0087117575,0.0492141675,0.07260666,0.10230449350000001,0.1007167007574281,0.10914871726296804,0.13997678357482107
log4j2,0.0781475554,0.0336397981,0.0422969716,0.1042332045,0.0409214955,0.0941597888,0.1466973666,0.1524783582,0.09097931463052306,0.0841856914560811,0.18071019058309604
mahout,0.0662931254,0.0474231752,0.043324391999999996,0.080770906,0.0510949812,0.056462092,0.09261142039999999,0.1350196696,0.07888133452395026,0.07337248352422718,0.15935529669015697
mng,0.0379758312,0.025808337,0.0847616838,0.0791601482,0.0790700412,0.068008018,0.09785948600000001,0.1386892688,0.06598245475476516,0.06731078495526704,0.14232273948277735
nifi,0.059478974,0.025455986666666666,0.013003009999999999,0.08513741933333334,0.020508627333333335,0.074752653,0.08051107933333333,0.10164912366666666,0.06085942749221893,0.05262425955781043,0.11089171239981743
nutch,0.04786125958333333,0.019521976583333333,0.07449341791666667,0.08778092641666667,0.06992314241666667,0.051875444166666666,0.09990328283333333,0.13548908691666667,0.06088183790058194,0.03940751267368029,0.15170672859506754
storm,0.01851062825,0.005819089,0.021268111750000002,0.061873639499999994,0.0269554235,0.03819197025,0.030630782000000002,0.082147875,0.0329461305409187,0.012454563255148324,0.09845679965751777
tika,0.06383323845454546,0.03720081918181818,0.09192146172727272,0.11855882036363637,0.08423509036363636,0.0898719960909091,0.1407502890909091,0.16418919454545455,0.11600755378492046,0.09392829604490759,0.19822687013247622
ww,0.06658330542857142,0.019250936285714285,0.052600670142857145,0.10758966521428572,0.038950666,0.07767842957142858,0.11533352935714286,0.14874063685714287,0.08629602616112635,0.07341322488685288,0.16999650235887656
zookeeper,0.03405636833333334,0.020795004333333332,0.11090903866666667,0.042110037333333336,0.122495436,0.02232464533333333,0.028613744666666666,0.08077257166666667,0.06581378068079784,0.0558577951565279,0.09739093641968227
