NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
ambari,0.6282999641666667,0.31595918700000003,0.06524966816666666,0.436602467,0.05225587533333333,0.17264552266666666,0.3678774358333333,0.442895241,0.7515525885489036,0.5601430895834645,0.5870327445109127
amq,0.6339470992307692,0.33883025853846155,0.048478507,0.5362988036153846,0.023413904384615384,0.2411536139230769,0.4363143386923077,0.5664762562307692,0.7931383331079565,0.6882134829836893,0.767513037291558
bookkeeper,0.466740909,0.23518546299999998,0.20506515849999998,0.49050333,0.120795766,0.052165428,0.184064066,0.48630445,0.7223626161819505,0.3633068488456761,0.676717030025271
calcite,0.5820158001428571,0.28581283728571427,0.08454237085714286,0.5453614991428571,0.043157875,0.39583458085714285,0.5288711025714286,0.6019005942857143,0.7278838149833076,0.38663078235580267,0.7717709780523676
cassandra,0.5005286564,0.23694876939999998,0.06844309,0.470716078,0.0497053754,0.2567104392,0.3525373932,0.526674656,0.8085153937713809,0.33232552032880436,0.7686180901485403
flink,0.603026775,0.307334109,0.002328289,0.116414435,0.0,0.0,0.0,0.032596042,0.79976717112922,0.6507566938300349,0.0861466821885913
groovy,0.5968545493846154,0.36380972615384616,0.058944410846153844,0.4674069013846154,0.04652056769230769,0.15704968046153847,0.30815974815384617,0.44967454707692306,0.8180565783094192,0.5470956507561946,0.5875823234887496
hbase,0.58645127425,0.35418566625000003,0.02384909625,0.39106380425,0.0177058695,0.14315126725,0.314923885,0.48634204525,0.7982796208054891,0.2777316106120025,0.7033330249580872
hive,0.5819013203333333,0.315910091,0.010065803333333333,0.26225022466666664,0.005022232666666667,0.02024496,0.06162420166666667,0.20671093133333335,0.7803093393314112,0.40307304784229453,0.2979335277484573
ignite,0.6455173869999999,0.366985115,0.028397965499999997,0.430489192,0.0154730955,0.1970497865,0.3648069565,0.557330339,0.8310099113729823,0.6206732275071114,0.7818237838357025
log4j2,0.5277396238000001,0.2142818581,0.046859356899999996,0.5486413816,0.0375018508,0.336899481,0.5904682703999999,0.6555399025,0.7599519879468727,0.5310681270934923,0.7729991721383906
mahout,0.5623404812,0.2728102962,0.048898426,0.4416685348,0.0448862642,0.1329829886,0.2839477446,0.5546392934,0.7278662575811021,0.5008447344113938,0.6703808064498313
mng,0.5098372142,0.2881954626,0.1687819652,0.480992081,0.1387691168,0.1982456632,0.4197196718,0.7180854382,0.8626022083433411,0.670059375107885,0.8588672700439337
nifi,0.6579193633333333,0.30371559933333336,0.02356282566666667,0.5621350676666667,0.017632091333333332,0.2994868606666667,0.33734088733333334,0.5581040633333333,0.7023121524840984,0.4596721515835644,0.6501925071149717
nutch,0.5102719301666667,0.22775061458333334,0.22506590233333335,0.5552188823333333,0.20205550716666668,0.16004243758333334,0.4292305573333333,0.68194244,0.716049484949344,0.4201327913770951,0.7895454134923984
storm,0.51651637,0.29276863225,0.03283202675,0.59333141875,0.048396573,0.0889085385,0.05415095,0.4047798965,0.8065348838341604,0.40276761302936503,0.5053029841960339
tika,0.4467992480909091,0.23763125072727273,0.19026395045454544,0.5054110901818182,0.17108030072727273,0.22915277618181817,0.4741378341818182,0.6476422611818181,0.7786368788024715,0.5291014905673193,0.7877710207761666
ww,0.5398430465714286,0.18287390885714286,0.06706535721428572,0.5657524800714285,0.04486546914285714,0.20883720714285714,0.4095954057857143,0.6255794654285715,0.8304480954864003,0.5590276261531885,0.7415023981775419
zookeeper,0.432064645,0.25687656633333333,0.221175865,0.389973002,0.18447739700000002,0.09582056066666667,0.14174129266666669,0.46758633866666666,0.7244002065757952,0.4646464435175175,0.6537947651439255
