NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
ambari,0.49954984383333334,0.31595918700000003,0.06524966816666666,0.41024298183333335,0.05225587533333333,0.17264552266666666,0.32805652616666664,0.4017696998333333,0.3848034338219406,0.4864398142849266,0.5085461978188148
amq,0.5246186832307692,0.33883025853846155,0.048478507,0.5110698222307692,0.023413904384615384,0.2411536139230769,0.4363143386923077,0.5664762562307692,0.46425107170693075,0.6178730319016581,0.7589778382675595
bookkeeper,0.22062791799999998,0.225206932,0.1738151585,0.300806849,0.120795766,0.052165428,0.184064066,0.335966612,0.30556656101426305,0.22649724804043345,0.3832826487343127
calcite,0.4043053268571429,0.28294904385714287,0.08454237085714286,0.38411006085714283,0.043157875,0.38672578942857144,0.4762606878571429,0.43886004914285714,0.3685963515351504,0.3205186253339093,0.4504878726051182
cassandra,0.3932196096,0.20747747319999998,0.06844309,0.40887779879999997,0.0497053754,0.2567104392,0.3217773692,0.49519649920000003,0.39212403087483333,0.2179832950485757,0.5695230501965773
flink,0.455180442,0.307334109,0.002328289,0.116414435,0.0,0.0,0.0,0.032596042,0.3585564610011641,0.610011641443539,0.0861466821885913
groovy,0.44867166676923076,0.36082800561538464,0.058944410846153844,0.4506780759230769,0.04652056769230769,0.15704968046153847,0.3024886706153846,0.44676630223076924,0.35632115905036266,0.41069902026525684,0.572314037899103
hbase,0.40643565725,0.261302625,0.02384909625,0.339443094,0.0177058695,0.14315126725,0.314923885,0.466267929,0.3263050472260541,0.21060064720068053,0.4896788070907582
hive,0.4397340476666666,0.231306323,0.010065803333333333,0.26225022466666664,0.005022232666666667,0.02024496,0.06162420166666667,0.20671093133333335,0.34883891445272297,0.2798621931049043,0.2979335277484573
ignite,0.50828455,0.366985115,0.028397965499999997,0.3598508385,0.0154730955,0.1970497865,0.3648069565,0.4424399275,0.3878235228262791,0.5418967286882819,0.6011297767803307
log4j2,0.4428513177,0.2142818581,0.046859356899999996,0.4933073834,0.0375018508,0.336899481,0.5807790035,0.6156264965,0.3373961340759576,0.439877581385242,0.6930570439821718
mahout,0.4524089616,0.2728102962,0.048898426,0.4416685348,0.0448862642,0.1329829886,0.2839477446,0.5546392934,0.3516058694430883,0.2957675694238038,0.6412220702488416
mng,0.440978416,0.2881954626,0.1687819652,0.480992081,0.1387691168,0.1982456632,0.4197196718,0.7180854382,0.5591917904226001,0.6321811631374158,0.8588672700439337
nifi,0.3694325256666667,0.300683345,0.02356282566666667,0.521169328,0.017632091333333332,0.2994868606666667,0.33734088733333334,0.548156784,0.37736440576100844,0.3844654780137839,0.5549090645300894
nutch,0.3942343956666667,0.22775061458333334,0.22506590233333335,0.5278216413333333,0.20205550716666668,0.16004243758333334,0.4292305573333333,0.6817982646666667,0.34988594996433625,0.33013618068180234,0.7274398778608271
storm,0.43433053825,0.2794284905,0.03283202675,0.5634271125,0.048396573,0.0889085385,0.05415095,0.4047798965,0.10719556020609157,0.27957410912153885,0.5053029841960339
tika,0.386868162,0.23763125072727273,0.19026395045454544,0.4833880888181818,0.17108030072727273,0.22915277618181817,0.471417634,0.5957534485454545,0.4189563826573525,0.45323499950287827,0.6437417737812189
ww,0.42711986935714286,0.18287390885714286,0.06706535721428572,0.5634028560714286,0.04486546914285714,0.20883720714285714,0.4095954057857143,0.6255794654285715,0.42203873400729247,0.4639960510604448,0.7351627456128992
zookeeper,0.295056152,0.25687656633333333,0.221175865,0.3751518816666667,0.18447739700000002,0.09582056066666667,0.14174129266666669,0.46758633866666666,0.321630895023064,0.40609391392491445,0.5421210276270876
