NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
0.847,0.673,0.357,0.769,0.236,0.56,0.807,0.772,0.92,0.761,0.863
0.915,0.673,0.164,0.752,0.115,0.552,0.776,0.83,0.952,0.782,0.921
0.899,0.728,0.16,0.585,0.118,0.276,0.394,0.514,0.92,0.766,0.566
0.888,0.741,0.099,0.789,0.069,0.56,0.776,0.836,0.927,0.789,0.905
0.968,0.661,0.129,0.823,0.097,0.5,0.71,0.839,0.952,0.694,0.903
0.924,0.655,0.008,0.437,0.0,0.092,0.16,0.269,0.958,0.739,0.336
0.802,0.578,0.127,0.734,0.111,0.62,0.71,0.804,0.835,0.724,0.899
0.815,0.583,0.225,0.732,0.084,0.497,0.717,0.801,0.844,0.696,0.895
0.842,0.628,0.209,0.757,0.119,0.472,0.742,0.72,0.847,0.735,0.813
0.864,0.628,0.181,0.744,0.181,0.595,0.748,0.838,0.867,0.741,0.926
0.889,0.683,0.167,0.767,0.122,0.461,0.706,0.789,0.867,0.778,0.861
0.907,0.629,0.186,0.794,0.041,0.619,0.711,0.784,0.887,0.763,0.887
0.898,0.705,0.062,0.54,0.034,0.047,0.118,0.26,0.901,0.796,0.302
0.897,0.709,0.1,0.825,0.054,0.618,0.772,0.841,0.894,0.807,0.931
0.901,0.717,0.18,0.8,0.04,0.401,0.679,0.82,0.913,0.822,0.95
0.889,0.695,0.074,0.823,0.013,0.565,0.798,0.811,0.941,0.825,0.936
0.905,0.694,0.123,0.809,0.095,0.664,0.739,0.796,0.925,0.834,0.95
0.89,0.701,0.068,0.788,0.031,0.559,0.766,0.831,0.927,0.85,0.927
0.877,0.708,0.205,0.772,0.068,0.342,0.58,0.785,0.913,0.84,0.886
0.83,0.717,0.604,0.887,0.566,0.264,0.491,0.774,1.0,0.566,1.0
0.742,0.419,0.355,0.871,0.226,0.194,0.419,0.516,0.935,0.452,0.71
0.838,0.661,0.274,0.819,0.15,0.726,0.814,0.825,0.913,0.569,0.904
0.837,0.665,0.367,0.845,0.042,0.728,0.823,0.841,0.925,0.575,0.935
0.836,0.655,0.143,0.841,0.052,0.578,0.823,0.825,0.922,0.641,0.937
0.852,0.654,0.128,0.793,0.035,0.753,0.77,0.854,0.906,0.63,0.938
0.857,0.663,0.207,0.782,0.101,0.695,0.796,0.822,0.905,0.631,0.934
0.858,0.666,0.22,0.783,0.226,0.655,0.735,0.802,0.916,0.63,0.933
0.874,0.668,0.1,0.777,0.076,0.694,0.638,0.874,0.917,0.621,0.947
0.757,0.53,0.238,0.778,0.211,0.551,0.686,0.692,0.87,0.459,0.865
0.758,0.508,0.115,0.722,0.091,0.524,0.687,0.706,0.889,0.405,0.869
0.753,0.494,0.166,0.81,0.061,0.417,0.514,0.696,0.891,0.502,0.83
0.73,0.461,0.224,0.724,0.217,0.553,0.664,0.789,0.882,0.5,0.888
0.775,0.507,0.123,0.717,0.116,0.486,0.587,0.652,0.949,0.529,0.812
0.923,0.667,0.026,0.346,0.013,0.0,0.0,0.167,0.974,0.795,0.167
0.864,0.746,0.305,0.864,0.22,0.441,0.797,0.881,0.915,0.729,0.949
0.811,0.575,0.236,0.472,0.283,0.15,0.299,0.362,0.921,0.622,0.378
0.739,0.64,0.063,0.649,0.117,0.342,0.36,0.432,0.919,0.631,0.523
0.796,0.704,0.278,0.778,0.278,0.315,0.667,0.796,0.87,0.537,0.889
0.763,0.573,0.191,0.489,0.168,0.16,0.267,0.366,0.908,0.618,0.45
0.75,0.611,0.194,0.778,0.083,0.556,0.778,0.917,0.944,0.667,0.944
0.847,0.73,0.058,0.46,0.029,0.095,0.314,0.416,0.978,0.774,0.526
0.875,0.786,0.214,0.821,0.107,0.75,0.714,0.875,0.982,0.786,0.982
0.825,0.645,0.09,0.55,0.204,0.156,0.246,0.351,0.896,0.659,0.408
0.835,0.646,0.232,0.713,0.079,0.555,0.695,0.841,0.909,0.677,0.909
0.857,0.659,0.242,0.714,0.055,0.44,0.681,0.835,0.901,0.626,0.923
0.897,0.69,0.2,0.586,0.145,0.221,0.331,0.386,0.931,0.641,0.469
0.895,0.724,0.257,0.819,0.238,0.571,0.667,0.876,0.943,0.657,0.952
0.867,0.668,0.207,0.627,0.195,0.411,0.726,0.851,0.905,0.502,0.946
0.819,0.655,0.142,0.41,0.116,0.473,0.507,0.521,0.876,0.231,0.623
0.832,0.649,0.127,0.735,0.051,0.462,0.711,0.762,0.881,0.227,0.9
0.862,0.682,0.192,0.724,0.075,0.452,0.711,0.749,0.9,0.209,0.866
0.871,0.688,0.086,0.516,0.032,0.118,0.366,0.387,0.935,0.613,0.505
0.929,0.732,0.071,0.607,0.089,0.125,0.286,0.554,0.946,0.571,0.643
0.857,0.701,0.034,0.614,0.022,0.162,0.131,0.315,0.947,0.611,0.393
0.884,0.737,0.186,0.703,0.147,0.548,0.671,0.768,0.923,0.725,0.874
0.896,0.725,0.072,0.689,0.056,0.496,0.687,0.786,0.921,0.746,0.892
0.773,0.435,0.18,0.694,0.141,0.545,0.784,0.804,0.827,0.588,0.847
0.791,0.439,0.176,0.734,0.135,0.68,0.885,0.869,0.828,0.57,0.943
0.811,0.438,0.176,0.742,0.159,0.661,0.867,0.888,0.837,0.571,0.944
0.809,0.462,0.208,0.733,0.148,0.784,0.826,0.86,0.835,0.551,0.903
0.805,0.468,0.2,0.709,0.195,0.7,0.859,0.845,0.841,0.55,0.886
0.82,0.521,0.12,0.696,0.083,0.604,0.737,0.811,0.889,0.562,0.866
0.792,0.511,0.068,0.652,0.027,0.511,0.719,0.756,0.9,0.62,0.824
0.783,0.507,0.086,0.751,0.072,0.389,0.769,0.805,0.891,0.62,0.896
0.795,0.549,0.084,0.73,0.065,0.595,0.726,0.8,0.879,0.637,0.837
0.84,0.543,0.183,0.744,0.128,0.598,0.799,0.854,0.868,0.658,0.932
0.838,0.564,0.248,0.607,0.197,0.47,0.479,0.735,0.855,0.624,0.778
