PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.011449982666666667,0.010944794749773517,0.005573851738385333,0.007435706422376884,0.007367542176351767
amq,0.009696716230769231,0.009409934518794138,0.003866347979055454,0.004842409821701361,0.0033277455557826924
bookkeeper,0.008128368,0.0084250994275367,0.0046747936859506,0.0076477418069239,0.0045954397286795
calcite,0.037592297142857146,0.03851744201130351,0.019345733318854558,0.03305026100238709,0.014320090644888843
cassandra,0.0095581632,0.0107982478463311,0.0039716305215532,0.00975553516748948,0.00353406281844928
flink,0.001293132,0.0014544979274804,0.0004786966093251,0.0006562885569527,0.0013311763189668
groovy,0.004755041076923077,0.004428525582386777,0.0017963927764453615,0.0033238874431136076,0.003067472516271523
hbase,0.00786642875,0.008865657424265726,0.0033561572004124247,0.008271032394011875,0.0037330105957546
hive,0.002467425666666667,0.002427617565991267,0.0011767470552549002,0.0023084451535651668,0.0021141702532354333
ignite,0.014206591000000001,0.01449041702933705,0.005027873287371551,0.0084163606636528,0.00510363707817655
log4j2,0.014357244199999999,0.0144957688160601,0.00665738554487659,0.01021885859973323,0.00467484598200616
mahout,0.0132333292,0.01428160362361568,0.00663721294684434,0.00916675545423374,0.00596935185382626
mng,0.0048726018,0.00359866819673422,0.00134048189853964,0.00249899926221562,0.00098870255095078
nifi,0.010047147,0.010101688359140966,0.005995922932844233,0.008325977235679667,0.005361567370043233
nutch,0.00856767175,0.010324409887207583,0.005347111163470934,0.00813457932035925,0.002752104683183817
storm,0.00214377275,0.002065929225693575,0.000943317378993475,0.0021527930269486253,0.0015625290402115194
tika,0.022222742,0.02257267901379848,0.0091921660685616,0.01639138583252869,0.007126525460851009
ww,0.010466345642857143,0.009811108308416864,0.0037066494416784714,0.0069008751272106005,0.0048124123896464924
zookeeper,0.012221817666666667,0.011276152549343468,0.0066318482316806,0.009439275062467233,0.007386437787253267
