PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.5747832656666667,0.5045123951679663,0.34005959874240965,0.3566078780737951,0.34147567758096226
amq,0.5559844922307692,0.4911866656503522,0.3088293092926373,0.2788130700663644,0.20190629745300623
bookkeeper,0.5991611375,0.5462860120190818,0.3695199662591062,0.48350187982287673,0.37053586774333425
calcite,0.6193915335714286,0.6012186029234275,0.3554808893701855,0.4662331715355056,0.28903324572626066
cassandra,0.5742329312000001,0.530340795393827,0.33777869133260335,0.5042805060120779,0.24258912286784923
flink,0.617474658,0.6467930755113009,0.3218090300450644,0.3028271186456726,0.6465484402117883
groovy,0.5753757516153846,0.4683971443207516,0.3331497096893444,0.3647956944717383,0.3257312018541083
hbase,0.566141672,0.5616351374507123,0.3531071259790094,0.5414003444481581,0.28635279399352426
hive,0.5795509486666667,0.5045239972143685,0.35400194692657017,0.4571294090592628,0.49879427714239205
ignite,0.5759618360000001,0.5388635495214584,0.332286032349966,0.3203901597511891,0.2525424019352547
log4j2,0.5872559022,0.5444877578687898,0.33434777010472033,0.37402732458471843,0.21654381971744535
mahout,0.6083174616,0.5671629843724574,0.3398355673716183,0.39288816519745023,0.2623326150563022
mng,0.616467699,0.3949915709903993,0.2995958479988045,0.2926695308524693,0.14247173824053092
nifi,0.571108811,0.5168032535304065,0.363163900486318,0.41979502733456076,0.2900975018703986
nutch,0.5308010039166666,0.6001791497133192,0.3591373878327755,0.4462604621245079,0.20089965853207886
storm,0.55458574875,0.5066178048501794,0.339138391339176,0.45993802879685086,0.35107584373462347
tika,0.605734341,0.5547834348685504,0.3240423236689826,0.3762572545584321,0.2190105754393542
ww,0.5783465766428572,0.4980478481195661,0.3101194201424845,0.3568027595279038,0.20848591064392805
zookeeper,0.601393042,0.5042273338079346,0.3556374934947494,0.41670968551162757,0.30526318665734264
