PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,298.6666666666667,2440.0,302.3333333333333,1155.0,654.0
amq,2490.076923076923,443.38461538461536,1572.8461538461538,845.3846153846154,43.61538461538461
bookkeeper,83.0,5187.0,1497.0,35.0,260.5
calcite,62.857142857142854,143.85714285714286,66.57142857142857,161.71428571428572,26.571428571428573
cassandra,101.0,347.2,332.0,434.8,83.8
flink,2280.0,6890.0,4826.0,277.0,621.0
groovy,553.4615384615385,2709.153846153846,773.7692307692307,935.1538461538462,373.61538461538464
hbase,257.75,666.25,856.25,743.75,87.0
hive,547.3333333333334,1499.3333333333333,1225.6666666666667,1390.6666666666667,2143.3333333333335
ignite,497.5,725.0,161.0,264.5,63.5
log4j2,196.0,777.6,156.7,222.8,13.7
mahout,121.4,393.0,806.0,365.8,118.0
mng,136.8,331.0,900.4,537.0,244.6
nifi,86.33333333333333,859.6666666666666,360.6666666666667,146.66666666666666,19.666666666666668
nutch,8.5,864.25,243.0,400.25,113.41666666666667
storm,564.5,1836.0,19665.75,3129.25,233.75
tika,143.8181818181818,318.45454545454544,192.54545454545453,494.3636363636364,59.45454545454545
ww,542.0714285714286,1051.2857142857142,676.5,475.2142857142857,85.85714285714286
zookeeper,325.0,1328.3333333333333,176.33333333333334,147.33333333333334,60.666666666666664
