PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.05064358733333334,0.03819130211144705,0.07196339958205523,0.07798363713862164,0.09440758886192462
amq,0.05289231861538462,0.03749104740819844,0.08530949454211798,0.10515165604838801,0.17148953730481156
bookkeeper,0.032218708,0.011622343219613,0.05282459467566225,0.0245754013568882,0.0615866407751762
calcite,0.06020399742857143,0.0289969895919038,0.12107517197556894,0.06570197820998,0.17762059171510552
cassandra,0.0496195692,0.00264787120731542,0.0745014360119661,0.01988778590561852,0.12430967732462904
flink,0.014182663,-0.0030496527283338,0.0298692979803451,0.0350152287341555,0.0121941474040928
groovy,0.03508227176923077,0.027854669477443406,0.0554218330351264,0.049625069932021586,0.08294326237416322
hbase,0.049700485249999996,0.0059656592188451,0.06421270596675685,0.011736864592919127,0.09432033375395796
hive,0.019209699666666667,0.0131126938081672,0.03117830346788693,0.015552784569145967,0.04521367709993163
ignite,0.0766916135,0.038702950950518594,0.1007167007574281,0.10914871726296804,0.13997678357482107
log4j2,0.0750895261,0.03778792462199604,0.09097931463052306,0.0841856914560811,0.18071019058309604
mahout,0.038518424,0.00501684139198826,0.07888133452395026,0.07337248352422718,0.15935529669015697
mng,0.026768789,0.030162894947247238,0.06598245475476516,0.06731078495526704,0.14232273948277735
nifi,0.05426934966666667,0.029408537379535,0.06085942749221893,0.05262425955781043,0.11089171239981743
nutch,0.05945113258333333,0.0024224774156236142,0.06088183790058194,0.03940751267368029,0.15170672859506754
storm,0.0260152625,0.012275083090392925,0.0329461305409187,0.012454563255148324,0.09845679965751777
tika,0.05840565654545455,0.027275523292317326,0.11600755378492046,0.09392829604490759,0.19822687013247622
ww,0.053378693857142855,0.03924532469251017,0.08629602616112635,0.07341322488685288,0.16999650235887656
zookeeper,0.033996937666666664,0.037644517264744,0.06581378068079784,0.0558577951565279,0.09739093641968227
