PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.18967259416666665,0.30665085460159286,0.3848034338219406,0.4864398142849266,0.5085461978188148
amq,0.217508173,0.3306758881425307,0.46425107170693075,0.6178730319016581,0.7589778382675595
bookkeeper,0.1555231935,0.24027176939221306,0.30556656101426305,0.22649724804043345,0.3832826487343127
calcite,0.12572908114285714,0.15704791038051605,0.3685963515351504,0.3205186253339093,0.4504878726051182
cassandra,0.1907089592,0.2791951064725315,0.39212403087483333,0.2179832950485757,0.5695230501965773
flink,0.128055879,0.0931315483119906,0.3585564610011641,0.610011641443539,0.0861466821885913
groovy,0.18900370823076923,0.36428006519538636,0.35632115905036266,0.41069902026525684,0.572314037899103
hbase,0.20206987025,0.19828476843450857,0.3263050472260541,0.21060064720068053,0.4896788070907582
hive,0.18385495433333335,0.31112154890798194,0.34883891445272297,0.2798621931049043,0.2979335277484573
ignite,0.18709824,0.25178651839993627,0.3878235228262791,0.5418967286882819,0.6011297767803307
log4j2,0.1706616658,0.24273905703547133,0.3373961340759576,0.439877581385242,0.6930570439821718
mahout,0.141954245,0.20578962336116324,0.3516058694430883,0.2957675694238038,0.6412220702488416
mng,0.1294153868,0.38924502471926065,0.5591917904226001,0.6321811631374158,0.8588672700439337
nifi,0.19504638266666668,0.2930854771819474,0.37736440576100844,0.3844654780137839,0.5549090645300894
nutch,0.25416175933333335,0.1664160427680772,0.34988594996433625,0.33013618068180234,0.7274398778608271
storm,0.21836905974999998,0.16904967265323592,0.10719556020609157,0.27957410912153885,0.5053029841960339
tika,0.14527831872727273,0.23382876969505992,0.4189563826573525,0.45323499950287827,0.6437417737812189
ww,0.18413033078571428,0.31744752517111025,0.42203873400729247,0.4639960510604448,0.7351627456128992
zookeeper,0.15246698733333333,0.30867391875518385,0.321630895023064,0.40609391392491445,0.5421210276270876
