PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
5,441,9,394,9
160,3168,249,1324,304
30,1,1,5,8
730,4351,173,789,599
672,6562,828,797,708
195,117,554,3621,2296
634,121,2526,159,59
634,120,4977,339,11
1461,861,626,1,49
1675,644,158,802,11
2132,546,660,3655,67
4659,3066,2755,1966,1
2143,58,217,204,24
2938,58,192,529,4
2944,58,6,68,230
2249,58,129,321,55
2482,58,1484,273,11
2716,58,1169,1901,17
5704,58,5548,772,28
77,8913,2747,68,520
89,1461,247,2,1
62,30,2,6,2
63,178,104,12,3
63,183,21,2,129
63,192,11,367,11
63,192,6,21,6
63,199,142,509,8
63,33,180,215,27
49,39,267,2117,65
109,39,66,1,40
88,547,3,39,3
94,547,185,13,285
165,564,1139,4,26
2280,6890,4826,277,621
733,1367,2069,413,1107
729,2318,1389,2026,864
854,2005,16,120,929
913,2231,964,2374,107
201,2626,247,5,26
201,5805,192,270,875
200,966,390,734,1
395,966,728,284,326
226,2008,658,1001,4
387,2008,500,1521,26
927,2008,2590,1503,5
719,5540,294,184,584
710,5371,22,1722,3
443,1747,43,479,43
293,348,1,2399,10
294,352,2988,15,1
1,218,393,82,294
411,2413,1458,732,3663
475,1704,1437,3382,2754
756,381,782,58,13
375,711,70,138,58
620,739,252,391,69
435,259,85,241,2
435,261,113,290,49
435,261,291,935,4
173,577,172,10,10
173,552,344,258,1
51,357,210,12,48
11,181,1,1,1
111,177,95,35,2
111,2366,115,21,11
25,2785,141,425,9
3,502,308,1,79
7,641,140,861,161
3,466,207,411,294
3,168,114,156,6
591,188,3261,400,50
60,332,1349,3,387
60,332,289,52,4
167,333,592,719,39
209,329,1643,202,741
188,329,629,1709,52
86,404,572,26,33
86,408,334,272,13
87,1767,176,142,13
1,304,10,34,10
1,307,228,1272,10
1,921,160,153,7
1,1041,465,459,11
16,887,546,165,104
61,1056,158,267,7
16,886,251,164,13
1,483,111,180,22
1,1035,5,186,5
1,1147,1,16,1
1,785,2,1881,2
1,1519,979,26,1169
120,922,539,223,109
273,865,6849,384,213
241,1224,27354,6075,19
1624,4333,43921,5835,594
88,6,8,8,8
78,9,7,7,7
3,19,40,40,40
3,19,44,44,44
3,80,101,485,112
10,80,281,53,53
5,18,359,14,78
5,149,264,706,9
5,149,107,170,2
519,1487,376,2241,62
863,1487,531,1670,239
23,155,56,370,36
22,36,107,13,28
32,39,458,148,92
45,41,80,12,44
45,14,313,321,6
45,1593,389,136,460
32,1610,469,64,4
33,1610,300,2685,2
69,1610,4279,25,15
69,1599,407,1692,1
518,1596,144,5,1
1914,1601,518,473,486
2331,1607,824,184,25
2411,1607,1127,525,2
95,576,384,192,2
392,576,37,224,37
488,2833,108,26,143
